,Unnamed: 0,Volume,Last,Chg,% Chg
0,Solidion Technology Inc. (STI),69.0M,16.78,11.29,205.65
1,ESS Tech Inc. (GWH),107.9M,9.85,5.69,136.69
2,Aqua Metals Inc. (AQMS),11.9M,11.19,5.53,97.7
3,Powell Max Ltd. (PMAX),23.9M,4.65,2.06,79.54
4,China Natural Resources Inc. (CHNR),15.7M,7.13,2.15,43.29
5,Critical Metals Corp. (CRML),41.1M,21.43,6.45,43.06
6,Snow Lake Resources Ltd. (LITM),12.1M,6.22,1.74,38.84
7,American Battery Technology Co. (ABAT),33.0M,9.09,2.34,34.67
8,Professional Diversity Network Inc. (IPDN),936.6K,3.9,0.94,31.64
9,Aclarion Inc. (ACON),3.5M,11.2,2.6,30.27
10,Earlyworks Co. Ltd. ADR (ELWS),141.9K,3.51,0.81,30.0
11,United States Antimony Corp. (UAMY),26.1M,15.85,3.64,29.8
12,Nova Minerals Ltd. ADR (NVA),338.0K,34.9,8.0,29.71
13,New Horizon Aircraft Ltd. (HOVR),1.6M,3.68,0.81,28.22
14,Bloom Energy Corp. (BE),18.1M,110.8,23.93,27.55
15,ASP Isotopes Inc. (ASPI),15.9M,12.9,2.77,27.3
16,I-Mab ADR (IMAB),3.5M,6.06,1.29,27.15
17,Tao Synergies Inc. (TAOX),436.0K,8.72,1.83,26.56
18,Advent Technologies Holdings Inc. (ADN),280.3K,3.6,0.73,25.61
19,Namib Minerals (NAMM),20.8M,3.96,0.8,25.16
20,Stardust Power Inc. (SDST),431.0K,4.81,0.96,24.92
21,Eos Energy Enterprises Inc. (EOSE),28.7M,17.15,3.33,24.1
22,MP Materials Corp. (MP),35.2M,96.67,18.33,23.4
23,USA Rare Earth Inc. (USAR),33.8M,40.15,7.54,23.12
24,Bitfarms Ltd. (BITF),98.5M,5.16,0.96,22.85
25,Hang Feng Technology Innovation Co. Ltd. (FOFO),242.5K,14.35,2.65,22.65
26,Odyssey Marine Exploration Inc. (OMEX),3.3M,3.46,0.64,22.52
27,Navitas Semiconductor Corp. (NVTS),44.4M,10.07,1.84,22.36
28,Nouveau Monde Graphite Inc. (NMG),1.1M,4.07,0.73,21.86
29,Nanobiotix S.A. ADR (NBTX),128.8K,28.75,5.15,21.82
30,Fluence Energy Inc. (FLNC),6.7M,15.78,2.69,20.55
31,Arqit Quantum Inc. (ARQQ),780.2K,58.45,9.93,20.47
32,Ondas Holdings Inc. (ONDS),34.1M,11.07,1.85,20.07
33,Ioneer Ltd. ADR (IONR),617.2K,7.4,1.23,19.94
34,EUDA Health Holdings Ltd. (EUDA),113.7K,3.42,0.56,19.58
35,Volato Group Inc. (SOAR),2.7M,2.97,0.48,19.17
36,W&T Offshore Inc. (WTI),7.6M,2.47,0.4,19.12
37,Energy Fuels Inc. (UUUU),30.2M,24.18,3.85,18.9
38,WhiteFiber Inc. (WYFI),843.7K,39.26,6.24,18.88
39,Microvast Holdings Inc. (MVST),11.8M,5.14,0.81,18.81
40,Northern Dynasty Minerals Ltd. (NAK),32.0M,2.4,0.37,18.22
41,Brilliant Earth Group Inc. Cl A (BRLT),147.3K,2.5,0.38,17.92
42,Velo3D Inc. (VELO),739.3K,5.25,0.8,17.88
43,Rigetti Computing Inc. (RGTI),87.2M,51.72,7.8,17.76
44,Mobilicom Ltd. ADR (MOB),373.1K,9.86,1.49,17.75
45,NexMetals Mining Corp. (NEXM),162.7K,6.51,0.98,17.72
46,Forward Industries Inc. (FORD),300.5K,24.0,3.61,17.7
47,AXT Inc. (AXTI),1.9M,4.74,0.7,17.49
48,D-Wave Quantum Inc. (QBTS),42.0M,38.74,5.72,17.32
49,Lightbridge Corp. (LTBR),2.5M,25.81,3.73,16.89
50,Nukkleus Inc. (NUKK),930.9K,9.3,1.34,16.83
51,TMC the metals company Inc. (TMC),20.1M,10.38,1.49,16.77
52,BTQ Technologies Corp. (BTQ),6.5M,11.8,1.68,16.6
53,Nano Nuclear Energy Inc. (NNE),4.6M,53.42,7.58,16.55
54,Graphjet Technology (GTI),210.9K,4.51,0.64,16.47
55,5E Advanced Materials Inc. (FEAM),327.5K,6.56,0.9,15.9
56,QuantumScape Corp. Cl A (QS),45.6M,17.01,2.31,15.71
57,Cipher Mining Inc. (CIFR),35.7M,19.63,2.66,15.67
58,Red Cat Holdings Inc. (RCAT),9.8M,15.18,2.06,15.66
59,Lithium Argentina AG (LAR),4.0M,5.17,0.7,15.66
60,Atlas Lithium Corp. (ATLX),1.6M,7.28,0.98,15.56
61,Standard Lithium Ltd. (SLI),3.9M,5.19,0.68,15.05
62,Universal Safety Products Inc. (UUU),220.9K,5.03,0.65,14.83
63,Power Integrations Inc. (POWI),3.2M,39.71,5.07,14.65
64,ENDRA Life Sciences Inc. (NDRA),13.3M,7.42,0.94,14.51
65,Sandisk Corp. (SNDK),5.1M,133.84,16.93,14.49
66,Zepp Health Corp. ADR (ZEPP),245.8K,55.59,7.02,14.45
67,Blackboxstocks Inc. (BLBX),3.0M,9.31,1.16,14.23
68,Oklo Inc. (OKLO),17.1M,167.95,20.79,14.13
69,BigBear.ai Holdings Inc. (BBAI),101.1M,8.23,1.01,13.94
70,Draganfly Inc. (DPRO),3.5M,13.68,1.67,13.9
71,Argan Inc. (AGX),208.0K,291.62,35.48,13.85
72,Foremost Clean Energy Ltd. (FMST),453.7K,3.57,0.43,13.69
73,Tango Therapeutics Inc. (TNGX),867.9K,8.12,0.97,13.66
74,Alpha & Omega Semiconductor Inc. (AOSL),185.1K,29.12,3.46,13.5
75,Nvni Group Ltd. (NVNI),449.6K,3.49,0.41,13.35
76,Pixelworks Inc. (PXLW),185.3K,14.55,1.71,13.32
77,Skeena Resources Ltd. (SKE),469.6K,20.72,2.42,13.23
78,IonQ Inc. (IONQ),19.6M,79.96,9.31,13.18
79,NuScale Power Corp. (SMR),18.1M,44.37,5.13,13.07
80,Palladyne AI Corp. (PDYN),1.3M,9.37,1.08,13.04
81,Mannatech Inc. (MTEX),558.5K,10.17,1.17,13.0
82,Plug Power Inc. (PLUG),125.1M,3.86,0.44,12.97
83,SEALSQ Corp. (LAES),35.5M,6.11,0.7,12.94
84,Solaris Energy Infrastructure Inc. (SEI),2.1M,50.76,5.78,12.84
85,Greenwave Technology Solutions Inc. (GWAV),372.8K,8.11,0.92,12.8
86,Ramaco Resources Inc. Cl B (METCB),109.5K,20.65,2.33,12.72
87,Fossil Group Inc. (FOSL),314.6K,2.57,0.29,12.72
88,Grupo Supervielle S.A. ADR (SUPV),1.3M,6.44,0.72,12.59
89,NuCana PLC ADR (NCNA),342.6K,6.0,0.67,12.55
90,SES AI Corp. (SES),15.4M,3.39,0.37,12.28
91,Ameresco Inc. Cl A (AMRC),458.0K,42.81,4.63,12.13
92,Dogwood Therapeutics Inc. (DWTX),53.6K,6.02,0.65,12.07
93,Trilogy Metals Inc. (TMQ),20.2M,6.64,0.71,12.06
94,Aeva Technologies Inc. (AEVA),1.3M,17.49,1.88,12.04
95,Transalta Corp. (TAC),4.1M,17.38,1.79,11.48
96,Endeavour Silver Corp. (EXK),8.6M,8.53,0.87,11.36
97,VNET Group Inc. ADR (VNET),3.5M,9.48,0.96,11.34
98,SuperX AI Technology Ltd. (SUPX),229.6K,64.76,6.59,11.34
99,WISeKey International Holding Ltd. ADR (WKEY),236.6K,7.76,0.79,11.33
