,Unnamed: 0,Volume,Last,Chg,% Chg
0,Praxis Precision Medicines Inc. (PRAX),13.2M,162.71,105.36,183.71
1,rYojbaba Co. Ltd. (RYOJ),27.4M,4.76,2.58,119.12
2,Apollomics Inc. (APLM),257.1K,31.69,12.19,62.51
3,Earlyworks Co. Ltd. ADR (ELWS),31.1M,5.06,1.38,37.5
4,Sensei Biotherapeutics Inc. (SNSE),118.4K,17.7,4.03,29.43
5,bioAffinity Technologies Inc. (BIAF),20.0M,3.41,0.7,25.83
6,Whitehawk Therapeutics Inc. (WHWK),93.6M,2.59,0.49,23.33
7,NextCure Inc. (NXTC),339.4K,8.38,1.57,23.1
8,J.B. Hunt Transport Services Inc. (JBHT),5.8M,169.65,30.82,22.2
9,Mingteng International Corp. Inc. (MTEN),556.5K,4.58,0.83,22.1
10,Personalis Inc. (PSNL),2.8M,10.3,1.77,20.75
11,Real Messenger Corp. (RMSG),620.2K,3.1,0.46,17.42
12,Q/C Technologies Inc. (QCLS),3.5M,5.51,0.77,16.24
13,AXIL Brands Inc. (AXIL),51.9K,6.15,0.85,16.04
14,Nova Minerals Ltd. ADR (NVA),2.6M,62.65,8.07,14.8
15,Energous Corp. (WATT),2.5M,10.2,1.3,14.61
16,GRAIL Inc. (GRAL),1.9M,86.23,10.71,14.18
17,Aqua Metals Inc. (AQMS),8.9M,15.87,1.93,13.85
18,TScan Therapeutics Inc. (TCRX),989.8K,2.48,0.25,11.21
19,C4 Therapeutics Inc. (CCCC),10.3M,2.46,0.24,11.04
20,GitLab Inc. Cl A (GTLB),12.5M,48.34,4.7,10.77
21,VisionWave Holdings Inc. (VWAV),321.1K,11.87,1.13,10.52
22,Agroz Inc. (AGRZ),333.6K,4.94,0.47,10.52
23,Planet Green Holdings Corp. (PLAG),953.1K,2.3,0.21,10.05
24,Belite Bio Inc. ADR (BLTE),128.5K,89.0,7.74,9.52
25,Cellectis S.A. ADR (CLLS),1.3M,4.5,0.39,9.49
26,Crescent Biopharma Inc. (CBIO),584.6K,12.35,1.06,9.39
27,Delcath Systems Inc. (DCTH),931.8K,12.36,1.03,9.14
28,Kyivstar Group Ltd. (KYIV),1.8M,13.9,1.16,9.11
29,Professional Diversity Network Inc. (IPDN),151.7K,4.2,0.34,8.96
30,Corbus Pharmaceuticals Holdings Inc. (CRBP),500.0K,19.06,1.56,8.91
31,Aureus Greenway Holdings Inc. (AGH),148.7K,5.04,0.4,8.51
32,Turn Therapeutics Inc. (TTRX),410.6K,5.53,0.43,8.39
33,17 Education & Technology Group Inc. ADR (YQ),85.8K,5.91,0.45,8.24
34,Creative Medical Technology Holdings Inc. (CELZ),177.2K,4.01,0.3,8.09
35,Clean Energy Technologies Inc. (CETY),1.1M,2.8,0.2,7.69
36,I-Mab ADR (IMAB),2.5M,6.6,0.47,7.67
37,Hecla Mining Co. (HL),23.4M,15.22,1.05,7.45
38,Skillsoft Corp. (SKIL),85.0K,14.93,1.03,7.41
39,PMGC Holdings Inc. (ELAB),405.2K,7.99,0.55,7.39
40,Triumph Financial Inc. (TFIN),703.0K,51.41,3.52,7.35
41,RxSight Inc. (RXST),781.1K,8.48,0.57,7.28
42,Prenetics Global Ltd. (PRE),175.5K,15.91,1.07,7.21
43,TFI International Inc. (TFII),329.3K,95.41,6.41,7.2
44,Sera Prognostics Inc. (SERA),90.8K,3.35,0.22,7.03
45,AXT Inc. (AXTI),1.8M,4.91,0.32,6.97
46,Cryoport Inc. (CYRX),2.7M,10.72,0.71,7.09
47,Endeavour Silver Corp. (EXK),18.5M,10.14,0.66,6.9
48,Banco Bilbao Vizcaya Argentaria S.A. ADR (BBVA),5.4M,19.51,1.25,6.85
49,RAPT Therapeutics Inc. (RAPT),140.4K,28.86,1.83,6.77
50,FTC Solar Inc. (FTCI),112.2K,9.4,0.58,6.58
51,Knight-Swift Transportation Holdings Inc. Cl A (KNX),4.7M,47.08,2.88,6.52
52,DBV Technologies S.A. ADR (DBVT),267.8K,16.95,1.03,6.47
53,VEON Ltd. ADR (VEON),174.1K,54.96,3.33,6.45
54,Gold Fields Ltd. ADR (GFI),4.4M,46.6,2.81,6.43
55,Synergy CHC Corp. (SNYR),164.3K,2.33,0.14,6.39
56,Metagenomi Inc. (MGX),5.7M,3.33,0.2,6.39
