,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
32,CDE,"Coeur Mining, Inc.",,22.33 +1.34 (+6.41%),1.34,+6.41%,6.991M,14.556M,14.355B,55.84,+221.44%,4.58 22.75
33,ALGM,"Allegro MicroSystems, Inc.",,29.40 +1.79 (+6.48%),1.79,+6.48%,1.664M,1.709M,5.44B,--,+34.62%,16.38 38.45
34,ADPT,Adaptive Biotechnologies Corporation,,16.55 +0.97 (+6.23%),0.97,+6.23%,565758,1.961M,2.52B,--,+224.58%,4.27 16.68
35,AG,First Majestic Silver Corp.,,14.69 +0.88 (+6.40%),0.88,+6.40%,11.857M,20.169M,7.2B,--,+112.46%,5.09 14.88
36,RXO,"RXO, Inc.",,18.03 +1.09 (+6.43%),1.09,+6.43%,531712,1.931M,2.957B,--,-42.77%,12.19 31.98
37,DOCN,"DigitalOcean Holdings, Inc.",,43.11 +2.63 (+6.50%),2.63,+6.50%,1.671M,2.882M,3.925B,32.91,-7.05%,25.45 47.02
38,FSLR,"First Solar, Inc.",,239.54 +15.11 (+6.73%),15.11,+6.73%,1.977M,2.637M,25.69B,20.49,+9.15%,116.56 239.54
39,GRAL,"GRAIL, Inc.",,73.50 +4.21 (+6.07%),4.21,+6.07%,405368,924298,2.65B,--,+383.87%,12.76 75.53
40,ALVO,Alvotech,,9.02 +0.52 (+6.12%),0.52,+6.12%,292308,389015,2.811B,39.22,-31.45%,7.35 13.70
41,BEAM,Beam Therapeutics Inc.,,26.94 +1.52 (+5.98%),1.52,+5.98%,1.001M,2.578M,2.725B,--,-4.76%,13.53 35.25
42,EQX,Equinox Gold Corp.,,12.68 +0.81 (+6.78%),0.81,+6.78%,6.622M,15.712M,9.912B,--,+101.87%,4.95 12.70
43,IRON,"Disc Medicine, Inc.",,77.52 +4.52 (+6.19%),4.52,+6.19%,172348,359431,2.695B,--,+52.12%,30.82 78.17
44,KGC,Kinross Gold Corporation,,27.02 +1.58 (+6.21%),1.58,+6.21%,6.997M,18.271M,32.96B,21.79,+153.64%,8.99 27.45
45,WRD,WeRide Inc.,,11.26 +0.64 (+6.03%),0.64,+6.03%,5.842M,7.471M,3.522B,--,-35.83%,6.03 44.00
46,CLS,Celestica Inc.,,262.28 +14.53 (+5.86%),14.53,+5.86%,1.213M,3.366M,30.202B,57.27,+324.08%,55.30 270.15
47,NUVL,"Nuvalent, Inc.",,89.59 +4.93 (+5.82%),4.93,+5.82%,257215,437504,6.46B,--,-19.23%,55.54 105.13
48,RNA,"Avidity Biosciences, Inc.",,50.99 +2.86 (+5.94%),2.86,+5.94%,518507,3.197M,7.44B,--,-1.66%,21.51 56.00
49,ARQT,"Arcutis Biotherapeutics, Inc.",,21.69 +1.26 (+6.17%),1.26,+6.17%,775209,1.772M,2.601B,--,+110.19%,8.03 21.69
50,NVMI,Nova Ltd.,,331.99 +17.91 (+5.70%),17.91,+5.70%,119303,400948,9.844B,45.05,+66.56%,154.00 336.96
51,KLAC,KLA Corporation,,"1,084.30 +58.59 (+5.71%)",58.59,+5.71%,522418,1.001M,142.785B,35.71,+50.27%,"551.33 1,155.00"
52,SMMT,Summit Therapeutics Inc.,,22.99 +1.24 (+5.70%),1.24,+5.70%,1.1M,3.788M,17.078B,--,-7.29%,15.55 36.91
53,FSM,Fortuna Mining Corp.,,9.69 +0.52 (+5.67%),0.52,+5.67%,9.973M,17.187M,2.976B,17.62,+97.63%,4.13 9.82
54,MS,Morgan Stanley,,164.00 +8.66 (+5.57%),8.66,+5.57%,7.007M,5.212M,261.799B,18.59,+29.98%,94.33 166.77
55,DNLI,Denali Therapeutics Inc.,,16.06 +0.85 (+5.59%),0.85,+5.59%,682360,1.948M,2.348B,--,-45.01%,10.57 33.33
56,PLXS,Plexus Corp.,,147.68 +7.74 (+5.53%),7.74,+5.53%,125692,193765,3.985B,25.20,+1.35%,103.43 172.89
57,SA,Seabridge Gold Inc.,,27.55 +1.41 (+5.39%),1.41,+5.39%,656097,1.247M,2.814B,--,+51.54%,9.40 27.79
58,VSH,"Vishay Intertechnology, Inc.",,16.92 +0.88 (+5.49%),0.88,+5.49%,575276,1.533M,2.294B,--,-12.35%,10.35 20.15
59,ASX,"ASE Technology Holding Co., Ltd.",,11.94 +0.62 (+5.43%),0.62,+5.43%,3.633M,6.848M,25.954B,24.36,+9.16%,6.94 11.98
60,GNRC,Generac Holdings Inc.,,193.30 +9.48 (+5.16%),9.48,+5.16%,753064,1.051M,11.342B,32.16,+5.52%,99.50 203.25
61,MRNA,"Moderna, Inc.",,27.63 +1.38 (+5.26%),1.38,+5.26%,3.939M,10.095M,10.75B,--,-54.32%,23.15 58.45
62,BTG,B2Gold Corp.,,5.65 +0.31 (+5.90%),0.31,+5.90%,28.208M,41.903M,7.504B,--,+61.82%,2.20 5.66
63,BMA,Banco Macro S.A.,,53.49 +2.63 (+5.18%),2.63,+5.18%,574787,622029,3.569B,12.77,-27.64%,38.30 118.42
64,VEON,VEON Ltd.,,51.52 +2.67 (+5.47%),2.67,+5.47%,73711,166681,4.173B,3.80,+63.87%,29.29 64.00
65,APLD,Applied Digital Corporation,,36.90 +1.85 (+5.29%),1.85,+5.29%,31.873M,32.916M,10.319B,--,+335.28%,3.31 40.08
66,AGI,Alamos Gold Inc.,,35.87 +1.81 (+5.31%),1.81,+5.31%,1.692M,3.749M,15.087B,43.74,+70.56%,17.43 36.01
67,LB,LandBridge Company LLC,,54.22 +2.69 (+5.22%),2.69,+5.22%,179990,560550,4.151B,70.42,+0.53%,48.55 87.60
68,BE,Bloom Energy Corporation,,120.21 +6.15 (+5.40%),6.15,+5.40%,9.124M,12.976M,28.13B,1092.86,+995.68%,9.02 125.75
69,WBTN,WEBTOON Entertainment Inc.,,18.30 +0.89 (+5.11%),0.89,+5.11%,239279,964912,2.39B,--,+54.21%,6.75 22.47
70,APGE,"Apogee Therapeutics, Inc.",,55.00 +2.67 (+5.11%),2.67,+5.11%,382123,647018,3.72B,--,-7.80%,26.20 63.50
71,ENVX,Enovix Corporation,,13.52 +0.65 (+5.06%),0.65,+5.06%,8.157M,8.22M,2.943B,--,+16.05%,5.27 16.49
72,RARE,Ultragenyx Pharmaceutical Inc.,,33.29 +1.60 (+5.05%),1.6,+5.05%,503491,1.785M,3.208B,--,-45.08%,25.81 58.00
73,DYN,"Dyne Therapeutics, Inc.",,16.21 +0.76 (+4.92%),0.76,+4.92%,1.478M,2.631M,2.306B,--,-56.36%,6.36 35.90
74,CGAU,Centerra Gold Inc.,,12.41 +0.60 (+5.13%),0.6,+5.13%,520871,1.748M,2.528B,36.51,+64.94%,5.41 12.49
75,NTLA,"Intellia Therapeutics, Inc.",,25.10 +1.20 (+5.02%),1.2,+5.02%,2.537M,5.677M,2.694B,--,+16.13%,5.90 26.99
76,CPRI,Capri Holdings Limited,,21.00 +0.98 (+4.92%),0.98,+4.92%,1.194M,2.869M,2.501B,--,-53.34%,11.86 43.15
77,SIMO,Silicon Motion Technology Corporation,,93.11 +4.37 (+4.92%),4.37,+4.92%,116379,354171,3.164B,40.31,+57.56%,37.21 104.90
78,FLR,Fluor Corporation,,50.65 +2.42 (+5.02%),2.42,+5.02%,4.018M,4.106M,8.188B,2.10,-11.68%,29.20 60.10
79,SEDG,"SolarEdge Technologies, Inc.",,39.62 +1.89 (+5.01%),1.89,+5.01%,2.038M,4.377M,2.352B,--,+103.18%,10.24 41.92
80,VNET,"VNET Group, Inc.",,9.62 +0.44 (+4.79%),0.44,+4.79%,3.453M,6.582M,2.588B,--,+150.14%,3.25 16.13
81,DRD,DRDGOLD Limited,,30.34 +1.38 (+4.77%),1.38,+4.77%,410815,710525,2.67B,26.85,+169.40%,8.38 30.56
82,VG,"Venture Global, Inc.",,9.44 +0.44 (+4.89%),0.44,+4.89%,5.199M,8.018M,22.92B,16.00,-62.50%,6.75 24.00
83,ATAT,Atour Lifestyle Holdings Limited,,37.07 +1.68 (+4.75%),1.68,+4.75%,656816,1.206M,5.123B,26.67,+31.37%,21.50 40.39
84,IAG,IAMGOLD Corporation,,14.23 +0.63 (+4.67%),0.63,+4.67%,5.98M,14.024M,8.197B,9.95,+167.72%,4.89 14.40
85,ELF,"e.l.f. Beauty, Inc.",,138.66 +6.17 (+4.66%),6.17,+4.66%,449612,1.896M,7.867B,81.56,+23.73%,49.40 150.99
86,BBAR,Banco BBVA Argentina S.A.,,9.82 +0.41 (+4.37%),0.41,+4.37%,674215,1.1M,2.165B,9.92,-17.02%,7.76 25.01
87,RBLX,Roblox Corporation,,139.43 +6.15 (+4.61%),6.15,+4.61%,4.859M,8.536M,96.659B,--,+222.01%,39.30 150.59
88,CGON,"CG Oncology, Inc.",,44.81 +1.97 (+4.59%),1.97,+4.59%,360131,974048,3.417B,--,+15.65%,14.80 45.56
89,LUMN,"Lumen Technologies, Inc.",,7.17 +0.30 (+4.37%),0.3,+4.37%,6.208M,14.871M,7.358B,--,+10.10%,3.01 10.33
90,TTMI,"TTM Technologies, Inc.",,57.71 +2.46 (+4.45%),2.46,+4.45%,553600,2.555M,5.962B,64.84,+174.47%,15.77 62.60
91,MANU,Manchester United plc,,17.66 +0.75 (+4.44%),0.75,+4.44%,466889,301529,3.045B,--,+2.36%,12.05 19.65
92,TKC,Turkcell Iletisim Hizmetleri A.S.,,5.78 +0.24 (+4.33%),0.24,+4.33%,1.546M,1.962M,5.037B,17.00,-12.34%,5.35 7.63
93,CORZ,"Core Scientific, Inc.",,19.78 +0.84 (+4.46%),0.84,+4.46%,11.174M,14.967M,6.081B,--,+42.94%,6.20 20.17
94,FLEX,Flex Ltd.,,62.17 +2.58 (+4.32%),2.58,+4.32%,1.995M,3.75M,23.251B,27.39,+73.61%,25.11 62.82
95,BAC,Bank of America Corporation,,52.33 +2.24 (+4.47%),2.24,+4.47%,35.58M,34.572M,387.606B,15.35,+17.03%,33.07 52.88
96,FN,Fabrinet,,391.94 +16.70 (+4.45%),16.7,+4.45%,118702,642056,14.004B,42.79,+43.03%,148.55 397.26
97,RUN,Sunrun Inc.,,21.59 +0.91 (+4.40%),0.91,+4.40%,4.265M,13.631M,4.982B,--,+34.29%,5.38 22.44
98,CRSP,CRISPR Therapeutics AG,,72.26 +2.88 (+4.15%),2.88,+4.15%,1.078M,2.882M,6.572B,--,+41.59%,30.04 78.48
99,ACAD,ACADIA Pharmaceuticals Inc.,,21.25 +0.89 (+4.37%),0.89,+4.37%,691530,2.049M,3.585B,15.98,+35.37%,13.40 26.65
100,COGT,"Cogent Biosciences, Inc.",,16.15 +0.72 (+4.63%),0.72,+4.63%,810040,1.836M,2.255B,--,+35.95%,3.72 16.99
101,ACHR,Archer Aviation Inc.,,13.52 +0.49 (+3.80%),0.49,+3.80%,57.534M,41.534M,8.718B,--,+308.15%,2.99 14.62
102,QS,QuantumScape Corporation,,17.54 +0.66 (+3.90%),0.66,+3.90%,47.169M,46.839M,9.927B,--,+206.35%,3.40 19.07
103,KYMR,"Kymera Therapeutics, Inc.",,60.76 +2.51 (+4.30%),2.51,+4.30%,197238,715676,4.345B,--,+18.85%,19.45 60.88
104,PLD,"Prologis, Inc.",,120.45 +5.00 (+4.33%),5.0,+4.33%,2.598M,3.543M,111.858B,32.47,-9.07%,85.35 127.65
105,STNE,StoneCo Ltd.,,17.74 +0.74 (+4.32%),0.74,+4.32%,1.233M,4.988M,4.745B,--,+55.68%,7.72 19.95
106,AVAH,Aveanna Healthcare Holdings Inc.,,9.72 +0.40 (+4.29%),0.4,+4.29%,1.202M,1.346M,2.03B,108.00,+70.70%,3.67 9.72
107,CC,The Chemours Company,,14.32 +0.56 (+4.07%),0.56,+4.07%,1.429M,3.546M,2.144B,--,-30.72%,9.13 22.38
108,GSAT,"Globalstar, Inc.",,45.12 +1.81 (+4.17%),1.81,+4.17%,400319,1.032M,5.715B,--,+138.62%,15.00 47.44
109,GLNG,Golar LNG Limited,,39.66 +1.54 (+4.04%),1.54,+4.04%,609684,1.212M,4.057B,--,-0.81%,29.56 45.98
110,QURE,uniQure N.V.,,61.28 +2.33 (+3.94%),2.33,+3.94%,898311,3.204M,3.775B,--,+811.28%,5.35 65.12
111,ACLX,"Arcellx, Inc.",,90.89 +3.56 (+4.08%),3.56,+4.08%,184105,538801,5.041B,--,-6.10%,47.86 107.37
112,CPRX,"Catalyst Pharmaceuticals, Inc.",,21.16 +0.85 (+4.16%),0.85,+4.16%,395466,1.512M,2.589B,12.82,-6.28%,19.05 26.58
113,ENPH,"Enphase Energy, Inc.",,37.98 +1.54 (+4.23%),1.54,+4.23%,4.862M,8.451M,4.966B,29.44,-60.87%,29.89 93.57
114,CRNX,"Crinetics Pharmaceuticals, Inc.",,45.90 +1.85 (+4.20%),1.85,+4.20%,272732,1.394M,4.323B,--,-25.16%,24.10 62.53
115,TARS,"Tarsus Pharmaceuticals, Inc.",,72.72 +2.89 (+4.14%),2.89,+4.14%,261033,682251,3.07B,--,+85.77%,35.84 73.24
116,PPTA,Perpetua Resources Corp.,,28.26 +1.07 (+3.95%),1.07,+3.95%,4.095M,2.713M,3.044B,--,+176.88%,7.81 31.65
117,NTRA,"Natera, Inc.",,179.68 +6.87 (+3.98%),6.87,+3.98%,353866,1.283M,24.661B,--,+36.32%,117.27 183.00
118,FOLD,"Amicus Therapeutics, Inc.",,8.38 +0.34 (+4.17%),0.34,+4.17%,2.279M,4.717M,2.582B,--,-23.43%,5.51 12.65
119,DELL,Dell Technologies Inc.,,154.86 +6.09 (+4.09%),6.09,+4.09%,2.817M,6.791M,103.787B,22.64,+17.39%,66.25 166.10
120,YPF,YPF Sociedad Anónima,,27.23 +1.18 (+4.53%),1.18,+4.53%,1.803M,2.368M,11.501B,8.78,+4.70%,22.82 47.43
121,GH,"Guardant Health, Inc.",,64.97 +2.41 (+3.85%),2.41,+3.85%,571200,2.569M,8.102B,--,+189.36%,20.14 68.00
122,ANET,Arista Networks Inc,,144.46 +5.68 (+4.09%),5.68,+4.09%,4.325M,9.188M,181.573B,56.65,+36.71%,59.43 162.68
123,POWI,"Power Integrations, Inc.",,48.94 +1.91 (+4.06%),1.91,+4.06%,1.961M,855653,2.745B,82.95,-26.16%,34.55 69.53
124,GFI,Gold Fields Limited,,43.88 +1.72 (+4.08%),1.72,+4.08%,2.146M,3.33M,39.715B,21.00,+157.86%,12.98 44.03
125,MPWR,"Monolithic Power Systems, Inc.",,"1,009.00 +40.75 (+4.21%)",40.75,+4.21%,219649,558050,48.323B,26.38,+7.00%,"438.86 1,016.95"
126,PCVX,"Vaxcyte, Inc.",,44.57 +1.72 (+4.01%),1.72,+4.01%,538165,1.655M,5.786B,--,-63.66%,27.66 118.62
127,U,Unity Software Inc.,,37.99 +1.41 (+3.84%),1.41,+3.84%,2.953M,13.097M,16.049B,--,+67.88%,15.33 46.94
128,ENTG,"Entegris, Inc.",,94.54 +3.60 (+3.96%),3.6,+3.96%,490190,2.736M,14.313B,48.48,-11.13%,60.75 112.36
129,CVNA,Carvana Co.,,359.36 +13.45 (+3.89%),13.45,+3.89%,948187,2.813M,42.026B,89.62,+78.86%,148.25 413.34
130,AS,"Amer Sports, Inc.",,32.12 +1.20 (+3.90%),1.2,+3.90%,3.865M,4.541M,17.816B,78.35,+66.06%,17.32 42.36
131,PL,Planet Labs PBC,,15.38 +0.60 (+4.05%),0.6,+4.05%,5.756M,11.512M,4.735B,--,+528.94%,2.19 16.78
132,AEM,Agnico Eagle Mines Limited,,177.94 +6.75 (+3.94%),6.75,+3.94%,1.22M,2.866M,89.436B,30.31,+108.24%,75.17 179.20
133,XP,XP Inc.,,16.66 +0.62 (+3.87%),0.62,+3.87%,2.762M,6.822M,8.776B,10.10,-11.63%,10.82 20.64
134,CSTM,Constellium SE,,15.91 +0.59 (+3.85%),0.59,+3.85%,494760,1.241M,2.22B,69.17,+3.23%,7.33 16.49
135,EOSE,"Eos Energy Enterprises, Inc.",,17.67 +0.67 (+3.94%),0.67,+3.94%,20.552M,17.344M,4.932B,--,+392.17%,2.06 19.04
136,NXT,Nextracker Inc.,,90.36 +3.41 (+3.92%),3.41,+3.92%,1.767M,2.256M,13.715B,24.62,+148.14%,30.93 93.50
137,KYIV,Kyivstar Group Ltd.,,12.68 +0.48 (+3.89%),0.48,+3.89%,394369,1.072M,2.926B,9.75,+22.61%,9.92 16.48
138,GRND,Grindr Inc.,,13.23 +0.49 (+3.89%),0.49,+3.89%,1.364M,2.292M,2.541B,--,-0.70%,11.73 25.13
139,AXSM,"Axsome Therapeutics, Inc.",,128.15 +4.63 (+3.75%),4.63,+3.75%,328378,558962,6.395B,--,+37.29%,75.56 139.13
140,CYTK,"Cytokinetics, Incorporated",,63.32 +2.29 (+3.75%),2.29,+3.75%,731633,2.161M,7.577B,--,+10.40%,29.31 63.54
141,BOOT,"Boot Barn Holdings, Inc.",,186.85 +6.79 (+3.77%),6.79,+3.77%,270957,565104,5.709B,29.38,+7.76%,86.17 191.31
142,TEO,Telecom Argentina S.A.,,7.70 +0.28 (+3.77%),0.28,+3.77%,41279,257973,3.56B,--,-12.81%,6.43 15.54
143,SHG,"Shinhan Financial Group Co., Ltd.",,50.77 +1.83 (+3.74%),1.83,+3.74%,136895,202343,24.649B,7.90,+17.00%,28.76 52.00
144,SRAD,Sportradar Group AG,,27.40 +0.97 (+3.67%),0.97,+3.67%,1.367M,2.098M,8.109B,70.26,+112.12%,12.20 32.22
145,ORLA,Orla Mining Ltd.,,13.65 +0.52 (+3.92%),0.52,+3.92%,3.222M,2.371M,4.447B,194.93,+186.06%,3.81 13.82
146,GGAL,Grupo Financiero Galicia S.A.,,33.49 +1.28 (+3.97%),1.28,+3.97%,2.258M,2.634M,5.807B,4.84,-34.05%,25.89 74.00
147,BVN,Compañía de Minas Buenaventura S.A.A.,,26.24 +0.96 (+3.80%),0.96,+3.80%,859176,1.128M,6.657B,16.00,+90.94%,11.50 26.95
148,FORM,"FormFactor, Inc.",,41.73 +1.48 (+3.68%),1.48,+3.68%,254518,895187,3.218B,73.21,-7.92%,22.58 50.79
149,PTCT,"PTC Therapeutics, Inc.",,68.37 +2.28 (+3.45%),2.28,+3.45%,459208,1.275M,5.431B,9.70,+80.08%,35.51 69.26
150,LRCX,Lam Research Corporation,,143.36 +5.05 (+3.65%),5.05,+3.65%,4.273M,11.87M,180.782B,34.54,+86.55%,56.32 153.70
151,TTE,TotalEnergies SE,,60.45 +2.09 (+3.58%),2.09,+3.58%,1.112M,1.395M,130.827B,10.95,-9.45%,52.78 65.76
152,KB,KB Financial Group Inc.,,81.62 +2.83 (+3.59%),2.83,+3.59%,31063,180328,29.722B,7.92,+13.19%,46.38 92.39
153,TPL,Texas Pacific Land Corporation,,940.07 +32.55 (+3.59%),32.55,+3.59%,56087,145389,21.602B,46.86,-13.40%,"845.56 1,769.14"
154,LVS,Las Vegas Sands Corp.,,49.76 +1.72 (+3.58%),1.72,+3.58%,1.967M,5.175M,34.158B,25.13,-7.04%,30.18 58.05
155,OCUL,"Ocular Therapeutix, Inc.",,11.61 +0.38 (+3.38%),0.38,+3.38%,891004,2.645M,2.46B,--,-2.09%,5.79 13.85
156,WPP,WPP plc,,23.70 +0.80 (+3.49%),0.8,+3.49%,187889,469356,5.113B,10.26,-54.46%,22.42 57.37
157,VIST,"Vista Energy, S.A.B. de C.V.",,36.45 +1.27 (+3.61%),1.27,+3.61%,491309,1.284M,4.063B,6.65,-24.99%,31.63 61.67
158,RDNT,"RadNet, Inc.",,76.37 +2.56 (+3.47%),2.56,+3.47%,156366,774634,5.874B,--,+4.87%,45.00 93.65
159,CVCO,"Cavco Industries, Inc.",,526.54 +15.57 (+3.05%),15.57,+3.05%,83699,159207,4.169B,22.85,+13.57%,393.53 600.00
160,PAM,Pampa Energía S.A.,,66.16 +2.22 (+3.47%),2.22,+3.47%,192418,347259,3.859B,8.02,-0.65%,54.95 97.55
161,KEP,Korea Electric Power Corporation,,14.02 +0.48 (+3.53%),0.48,+3.53%,164289,489343,17.998B,4.07,+78.86%,6.68 15.19
162,RELY,"Remitly Global, Inc.",,15.83 +0.52 (+3.40%),0.52,+3.40%,1.412M,3.713M,3.264B,263.83,+9.20%,13.80 27.32
163,HAFN,Hafnia Limited,,5.75 +0.19 (+3.42%),0.19,+3.42%,343703,1.156M,2.883B,6.85,-16.89%,3.61 6.73
164,PSIX,"Power Solutions International, Inc.",,94.82 +2.91 (+3.17%),2.91,+3.17%,254273,747720,2.184B,19.71,+275.14%,15.30 121.78
165,SLAB,Silicon Laboratories Inc.,,135.38 +4.59 (+3.51%),4.59,+3.51%,76373,311221,4.443B,--,+13.46%,82.82 160.00
166,PAAS,Pan American Silver Corp.,,40.89 +1.35 (+3.42%),1.35,+3.42%,3.056M,5.961M,17.257B,28.20,+79.65%,19.80 41.50
167,RIVN,"Rivian Automotive, Inc.",,13.57 +0.45 (+3.43%),0.45,+3.43%,18.311M,45.174M,16.466B,--,+28.12%,9.50 17.15
168,ROKU,"Roku, Inc.",,97.39 +2.99 (+3.16%),2.99,+3.16%,874394,3.614M,14.348B,--,+21.71%,52.43 107.25
169,CNK,"Cinemark Holdings, Inc.",,27.02 +0.86 (+3.29%),0.86,+3.29%,1.983M,3.966M,3.108B,14.00,-8.75%,23.12 36.28
170,MNSO,MINISO Group Holding Limited,,22.90 +0.73 (+3.29%),0.73,+3.29%,698351,1M,6.968B,21.60,+34.61%,13.95 27.71
171,YMM,Full Truck Alliance Co. Ltd.,,12.47 +0.40 (+3.36%),0.4,+3.36%,1.839M,10.947M,13.037B,22.26,+35.51%,8.20 14.07
172,NEM,Newmont Corporation,,93.57 +3.03 (+3.35%),3.03,+3.35%,4.143M,10.926M,102.782B,16.95,+60.90%,36.86 93.93
173,ARMN,Aris Mining Corporation,,11.10 +0.35 (+3.26%),0.35,+3.26%,517602,1.723M,2.254B,370.00,+128.72%,3.29 11.22
174,KC,Kingsoft Cloud Holdings Limited,,13.35 +0.45 (+3.45%),0.45,+3.45%,703671,2.144M,3.984B,--,+369.09%,2.57 22.26
175,MRVL,"Marvell Technology, Inc.",,89.07 +2.85 (+3.31%),2.85,+3.31%,6.252M,21.114M,76.787B,--,+5.56%,47.09 127.48
176,SYNA,Synaptics Incorporated,,68.96 +2.22 (+3.33%),2.22,+3.33%,106898,413164,2.693B,--,-8.99%,41.80 89.81
177,LEGN,Legend Biotech Corporation,,34.32 +1.09 (+3.28%),1.09,+3.28%,871037,1.248M,6.334B,--,-24.51%,27.34 47.79
