,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,BTDR,Bitdeer Technologies Group,,25.36 +5.24 (+26.04%),5.24,+26.04%,22.244M,5.071M,5.424B,--,+140.96%,6.84 27.80
1,HI,"Hillenbrand, Inc.",,31.24 +4.75 (+17.91%),4.75,+17.91%,20.854M,592428,2.202B,--,-6.00%,18.36 35.59
2,NVTS,Navitas Semiconductor Corporation,,14.35 +1.78 (+14.13%),1.78,+14.13%,88.716M,31.889M,3.057B,--,+385.33%,1.52 15.43
3,AAOI,"Applied Optoelectronics, Inc.",,32.31 +3.83 (+13.47%),3.83,+13.47%,3.834M,5.102M,2.015B,--,+50.13%,9.71 44.50
4,SNDK,Sandisk Corporation,,144.15 +16.86 (+13.25%),16.86,+13.25%,5.615M,4.948M,21.104B,--,+253.58%,27.89 144.55
5,BG,Bunge Global SA,,91.97 +9.56 (+11.60%),9.56,+11.60%,2.679M,1.93M,18.4B,9.27,-13.36%,67.40 95.94
6,SMR,NuScale Power Corporation,,51.17 +5.38 (+11.75%),5.38,+11.75%,40.492M,16.33M,6.851B,--,+140.12%,11.08 56.16
7,CELC,Celcuity Inc.,,50.83 +4.63 (+10.02%),4.63,+10.02%,417338,1.526M,2.157B,--,+190.57%,7.58 63.06
8,EDU,New Oriental Education & Technology Group Inc.,,58.06 +5.18 (+9.80%),5.18,+9.80%,1.442M,1.187M,9.24B,25.24,-24.08%,40.66 71.50
9,NG,NovaGold Resources Inc.,,10.82 +0.94 (+9.51%),0.94,+9.51%,4.741M,3.781M,4.403B,--,+175.98%,2.26 10.90
10,SSRM,SSR Mining Inc.,,25.81 +2.21 (+9.36%),2.21,+9.36%,2.305M,3.454M,5.24B,33.09,+301.36%,5.06 25.98
11,TLX,Telix Pharmaceuticals Limited,,10.96 +0.92 (+9.16%),0.92,+9.16%,283589,171484,3.669B,548.00,-33.73%,8.93 30.36
12,APLS,"Apellis Pharmaceuticals, Inc.",,25.17 +2.02 (+8.73%),2.02,+8.73%,1.007M,2.461M,3.179B,--,-17.17%,16.10 35.72
13,CORT,Corcept Therapeutics Incorporated,,77.97 +5.85 (+8.12%),5.85,+8.12%,518034,853571,8.216B,69.62,+52.57%,42.01 117.33
14,NAMS,NewAmsterdam Pharma Company N.V.,,40.97 +3.11 (+8.21%),3.11,+8.21%,816135,965170,4.614B,--,+99.26%,14.06 41.47
15,AMD,"Advanced Micro Devices, Inc.",,235.66 +17.57 (+8.06%),17.57,+8.06%,64.749M,61.476M,382.439B,140.27,+39.68%,76.48 240.10
16,HL,Hecla Mining Company,,14.36 +1.07 (+8.05%),1.07,+8.05%,11.485M,24.795M,9.621B,89.75,+96.02%,4.46 14.64
17,HUT,Hut 8 Corp.,,53.82 +3.88 (+7.76%),3.88,+7.76%,8.625M,5.818M,5.68B,37.64,+287.17%,10.04 57.29
18,HIMS,"Hims & Hers Health, Inc.",,58.10 +4.08 (+7.54%),4.08,+7.54%,18.032M,30.02M,13.131B,73.54,+141.59%,18.33 72.98
19,INOD,Innodata Inc.,,81.21 +5.38 (+7.09%),5.38,+7.09%,1.174M,2.474M,2.586B,62.95,+330.36%,16.95 93.85
20,HMY,Harmony Gold Mining Company Limited,,20.98 +1.44 (+7.40%),1.44,+7.40%,3.967M,5.377M,13.101B,16.01,+84.59%,7.97 21.07
21,IDYA,"IDEAYA Biosciences, Inc.",,29.07 +2.00 (+7.39%),2.0,+7.39%,605142,1.159M,2.548B,--,-12.68%,13.45 32.67
22,MLCO,Melco Resorts & Entertainment Limited,,8.34 +0.55 (+7.13%),0.55,+7.13%,2.966M,2.784M,3.616B,59.54,+3.73%,4.55 10.15
23,LEU,Centrus Energy Corp.,,423.22 +27.06 (+6.83%),27.06,+6.83%,1.319M,1.443M,7.706B,68.48,+411.90%,49.40 460.09
24,FLNC,"Fluence Energy, Inc.",,19.79 +1.34 (+7.26%),1.34,+7.26%,12.209M,5.873M,3.612B,--,-17.67%,3.46 24.00
25,ARWR,"Arrowhead Pharmaceuticals, Inc.",,38.54 +2.58 (+7.17%),2.58,+7.17%,532431,2.499M,5.328B,--,+70.43%,9.57 39.42
26,RXRX,"Recursion Pharmaceuticals, Inc.",,6.32 +0.43 (+7.37%),0.43,+7.37%,73.282M,29.997M,2.761B,--,-15.98%,3.79 12.36
27,RGC,Regencell Bioscience Holdings Limited,,18.40 +1.18 (+6.85%),1.18,+6.85%,188571,354346,9.099B,--,"+12,987.19%",0.09 83.60
28,AAUC,Allied Gold Corporation,,20.24 +1.28 (+6.72%),1.28,+6.72%,185330,178317,2.335B,--,+158.38%,6.37 20.43
29,VKTX,"Viking Therapeutics, Inc.",,35.24 +2.19 (+6.63%),2.19,+6.63%,2.544M,6.421M,3.963B,--,-49.81%,18.92 81.73
30,TAL,TAL Education Group,,11.15 +0.70 (+6.73%),0.7,+6.73%,3.542M,4.804M,6.787B,65.61,+2.55%,8.50 15.30
31,EXK,Endeavour Silver Corp.,,9.25 +0.55 (+6.33%),0.55,+6.33%,9.629M,13.067M,2.684B,--,+100.46%,2.95 9.40
