,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,IRON,"Disc Medicine, Inc.",,90.71 +16.35 (+21.99%),16.35,+21.99%,1.626M,354075,3.154B,--,+47.07%,30.82 95.95
1,LBRT,Liberty Energy Inc.,,14.51 +2.57 (+21.49%),2.57,+21.49%,13.537M,4.155M,2.349B,11.16,-32.54%,9.50 23.58
2,PRAX,"Praxis Precision Medicines, Inc.",,187.85 +25.13 (+15.45%),25.13,+15.45%,2.953M,672403,3.954B,--,+122.28%,26.70 205.89
3,RVMD,"Revolution Medicines, Inc.",,54.53 +4.85 (+9.76%),4.85,+9.76%,2.216M,2.009M,10.193B,--,-1.49%,29.17 62.40
4,KVUE,Kenvue Inc.,,15.28 +1.18 (+8.33%),1.18,+8.33%,29.139M,27.695M,29.333B,20.38,-35.04%,14.05 25.17
5,AXP,American Express Company,,343.20 +20.08 (+6.21%),20.08,+6.21%,3.275M,2.538M,238.827B,24.08,+16.74%,220.43 349.19
6,KEP,Korea Electric Power Corporation,,15.22 +0.85 (+5.92%),0.85,+5.92%,352680,453721,19.541B,4.42,+87.35%,6.68 15.24
7,BHFAP,"Brighthouse Financial, Inc.",,16.56 +0.91 (+5.82%),0.91,+5.82%,67252,103921,2.746B,1.31,-37.40%,14.02 25.40
8,APPF,"AppFolio, Inc.",,235.66 +12.35 (+5.53%),12.35,+5.53%,140752,307620,8.449B,42.54,+11.02%,189.01 326.04
9,PRM,"Perimeter Solutions, Inc.",,23.17 +1.18 (+5.37%),1.18,+5.37%,867292,1.143M,3.393B,42.91,+62.89%,8.76 23.79
10,JEF,Jefferies Financial Group Inc.,,51.21 +2.41 (+4.93%),2.41,+4.93%,4.372M,2.087M,10.563B,17.78,-26.56%,39.28 82.68
11,EBC,"Eastern Bankshares, Inc.",,18.07 +0.85 (+4.91%),0.85,+4.91%,2.247M,2.11M,3.589B,--,-0.35%,13.51 19.40
12,CNS,"Cohen & Steers, Inc.",,68.93 +3.13 (+4.76%),3.13,+4.76%,273495,259112,3.515B,21.61,-38.20%,64.29 108.76
13,TFC,Truist Financial Corporation,,42.77 +1.68 (+4.09%),1.68,+4.09%,10.71M,7.63M,55.149B,11.59,-5.91%,33.56 49.06
14,HDB,HDFC Bank Limited,,36.83 +1.39 (+3.92%),1.39,+3.92%,2.048M,3.537M,188.615B,24.89,+16.44%,28.89 39.81
15,GILD,"Gilead Sciences, Inc.",,122.53 +4.68 (+3.97%),4.68,+3.97%,4.771M,6.741M,152.036B,24.31,+35.90%,85.60 122.67
16,VERA,"Vera Therapeutics, Inc.",,31.65 +1.14 (+3.74%),1.14,+3.74%,504828,1.515M,2.02B,--,-25.87%,18.53 51.61
17,COF,Capital One Financial Corporation,,210.96 +7.81 (+3.84%),7.81,+3.84%,2.292M,3.596M,134.913B,570.16,+27.74%,143.22 232.45
18,AGIO,"Agios Pharmaceuticals, Inc.",,43.08 +1.56 (+3.76%),1.56,+3.76%,300061,779495,2.503B,3.82,-8.75%,23.42 62.58
19,ZION,"Zions Bancorporation, National Association",,48.66 +1.73 (+3.69%),1.73,+3.69%,4.862M,1.645M,7.183B,8.88,-8.43%,39.32 63.22
20,ZGN,Ermenegildo Zegna N.V.,,10.39 +0.39 (+3.85%),0.39,+3.85%,499956,846004,2.639B,24.15,+19.19%,6.05 10.40
21,SKY,"Champion Homes, Inc.",,73.39 +2.56 (+3.61%),2.56,+3.61%,505099,716746,4.148B,19.52,-29.12%,59.44 116.49
22,WING,Wingstop Inc.,,255.33 +9.06 (+3.68%),9.06,+3.68%,442608,856617,7.13B,42.48,-33.56%,204.00 388.14
23,STNG,Scorpio Tankers Inc.,,57.78 +2.05 (+3.67%),2.05,+3.67%,383945,1.008M,2.947B,7.77,-16.85%,30.63 67.50
24,CACC,Credit Acceptance Corporation,,492.67 +16.91 (+3.55%),16.91,+3.55%,40957,118303,5.536B,14.22,+0.09%,414.16 560.00
25,DK,"Delek US Holdings, Inc.",,34.19 +1.17 (+3.54%),1.17,+3.54%,330197,2.01M,2.057B,--,+92.99%,11.03 35.96
26,ALLY,Ally Financial Inc.,,39.85 +1.40 (+3.64%),1.4,+3.64%,4.42M,3.328M,12.266B,38.32,+9.83%,29.52 44.83
27,INSW,"International Seaways, Inc.",,46.26 +1.55 (+3.47%),1.55,+3.47%,150079,537148,2.284B,9.64,-10.54%,27.20 50.40
28,GBTG,"Global Business Travel Group, Inc.",,8.24 +0.27 (+3.42%),0.27,+3.42%,689699,960034,4.363B,--,+1.14%,5.78 9.60
29,TFX,Teleflex Incorporated,,128.10 +4.22 (+3.41%),4.22,+3.41%,224666,583548,5.661B,29.86,-48.37%,108.90 241.41
30,CVI,"CVR Energy, Inc.",,34.40 +1.11 (+3.33%),1.11,+3.33%,420518,1.833M,3.458B,--,+35.77%,15.10 38.30
31,GRND,Grindr Inc.,,13.13 +0.40 (+3.14%),0.4,+3.14%,2.613M,2.327M,2.521B,--,+2.00%,11.73 25.13
