,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,BTDR,Bitdeer Technologies Group,,25.92 +0.02 (+0.10%),0.02,+0.10%,692947,5.503M,5.545B,--,+220.94%,6.84 27.80
1,NVTS,Navitas Semiconductor Corporation,,15.23 +0.01 (+0.07%),0.01,+0.07%,5.376M,33.973M,3.245B,--,+492.19%,1.52 15.84
2,MVST,"Microvast Holdings, Inc.",,6.80 +0.55 (+8.81%),0.55,+8.81%,1.896M,7.825M,2.212B,--,"+2,820.56%",0.15 6.85
3,HI,"Hillenbrand, Inc.",,31.28 -0.04 (-0.13%),-0.04,-0.13%,1.066M,1.088M,2.205B,--,+10.25%,18.36 35.59
4,SMR,NuScale Power Corporation,,56.61 +3.17 (+5.92%),3.17,+5.92%,2.29M,17.037M,7.58B,--,+196.50%,11.08 56.68
5,FLNC,"Fluence Energy, Inc.",,21.18 -0.26 (-1.21%),-0.26,-1.21%,498110,6.101M,3.865B,--,+0.28%,3.46 24.00
6,HIMS,"Hims & Hers Health, Inc.",,62.97 +0.15 (+0.24%),0.15,+0.24%,1.73M,30.533M,14.232B,79.71,+191.09%,18.33 72.98
7,AAOI,"Applied Optoelectronics, Inc.",,33.05 +0.10 (+0.30%),0.1,+0.30%,211238,5.132M,2.061B,--,+73.42%,9.71 44.50
8,RXRX,"Recursion Pharmaceuticals, Inc.",,6.71 -0.08 (-1.18%),-0.08,-1.18%,3.563M,32.429M,2.929B,--,+3.66%,3.79 12.36
9,SNDK,Sandisk Corporation,,145.73 +1.43 (+0.99%),1.43,+0.99%,211370,5.052M,21.335B,--,+300.83%,27.89 146.76
10,BG,Bunge Global SA,,95.76 +2.65 (+2.85%),2.65,+2.85%,193824,1.972M,19.158B,9.65,-2.63%,67.40 95.88
11,EDU,New Oriental Education & Technology Group Inc.,,57.66 -0.74 (-1.27%),-0.74,-1.27%,18624,1.207M,9.176B,25.07,-14.43%,40.66 71.50
12,LEU,Centrus Energy Corp.,,452.95 +17.34 (+3.98%),17.34,+3.98%,116986,1.456M,8.247B,73.17,+437.94%,49.40 460.50
13,ADPT,Adaptive Biotechnologies Corporation,,17.05 -0.06 (-0.35%),-0.06,-0.35%,38374,1.957M,2.596B,--,+268.75%,4.27 17.15
14,TLX,Telix Pharmaceuticals Limited,,11.20 +0.19 (+1.73%),0.19,+1.73%,2791,178134,3.749B,560.00,-27.33%,8.93 30.36
15,AMD,"Advanced Micro Devices, Inc.",,236.71 -1.89 (-0.79%),-1.89,-0.79%,3.242M,62.239M,384.143B,141.74,+52.70%,76.48 240.10
16,EXK,Endeavour Silver Corp.,,9.62 +0.13 (+1.32%),0.13,+1.32%,739270,13.234M,2.791B,--,+123.29%,2.95 9.74
17,GRAL,"GRAIL, Inc.",,83.00 +7.48 (+9.90%),7.48,+9.90%,193713,908485,2.992B,--,+431.83%,12.76 82.72
18,CLS,Celestica Inc.,,287.13 +17.16 (+6.36%),17.16,+6.36%,246474,3.37M,33.068B,62.56,+364.01%,55.30 290.42
19,RGC,Regencell Bioscience Holdings Limited,,18.10 -0.66 (-3.50%),-0.66,-3.50%,11061,338490,8.95B,--,"+14,418.89%",0.09 83.60
20,APLS,"Apellis Pharmaceuticals, Inc.",,25.25 +0.03 (+0.14%),0.03,+0.14%,12846,2.483M,3.189B,--,-9.67%,16.10 35.72
21,FSLR,"First Solar, Inc.",,242.63 -1.77 (-0.72%),-1.77,-0.72%,74117,2.659M,26.021B,20.72,+20.18%,116.56 248.04
