,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
22,NTLA,"Intellia Therapeutics, Inc.",,25.61 -0.32 (-1.22%),-0.32,-1.22%,118670,5.706M,2.749B,--,+23.59%,5.90 26.99
23,HMY,Harmony Gold Mining Company Limited,,21.68 +0.51 (+2.43%),0.51,+2.43%,136595,5.461M,13.541B,16.42,+84.80%,7.97 21.68
24,CELC,Celcuity Inc.,,50.59 +0.56 (+1.12%),0.56,+1.12%,7927,1.541M,2.146B,--,+223.82%,7.58 63.06
25,AAUC,Allied Gold Corporation,,19.76 -0.69 (-3.37%),-0.69,-3.37%,40511,183654,2.281B,--,+178.78%,6.37 20.49
26,KYMR,"Kymera Therapeutics, Inc.",,62.47 -0.42 (-0.66%),-0.42,-0.66%,8026,720189,4.467B,--,+35.98%,19.45 63.29
27,HUT,Hut 8 Corp.,,53.71 -0.20 (-0.37%),-0.2,-0.37%,246141,5.95M,5.668B,37.56,+325.49%,10.04 57.29
28,MANU,Manchester United plc,,18.00 -0.26 (-1.44%),-0.26,-1.44%,19825,315929,3.103B,--,+10.81%,12.05 19.65
29,APLD,Applied Digital Corporation,,37.71 -0.05 (-0.13%),-0.05,-0.13%,1.448M,33.285M,10.547B,--,+374.97%,3.31 40.08
30,AG,First Majestic Silver Corp.,,14.97 +0.10 (+0.66%),0.1,+0.66%,1.862M,20.241M,7.335B,--,+134.91%,5.09 15.08
31,SSRM,SSR Mining Inc.,,25.17 -0.24 (-0.94%),-0.24,-0.94%,253175,3.498M,5.106B,32.27,+336.60%,5.06 25.98
32,EOSE,"Eos Energy Enterprises, Inc.",,18.02 -0.26 (-1.42%),-0.26,-1.42%,756332,17.667M,5.032B,--,+450.60%,2.06 19.05
33,SEDG,"SolarEdge Technologies, Inc.",,40.42 -0.10 (-0.26%),-0.1,-0.26%,75676,4.349M,2.4B,--,+126.05%,10.24 41.92
34,COGT,"Cogent Biosciences, Inc.",,16.40 -0.17 (-1.03%),-0.17,-1.03%,60229,1.832M,2.291B,--,+42.35%,3.72 16.99
35,PLXS,Plexus Corp.,,150.91 +0.66 (+0.44%),0.66,+0.44%,4080,194492,4.073B,25.71,+7.66%,103.43 172.89
36,DOCN,"DigitalOcean Holdings, Inc.",,44.10 +0.63 (+1.45%),0.63,+1.45%,93513,2.942M,4.015B,33.66,-0.82%,25.45 47.02
37,TARS,"Tarsus Pharmaceuticals, Inc.",,75.64 +0.69 (+0.92%),0.69,+0.92%,3574,686081,3.193B,--,+102.19%,35.84 75.64
38,DNLI,Denali Therapeutics Inc.,,16.50 +0.19 (+1.16%),0.19,+1.16%,8731,1.937M,2.413B,--,-40.52%,10.57 33.33
39,NXT,Nextracker Inc.,,91.94 -1.18 (-1.27%),-1.18,-1.27%,147457,2.281M,13.954B,25.05,+177.39%,30.93 93.90
40,DYN,"Dyne Therapeutics, Inc.",,16.69 +0.16 (+0.97%),0.16,+0.97%,26898,2.597M,2.374B,--,-52.40%,6.36 35.77
41,BEAM,Beam Therapeutics Inc.,,27.39 +0.19 (+0.72%),0.19,+0.72%,26312,2.585M,2.77B,--,+11.66%,13.53 35.25
42,NAMS,NewAmsterdam Pharma Company N.V.,,39.50 -0.95 (-2.35%),-0.95,-2.35%,41706,999046,4.449B,--,+112.56%,14.06 41.47
43,VICR,Vicor Corporation,,58.00 +0.69 (+1.20%),0.69,+1.20%,5721,375962,2.605B,39.73,+39.27%,38.92 65.70
44,ACAD,ACADIA Pharmaceuticals Inc.,,21.85 +0.11 (+0.51%),0.11,+0.51%,16710,2.059M,3.686B,16.43,+43.31%,13.40 26.65
45,APGE,"Apogee Therapeutics, Inc.",,56.02 +0.17 (+0.30%),0.17,+0.30%,2684,648314,3.789B,--,-0.68%,26.20 63.50
46,QURE,uniQure N.V.,,62.84 +0.01 (+0.02%),0.01,+0.02%,37402,3.224M,3.871B,--,+900.48%,5.35 65.12
47,HL,Hecla Mining Company,,14.18 +0.01 (+0.07%),0.01,+0.07%,656304,24.751M,9.5B,88.63,+111.66%,4.46 14.64
48,SA,Seabridge Gold Inc.,,28.03 +0.16 (+0.57%),0.16,+0.57%,67206,1.258M,2.863B,--,+60.43%,9.40 28.15
49,CORT,Corcept Therapeutics Incorporated,,78.38 +1.57 (+2.04%),1.57,+2.04%,30731,865309,8.259B,69.98,+62.84%,42.01 117.33
50,WDC,Western Digital Corporation,,123.54 +3.10 (+2.57%),3.1,+2.57%,309911,8.51M,42.349B,27.82,+136.59%,28.83 137.40
51,SLNO,"Soleno Therapeutics, Inc.",,67.06 -0.61 (-0.90%),-0.61,-0.90%,6992,1.763M,3.564B,--,+26.49%,41.50 90.32
52,EQX,Equinox Gold Corp.,,12.61 +0.01 (+0.04%),0.01,+0.04%,268880,15.675M,9.862B,--,+132.17%,4.95 12.86
53,NG,NovaGold Resources Inc.,,10.44 -0.06 (-0.52%),-0.06,-0.52%,88978,3.866M,4.248B,--,+191.14%,2.26 10.90
54,PLD,"Prologis, Inc.",,123.71 +0.95 (+0.77%),0.95,+0.77%,59904,3.478M,114.885B,33.35,+0.05%,85.35 126.92
55,OCUL,"Ocular Therapeutix, Inc.",,11.97 +0.03 (+0.25%),0.03,+0.25%,36689,2.667M,2.535B,--,+7.62%,5.79 13.85
56,VKTX,"Viking Therapeutics, Inc.",,35.35 +0.23 (+0.65%),0.23,+0.65%,107775,6.463M,3.975B,--,-45.65%,18.92 81.73
57,ARWR,"Arrowhead Pharmaceuticals, Inc.",,38.19 0.00 (0.00%),0.0,0.00%,27596,2.504M,5.28B,--,+83.25%,9.57 39.42
58,BTG,B2Gold Corp.,,5.62 -0.04 (-0.71%),-0.04,-0.71%,1.629M,42.258M,7.442B,--,+70.27%,2.20 5.73
59,FN,Fabrinet,,411.53 +13.43 (+3.37%),13.43,+3.37%,11968,641945,14.704B,44.93,+49.26%,148.55 415.78
60,CDE,"Coeur Mining, Inc.",,22.33 +0.04 (+0.20%),0.04,+0.20%,521058,14.626M,14.355B,55.84,+243.83%,4.58 22.75
61,FORM,"FormFactor, Inc.",,43.64 +0.94 (+2.20%),0.94,+2.20%,14721,900590,3.365B,76.56,-3.28%,22.58 50.79
62,LGN,Legence Corp.,,33.86 +0.36 (+1.10%),0.36,+1.10%,1551,1.455M,3.562B,105.81,+9.84%,26.96 34.40
63,KLAC,KLA Corporation,,"1,107.74 +20.73 (+1.91%)",20.73,+1.91%,19567,1.003M,145.872B,36.52,+62.18%,"551.33 1,155.00"
64,NUVL,"Nuvalent, Inc.",,89.92 +0.28 (+0.31%),0.28,+0.31%,8630,439690,6.484B,--,-12.26%,55.54 105.13
65,ARQT,"Arcutis Biotherapeutics, Inc.",,21.70 +0.07 (+0.32%),0.07,+0.32%,17995,1.775M,2.602B,--,+127.92%,8.03 21.80
66,LUMN,"Lumen Technologies, Inc.",,7.29 +0.02 (+0.29%),0.02,+0.29%,277394,14.964M,7.477B,--,+17.64%,3.01 10.33
67,VSH,"Vishay Intertechnology, Inc.",,17.24 +0.25 (+1.47%),0.25,+1.47%,14986,1.551M,2.337B,--,-8.02%,10.35 20.15
68,AGI,Alamos Gold Inc.,,36.37 +0.35 (+0.96%),0.35,+0.96%,77866,3.749M,15.289B,44.35,+79.52%,17.43 36.60
69,ACLX,"Arcellx, Inc.",,93.12 +0.75 (+0.81%),0.75,+0.81%,7150,541318,5.164B,--,-3.04%,47.86 107.37
70,CGAU,Centerra Gold Inc.,,12.49 0.00 (0.00%),0.0,0.00%,21321,1.754M,2.539B,36.74,+74.20%,5.41 12.60
71,NVMI,Nova Ltd.,,339.99 +7.86 (+2.37%),7.86,+2.37%,11126,398073,10.082B,46.13,+77.42%,154.00 342.00
72,QS,QuantumScape Corporation,,18.22 +0.37 (+2.06%),0.37,+2.06%,1.853M,46.78M,10.311B,--,+234.27%,3.40 19.07
73,KGC,Kinross Gold Corporation,,27.19 +0.30 (+1.12%),0.3,+1.12%,160360,18.245M,33.139B,21.93,+165.02%,8.99 27.45
74,STNE,StoneCo Ltd.,,17.95 -0.02 (-0.11%),-0.02,-0.11%,21727,4.981M,4.802B,--,+63.81%,7.72 19.95
75,ALVO,Alvotech,,8.91 -0.07 (-0.78%),-0.07,-0.78%,13291,385951,2.776B,38.74,-27.58%,7.35 13.70
76,MRNA,"Moderna, Inc.",,27.70 -0.02 (-0.07%),-0.02,-0.07%,152392,10.134M,10.819B,--,-49.43%,23.15 57.69
77,CLSK,"CleanSpark, Inc.",,22.91 -0.29 (-1.25%),-0.29,-1.25%,1.709M,26.985M,6.44B,26.64,+97.95%,6.45 23.61
78,RARE,Ultragenyx Pharmaceutical Inc.,,33.88 +0.45 (+1.36%),0.45,+1.36%,19645,1.762M,3.266B,--,-41.11%,25.81 57.97
79,MOD,Modine Manufacturing Company,,163.07 +0.98 (+0.60%),0.98,+0.60%,22061,964454,8.559B,46.86,+19.58%,64.79 163.33
80,IRON,"Disc Medicine, Inc.",,76.85 -0.13 (-0.17%),-0.13,-0.17%,1791,359435,2.672B,--,+52.47%,30.82 78.17
81,RXO,"RXO, Inc.",,18.57 +0.70 (+3.95%),0.7,+3.95%,22814,1.94M,3.044B,--,-39.02%,12.19 31.98
82,ASX,"ASE Technology Holding Co., Ltd.",,12.69 +0.74 (+6.15%),0.74,+6.15%,320905,6.866M,27.585B,25.89,+11.08%,6.94 12.69
83,SNEX,StoneX Group Inc.,,103.90 +0.36 (+0.35%),0.36,+0.35%,3703,522537,5.421B,17.70,+76.13%,55.85 106.98
84,CORZ,"Core Scientific, Inc.",,19.91 -0.03 (-0.15%),-0.03,-0.15%,227875,15.018M,6.119B,--,+53.27%,6.20 20.18
85,FLR,Fluor Corporation,,51.44 +0.69 (+1.35%),0.69,+1.35%,59580,4.189M,8.315B,2.13,-5.85%,29.20 60.10
86,WBTN,WEBTOON Entertainment Inc.,,18.50 +0.19 (+1.04%),0.19,+1.04%,21419,971998,2.416B,--,+60.19%,6.75 22.47
87,FSM,Fortuna Mining Corp.,,9.61 -0.02 (-0.16%),-0.02,-0.16%,174617,17.337M,2.951B,17.48,+106.87%,4.13 9.82
88,SANM,Sanmina Corporation,,132.80 +0.86 (+0.65%),0.86,+0.65%,7314,822721,7.076B,28.44,+93.46%,63.67 160.25
89,SLAB,Silicon Laboratories Inc.,,138.30 +1.01 (+0.74%),1.01,+0.74%,2437,308253,4.539B,--,+18.25%,82.82 160.00
90,FIG,"Figma, Inc.",,65.97 +2.02 (+3.16%),2.02,+3.16%,488131,13.201M,32.31B,--,-44.74%,49.53 142.92
91,AXSM,"Axsome Therapeutics, Inc.",,130.23 +0.65 (+0.50%),0.65,+0.50%,11057,561482,6.499B,--,+38.81%,75.56 139.13
92,MLCO,Melco Resorts & Entertainment Limited,,8.20 +0.05 (+0.55%),0.05,+0.55%,8683,2.842M,3.394B,58.61,+15.91%,4.55 10.15
93,RNA,"Avidity Biosciences, Inc.",,51.47 +1.00 (+1.99%),1.0,+1.99%,24884,3.184M,7.51B,--,+4.02%,21.51 56.00
94,IAG,IAMGOLD Corporation,,14.44 +0.17 (+1.23%),0.17,+1.23%,122106,14.004M,8.312B,10.10,+179.06%,4.89 14.58
95,IDYA,"IDEAYA Biosciences, Inc.",,28.90 +0.52 (+1.83%),0.52,+1.83%,6652,1.175M,2.533B,--,-7.53%,13.45 32.67
96,CC,The Chemours Company,,14.42 +0.66 (+4.80%),0.66,+4.80%,3.334M,3.549M,2.159B,--,-27.02%,9.13 22.38
97,TAL,TAL Education Group,,10.97 +0.05 (+0.46%),0.05,+0.46%,53687,4.802M,6.675B,64.53,+8.96%,8.50 15.30
98,MS,Morgan Stanley,,163.68 +1.01 (+0.62%),1.01,+0.62%,120265,5.26M,260.415B,16.80,+36.18%,94.33 166.77
99,LRCX,Lam Research Corporation,,146.92 +2.14 (+1.48%),2.14,+1.48%,215309,11.782M,185.271B,35.32,+97.95%,56.32 153.70
100,CPRX,"Catalyst Pharmaceuticals, Inc.",,21.17 -0.09 (-0.42%),-0.09,-0.42%,19664,1.512M,2.591B,12.83,+0.47%,19.05 26.58
101,VIA,"Via Transportation, Inc.",,50.08 +0.74 (+1.50%),0.74,+1.50%,9581,599625,3.974B,--,-0.22%,43.50 56.31
102,ALGM,"Allegro MicroSystems, Inc.",,29.12 +0.25 (+0.85%),0.25,+0.85%,7835,1.701M,5.389B,--,+40.06%,16.38 38.45
103,AMKR,"Amkor Technology, Inc.",,32.83 +1.55 (+4.94%),1.55,+4.94%,274114,2.432M,8.112B,26.91,+1.07%,14.03 33.54
104,BOOT,"Boot Barn Holdings, Inc.",,188.18 -0.05 (-0.02%),-0.05,-0.02%,4318,569560,5.75B,29.59,+13.14%,86.17 191.31
105,VNET,"VNET Group, Inc.",,9.46 -0.13 (-1.34%),-0.13,-1.34%,31865,6.553M,2.545B,--,+173.22%,3.25 16.13
106,GENI,Genius Sports Limited,,12.39 +0.14 (+1.10%),0.14,+1.10%,23451,5.376M,2.953B,--,+62.12%,6.72 13.73
107,ROKU,"Roku, Inc.",,98.89 +0.31 (+0.31%),0.31,+0.31%,21738,3.61M,14.57B,--,+28.11%,52.43 107.25
108,KYIV,Kyivstar Group Ltd.,,12.89 +0.15 (+1.18%),0.15,+1.18%,12524,1.079M,2.976B,9.92,+28.04%,9.92 16.48
109,AEM,Agnico Eagle Mines Limited,,179.01 +0.11 (+0.06%),0.11,+0.06%,94399,2.868M,89.946B,30.44,+117.50%,75.17 180.96
110,SIMO,Silicon Motion Technology Corporation,,93.79 +1.15 (+1.24%),1.15,+1.24%,1452,350253,3.187B,40.60,+64.83%,37.21 104.90
111,BAC,Bank of America Corporation,,52.48 +0.18 (+0.34%),0.18,+0.34%,812033,34.709M,384.648B,14.34,+22.72%,33.07 52.88
112,SYNA,Synaptics Incorporated,,70.00 +0.36 (+0.52%),0.36,+0.52%,2946,413529,2.734B,--,-4.21%,41.80 89.81
113,VOYG,"Voyager Technologies, Inc.",,37.10 +0.31 (+0.83%),0.31,+0.83%,62159,970629,2.187B,--,-34.84%,26.10 73.95
114,SKY,"Champion Homes, Inc.",,71.00 +2.95 (+4.34%),2.95,+4.34%,4837,721225,4.013B,18.88,-28.39%,59.44 116.49
115,TKC,Turkcell Iletisim Hizmetleri A.S.,,5.76 -0.03 (-0.60%),-0.03,-0.60%,33181,2M,5.019B,16.94,-8.98%,5.35 7.63
116,BEP,Brookfield Renewable Partners L.P.,,28.30 +0.27 (+0.96%),0.27,+0.96%,11855,525642,18.632B,--,+0.43%,19.29 29.56
117,AMAT,"Applied Materials, Inc.",,230.42 +2.84 (+1.25%),2.84,+1.25%,261107,8.219M,183.562B,27.53,+24.20%,123.74 231.50
118,GNRC,Generac Holdings Inc.,,193.34 +1.56 (+0.81%),1.56,+0.81%,19312,1.068M,11.344B,32.12,+13.78%,99.50 203.25
119,INTC,Intel Corporation,,37.06 -0.09 (-0.24%),-0.09,-0.24%,3.183M,123.709M,176.303B,--,+65.55%,17.67 39.65
120,WRD,WeRide Inc.,,10.95 -0.12 (-1.08%),-0.12,-1.08%,287520,7.486M,3.425B,--,-33.11%,6.03 44.00
121,VAL,Valaris Limited,,50.37 +0.22 (+0.44%),0.22,+0.44%,4870,1.217M,3.587B,13.18,-3.49%,27.15 53.98
122,ACLS,"Axcelis Technologies, Inc.",,85.26 +1.49 (+1.78%),1.49,+1.78%,11096,609853,2.679B,17.40,-10.68%,40.40 102.93
123,BMA,Banco Macro S.A.,,53.50 +0.49 (+0.92%),0.49,+0.92%,6556,627046,3.494B,12.16,-25.56%,38.30 118.42
124,B,Barrick Mining Corporation,,34.96 +0.27 (+0.78%),0.27,+0.78%,340830,19.257M,59.642B,21.99,+70.50%,15.11 36.10
125,FOLD,"Amicus Therapeutics, Inc.",,8.43 +0.06 (+0.66%),0.06,+0.66%,28277,4.759M,2.597B,--,-30.08%,5.51 12.65
126,MPWR,"Monolithic Power Systems, Inc.",,"1,021.26 +13.33 (+1.32%)",13.33,+1.32%,7121,555748,48.91B,26.73,+9.78%,"438.86 1,021.26"
127,SMMT,Summit Therapeutics Inc.,,23.13 +0.49 (+2.16%),0.49,+2.16%,82787,3.733M,17.182B,--,+4.96%,15.55 36.91
128,SRAD,Sportradar Group AG,,27.52 +0.01 (+0.04%),0.01,+0.04%,23962,2.13M,8.145B,70.56,+118.59%,12.20 32.22
129,SEI,"Solaris Energy Infrastructure, Inc.",,55.13 +0.25 (+0.46%),0.25,+0.46%,57633,2.768M,3.726B,93.44,+301.32%,12.78 55.70
130,DRD,DRDGOLD Limited,,30.66 +0.51 (+1.71%),0.51,+1.71%,37521,713898,2.65B,26.89,+163.92%,8.38 30.93
131,AMRC,"Ameresco, Inc.",,43.44 +0.17 (+0.38%),0.17,+0.38%,11855,765540,2.289B,37.12,+39.90%,8.49 44.93
132,EQT,EQT Corporation,,55.92 +0.48 (+0.87%),0.48,+0.87%,71647,8.358M,34.898B,29.43,+49.60%,35.45 61.02
133,MTSI,"MACOM Technology Solutions Holdings, Inc.",,138.49 +1.66 (+1.21%),1.66,+1.21%,5969,917095,10.314B,--,+21.44%,84.00 152.50
134,QBTS,D-Wave Quantum Inc.,,44.51 -0.30 (-0.67%),-0.3,-0.67%,1.549M,51.902M,15.223B,--,"+4,205.77%",0.98 46.75
135,MIRM,"Mirum Pharmaceuticals, Inc.",,76.26 +0.07 (+0.09%),0.07,+0.09%,4747,725353,3.831B,--,+93.77%,36.88 78.55
136,RBLX,Roblox Corporation,,137.34 -1.31 (-0.94%),-1.31,-0.94%,133284,8.434M,95.21B,--,+247.62%,39.30 150.59
137,POWL,"Powell Industries, Inc.",,338.12 +8.36 (+2.54%),8.36,+2.54%,7028,259601,4.081B,23.46,+19.66%,146.02 364.98
138,BROS,Dutch Bros Inc.,,55.03 -0.01 (-0.03%),-0.01,-0.03%,67887,3.909M,9.054B,119.64,+58.53%,32.68 86.88
139,AEIS,"Advanced Energy Industries, Inc.",,191.73 +1.77 (+0.93%),1.77,+0.93%,2215,405323,7.232B,84.84,+71.06%,75.01 191.73
140,RYTM,"Rhythm Pharmaceuticals, Inc.",,111.00 +1.65 (+1.51%),1.65,+1.51%,24262,592323,7.373B,--,+114.29%,45.91 111.50
141,WPP,WPP plc,,24.02 +0.23 (+0.97%),0.23,+0.97%,18146,467664,5.182B,10.40,-53.62%,22.42 57.37
142,AGX,"Argan, Inc.",,316.32 +3.66 (+1.17%),3.66,+1.17%,11173,392900,4.369B,37.93,+142.06%,101.02 317.02
143,GFI,Gold Fields Limited,,44.58 +0.77 (+1.76%),0.77,+1.76%,64743,3.341M,39.9B,21.33,+154.00%,12.98 44.71
144,CRWV,"CoreWeave, Inc.",,141.02 +1.78 (+1.28%),1.78,+1.28%,642998,26.369M,69.819B,--,+248.10%,33.52 187.00
145,CSTM,Constellium SE,,15.91 +0.59 (+3.85%),0.59,+3.85%,2409,1.241M,2.22B,69.17,+7.21%,7.33 16.49
146,KEP,Korea Electric Power Corporation,,14.28 +0.22 (+1.60%),0.22,+1.60%,6978,464881,18.334B,4.14,+88.47%,6.68 15.19
147,POWI,"Power Integrations, Inc.",,48.53 -0.30 (-0.61%),-0.3,-0.61%,37435,898143,2.722B,82.25,-24.36%,34.55 69.53
148,NTRA,"Natera, Inc.",,179.71 +0.29 (+0.16%),0.29,+0.16%,6893,1.279M,24.665B,--,+46.64%,117.27 183.00
149,TRNO,Terreno Realty Corporation,,59.65 +0.13 (+0.22%),0.13,+0.22%,8083,723043,6.162B,23.58,-7.71%,48.18 69.20
150,HAFN,Hafnia Limited,,5.86 +0.09 (+1.47%),0.09,+1.47%,43696,1.156M,2.918B,6.98,-13.49%,3.61 6.71
151,SN,"SharkNinja, Inc.",,95.55 +0.73 (+0.76%),0.73,+0.76%,16540,1.545M,13.486B,26.11,-10.61%,60.50 128.51
152,NE,Noble Corporation plc,,28.43 +0.12 (+0.44%),0.12,+0.44%,10722,2.584M,4.516B,14.97,-15.44%,17.40 35.98
153,CEG,Constellation Energy Corporation,,408.06 +4.11 (+1.02%),4.11,+1.02%,71261,2.395M,127.48B,42.64,+48.95%,161.35 412.70
154,STX,Seagate Technology Holdings plc,,223.61 +4.23 (+1.93%),4.23,+1.93%,96862,4.037M,47.622B,32.98,+95.09%,63.19 264.83
155,CVCO,"Cavco Industries, Inc.",,529.29 -0.37 (-0.07%),-0.37,-0.07%,967,159471,4.191B,22.97,+18.89%,393.53 600.00
156,ORLA,Orla Mining Ltd.,,13.56 -0.05 (-0.37%),-0.05,-0.37%,39403,2.431M,4.417B,193.64,+189.57%,3.81 13.88
157,CPRI,Capri Holdings Limited,,20.70 -0.07 (-0.34%),-0.07,-0.34%,12735,2.874M,2.464B,--,-51.34%,11.86 42.95
158,BCH,Banco de Chile,,32.52 +0.28 (+0.86%),0.28,+0.86%,4958,332051,16.424B,12.51,+32.89%,22.06 32.52
159,IPGP,IPG Photonics Corporation,,86.43 +0.21 (+0.24%),0.21,+0.24%,1142,234153,3.649B,--,+14.43%,48.59 90.30
160,AS,"Amer Sports, Inc.",,32.20 +0.18 (+0.56%),0.18,+0.56%,70098,4.621M,17.857B,78.54,+74.41%,17.32 42.36
161,TTE,TotalEnergies SE,,61.20 +0.73 (+1.21%),0.73,+1.21%,23562,1.405M,132.458B,11.09,-6.97%,52.78 65.76
162,SRPT,"Sarepta Therapeutics, Inc.",,22.25 +0.05 (+0.25%),0.05,+0.25%,95607,12.215M,2.329B,--,-82.13%,10.42 138.81
163,OSK,Oshkosh Corporation,,136.17 +4.71 (+3.58%),4.71,+3.58%,3924,640964,8.715B,13.69,+28.27%,76.82 144.30
164,YMM,Full Truck Alliance Co. Ltd.,,12.49 0.00 (0.00%),0.0,0.00%,42967,10.761M,13.063B,22.30,+43.89%,8.20 14.07
165,BEPC,Brookfield Renewable Corporation,,41.00 +0.36 (+0.89%),0.36,+0.89%,15292,861068,7.367B,--,+25.12%,23.73 41.00
166,CRSP,CRISPR Therapeutics AG,,69.86 -1.96 (-2.74%),-1.96,-2.74%,126091,2.867M,6.354B,--,+48.73%,30.04 78.48
167,NRG,"NRG Energy, Inc.",,173.29 +1.90 (+1.11%),1.9,+1.11%,16924,2.625M,33.52B,75.02,+99.22%,79.57 175.96
168,SHG,"Shinhan Financial Group Co., Ltd.",,51.38 +0.79 (+1.56%),0.79,+1.56%,3855,200015,24.945B,7.98,+21.80%,28.76 52.00
169,LOGI,Logitech International S.A.,,108.88 +0.35 (+0.32%),0.35,+0.32%,15400,590198,16.038B,25.99,+23.89%,64.73 114.94
170,SKE,Skeena Resources Limited,,19.86 -0.03 (-0.18%),-0.03,-0.18%,139430,692790,2.409B,--,+112.05%,7.32 20.77
171,GTES,Gates Industrial Corporation plc,,26.06 +0.30 (+1.16%),0.3,+1.16%,35844,2.055M,6.711B,33.40,+40.40%,14.70 26.42
172,NEM,Newmont Corporation,,94.39 +0.80 (+0.85%),0.8,+0.85%,400674,10.808M,103.677B,17.10,+65.63%,36.86 95.04
173,FR,"First Industrial Realty Trust, Inc.",,54.50 +0.79 (+1.48%),0.79,+1.48%,21409,977881,7.44B,26.59,-1.87%,40.31 58.17
174,DIOD,Diodes Incorporated,,56.19 +0.62 (+1.11%),0.62,+1.11%,3513,441581,2.609B,41.01,-14.43%,32.93 67.40
175,DKNG,DraftKings Inc.,,35.55 +0.05 (+0.14%),0.05,+0.14%,172600,11.962M,17.65B,--,-5.71%,29.64 53.61
176,FRO,Frontline plc,,23.23 +0.49 (+2.13%),0.49,+2.13%,142308,2.321M,5.17B,21.50,+3.27%,12.40 24.28
177,DELL,Dell Technologies Inc.,,155.18 +1.49 (+0.97%),1.49,+0.97%,179395,6.789M,104.001B,22.62,+18.98%,66.25 166.10
178,ANET,Arista Networks Inc,,145.49 +2.11 (+1.47%),2.11,+1.47%,175410,9.224M,182.861B,57.05,+40.78%,59.43 162.68
179,ATAT,Atour Lifestyle Holdings Limited,,36.77 +0.21 (+0.57%),0.21,+0.57%,6058,1.213M,5.081B,26.45,+40.45%,21.50 40.39
