,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aqua Metals Inc. (AQMS),17.1M,23.93,14.02,141.43
1,Greenwave Technology Solutions Inc. (GWAV),20.9M,16.0,7.49,88.01
2,Nova Minerals Ltd. ADR (NVA),5.7M,62.97,28.81,84.34
3,PMGC Holdings Inc. (ELAB),18.6M,8.5,3.29,63.15
4,Trilogy Metals Inc. (TMQ),108.8M,9.74,3.18,48.48
5,Astria Therapeutics Inc. (ATXS),19.9M,11.78,3.31,39.14
6,New Era Energy & Digital Inc. (NUAI),44.0M,3.22,0.86,36.81
7,a.k.a. Brands Holding Corp. (AKA),212.6K,14.02,3.59,34.42
8,Stardust Power Inc. (SDST),2.6M,6.86,1.73,33.56
9,American Resources Corp. (AREC),35.8M,6.37,1.39,27.93
10,Royalty Management Holding Corp. (RMCO),361.2K,3.98,0.86,27.56
11,Rekor Systems Inc. (REKR),17.8M,2.64,0.56,27.16
12,Navitas Semiconductor Corp. (NVTS),96.7M,12.67,2.7,27.08
13,Velo3D Inc. (VELO),1.4M,6.87,1.46,26.99
14,Critical Metals Corp. (CRML),59.8M,29.55,6.27,26.95
15,Bluejay Diagnostics Inc. (BJDX),1.3M,3.61,0.76,26.67
16,WISeKey International Holding Ltd. ADR (WKEY),1.9M,9.7,1.96,25.32
17,International Tower Hill Mines Ltd. (THM),3.2M,2.54,0.49,24.15
18,Nvni Group Ltd. (NVNI),798.8K,4.54,0.88,24.12
19,NET Power Inc. (NPWR),2.0M,4.84,0.91,23.03
20,One & One Green Technologies Inc. (YDDL),653.9K,5.98,1.11,22.8
21,Odyssey Marine Exploration Inc. (OMEX),6.7M,4.23,0.74,21.21
22,Telefon AB L.M. Ericsson Series B ADR (ERIC),44.0M,9.78,1.61,19.7
23,SCHMID Group N.V. (SHMD),75.1K,3.02,0.47,18.53
24,Orla Mining Ltd. (ORLA),7.2M,13.58,2.1,18.23
25,Volato Group Inc. (SOAR),4.7M,4.09,0.63,18.16
26,indie Semiconductor Inc. (INDI),7.9M,5.52,0.82,17.59
27,Fluence Energy Inc. (FLNC),8.7M,18.64,2.75,17.32
28,Arrive AI Inc. (ARAI),609.0K,5.76,0.85,17.31
29,Westwater Resources Inc. (WWR),27.4M,2.98,0.42,16.41
30,SEALSQ Corp. (LAES),79.4M,7.15,1.02,16.66
31,Kopin Corp. (KOPN),12.5M,3.94,0.55,16.19
32,Satellogic Inc. (SATL),3.3M,3.92,0.55,16.15
33,Rocket Pharmaceuticals Inc. (RCKT),5.6M,4.03,0.56,16.14
34,MDB Capital Holdings LLC (MDBH),50.7K,3.99,0.54,15.65
35,DigitalBridge Group Inc. (DBRG),5.5M,13.43,1.78,15.28
36,Coya Therapeutics Inc. (COYA),1.1M,6.98,0.93,15.26
37,StableX Technologies Inc. (SBLX),8.5M,6.32,0.83,15.09
38,Jet.AI Inc. (JTAI),519.0K,3.15,0.4,14.55
39,Avalon Holdings Corp. (AWX),207.9K,3.15,0.4,14.55
40,Beeline Holdings Inc. (BLNE),679.7K,3.37,0.42,14.24
41,Cerence Inc. (CRNC),2.3M,12.88,1.57,13.91
42,FuelCell Energy Inc. (FCEL),7.1M,11.57,1.4,13.77
43,VisionWave Holdings Inc. (VWAV),257.7K,11.61,1.4,13.71
44,Arcturus Therapeutics Holdings Inc. (ARCT),469.3K,22.03,2.64,13.62
45,Almonty Industries Inc. (ALM),4.8M,9.79,1.15,13.31
46,Polaris Inc. (PII),2.3M,69.44,8.08,13.17
47,Tetra Technologies Inc. (TTI),3.2M,6.99,0.79,12.73
48,Comstock Inc. (LODE),2.5M,4.37,0.49,12.62
49,Aeluma Inc. (ALMU),232.5K,19.61,2.19,12.57
50,Oruka Therapeutics Inc. (ORKA),520.3K,28.7,3.19,12.52
51,Streamex Corp. (STEX),1.6M,5.76,0.64,12.5
52,TransCode Therapeutics Inc. (RNAZ),92.2K,15.18,1.66,12.28
53,Hang Feng Technology Innovation Co. Ltd. (FOFO),161.3K,18.2,1.98,12.21
54,Cemtrex Inc. (CETX),370.1K,5.93,0.63,11.89
55,Lightpath Technologies Inc. Cl A (LPTH),1.3M,9.96,1.06,11.87
56,Ballard Power Systems Inc. (BLDP),7.8M,3.9,0.41,11.75
57,Albertsons Cos. Inc. (ACI),12.7M,18.89,1.94,11.45
58,Solid Power Inc. (SLDP),17.1M,7.02,0.72,11.43
59,Edible Garden AG Inc. (EDBL),75.7K,2.24,0.23,11.37
60,K Wave Media Ltd. (KWM),334.6K,2.97,0.3,11.24
61,HCM II Acquisition Corp. Cl A (HOND),1.7M,23.34,2.33,11.12
62,LivePerson Inc. (LPSN),369.1K,6.42,0.64,11.07
63,Spring Valley Acquisition Corp. II Cl A (SVII),352.7K,14.07,1.39,10.96
64,Stem Inc. (STEM),327.3K,26.27,2.59,10.94
65,Heritage Insurance Holdings Inc. (HRTG),714.3K,27.86,2.69,10.69
66,Shoals Technologies Group Inc. (SHLS),3.4M,10.24,0.98,10.65
67,American Battery Technology Co. (ABAT),25.2M,10.2,0.98,10.63
68,Canadian Solar Inc. (CSIQ),2.3M,15.67,1.48,10.43
69,Leishen Energy Holding Co. Ltd. (LSE),56.9K,5.85,0.55,10.38
70,ATAI Life Sciences N.V. (ATAI),5.3M,5.96,0.56,10.28
71,Idaho Strategic Resources Inc. (IDR),723.7K,53.8,4.99,10.22
72,TeraWulf Inc. (WULF),40.4M,15.41,1.41,10.07
73,Tronox Holdings PLC (TROX),3.9M,4.0,0.36,10.06
74,Q/C Technologies Inc. (QCLS),283.3K,4.27,0.38,9.77
75,Energy Fuels Inc. (UUUU),40.3M,26.09,2.32,9.76
76,MARA Holdings Inc. (MARA),36.7M,22.18,1.95,9.61
77,Applied Digital Corp. (APLD),28.5M,37.53,3.29,9.61
78,Erayak Power Solution Group Inc. (RAYA),73.2K,7.11,0.62,9.55
79,United States Antimony Corp. (UAMY),38.4M,18.28,1.57,9.43
80,Kandal M Venture Ltd. Cl A (FMFC),258.8K,10.12,0.87,9.41
81,Spyre Therapeutics Inc. (SYRE),2.5M,20.69,1.77,9.38
82,Energy Vault Holdings Inc. (NRGV),2.9M,4.1,0.35,9.31
83,Banzai International Inc. (BNZI),481.7K,3.24,0.28,9.29
84,Lithium Americas Corp. (LAC),82.7M,9.2,0.77,9.13
85,Spruce Biosciences Inc. (SPRB),79.8K,173.47,14.46,9.09
86,Innoviz Technologies Ltd. (INVZ),8.4M,2.37,0.19,8.72
87,SmartKem Inc. (SMTK),56.3K,2.37,0.19,8.72
88,Jack in the Box Inc. (JACK),757.8K,19.33,1.55,8.71
