,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PRAX,"Praxis Precision Medicines, Inc.",,192.86 +30.15 (+18.53%),30.15,+18.53%,362923,672403,4.06B,--,+122.28%,26.70 205.89
1,JBHT,"J.B. Hunt Transport Services, Inc.",,168.10 -1.47 (-0.87%),-1.47,-0.87%,65145,1.255M,16.006B,29.13,-4.13%,122.79 200.40
2,GRAL,"GRAIL, Inc.",,83.83 -2.58 (-2.99%),-2.58,-2.99%,89774,925589,3.022B,--,+485.43%,12.76 89.57
3,GTLB,GitLab Inc.,,47.29 -0.98 (-2.03%),-0.98,-2.03%,418221,5.013M,7.887B,--,-12.78%,37.90 74.18
4,BLTE,"Belite Bio, Inc",,90.80 +1.73 (+1.94%),1.73,+1.94%,11506,51500,2.981B,--,+56.40%,49.00 91.92
5,KYIV,Kyivstar Group Ltd.,,13.37 -0.56 (-4.02%),-0.56,-4.02%,309533,1.103M,3.087B,10.28,+40.00%,9.92 16.48
6,HL,Hecla Mining Company,,14.66 -0.57 (-3.76%),-0.57,-3.76%,1.185M,24.912M,9.82B,91.61,+108.48%,4.46 15.44
7,TFII,TFI International Inc.,,94.72 -0.63 (-0.66%),-0.63,-0.66%,2083,324015,7.868B,21.82,-30.79%,72.02 155.12
8,EXK,Endeavour Silver Corp.,,9.75 -0.40 (-3.90%),-0.4,-3.90%,907067,13.451M,2.829B,--,+112.34%,2.95 10.37
9,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",,19.63 +0.15 (+0.75%),0.15,+0.75%,260571,1.459M,112.982B,9.62,+93.25%,9.23 20.00
10,GFI,Gold Fields Limited,,44.71 -1.91 (-4.10%),-1.91,-4.10%,194888,3.377M,40.017B,21.39,+158.71%,12.98 47.18
11,VEON,VEON Ltd.,,53.52 -1.43 (-2.60%),-1.43,-2.60%,8496,166682,3.854B,3.95,+86.27%,29.29 64.00
12,KNX,Knight-Swift Transportation Holdings Inc.,,46.91 -0.14 (-0.30%),-0.14,-0.30%,18376,3.215M,7.614B,45.99,-9.45%,36.69 61.51
13,SBSW,Sibanye Stillwater Limited,,12.14 -0.68 (-5.27%),-0.68,-5.27%,854423,8.659M,8.591B,--,+188.74%,3.05 13.11
14,HUBG,"Hub Group, Inc.",,36.50 -0.16 (-0.44%),-0.16,-0.44%,13288,626387,2.235B,22.12,-17.19%,30.75 53.21
15,CERT,"Certara, Inc.",,12.22 -0.44 (-3.44%),-0.44,-3.44%,12865,1.646M,1.964B,244.49,+10.96%,8.64 15.69
16,EGO,Eldorado Gold Corporation,,30.00 -0.86 (-2.79%),-0.86,-2.79%,107972,2.067M,6.1B,14.78,+65.68%,13.29 30.89
17,OLED,Universal Display Corporation,,149.01 -1.14 (-0.76%),-1.14,-0.76%,4723,610932,7.083B,29.10,-26.48%,103.70 214.57
18,BRKR,Bruker Corporation,,37.95 -0.25 (-0.65%),-0.25,-0.65%,24029,4.124M,5.758B,72.98,-38.83%,28.53 64.64
19,MU,"Micron Technology, Inc.",,197.82 -4.71 (-2.33%),-4.71,-2.33%,1.865M,23.194M,222.046B,26.06,+82.21%,61.54 206.34
20,VICR,Vicor Corporation,,59.35 -1.12 (-1.85%),-1.12,-1.85%,8418,381289,2.666B,40.65,+47.34%,38.92 65.70
21,ASX,"ASE Technology Holding Co., Ltd.",,12.74 +0.16 (+1.31%),0.16,+1.31%,392564,7.03M,27.705B,26.00,+21.08%,6.94 12.87
22,ON,ON Semiconductor Corporation,,52.62 -0.35 (-0.65%),-0.35,-0.65%,378672,8.877M,21.522B,50.12,-22.66%,31.04 76.06
23,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",,85.15 -0.46 (-0.53%),-0.46,-0.53%,2428,226921,17.89B,14.05,-1.53%,72.68 101.74
24,SRPT,"Sarepta Therapeutics, Inc.",,22.72 -0.62 (-2.67%),-0.62,-2.67%,149755,12.001M,2.378B,--,-81.63%,10.42 138.81
25,GH,"Guardant Health, Inc.",,66.80 -0.67 (-0.99%),-0.67,-0.99%,33108,2.573M,8.33B,--,+215.58%,20.14 68.23
26,DRD,DRDGOLD Limited,,30.57 -1.15 (-3.63%),-1.15,-3.63%,65705,721996,2.642B,27.05,+163.34%,8.38 31.91
27,AVTR,"Avantor, Inc.",,14.56 +0.00 (+0.01%),0.0,+0.01%,92158,12.206M,9.923B,14.41,-41.08%,10.83 24.86
28,COHR,Coherent Corp.,,113.90 -2.04 (-1.76%),-2.04,-1.76%,64284,4.048M,17.876B,--,+18.05%,45.58 123.25
29,NEM,Newmont Corporation,,95.21 -3.04 (-3.09%),-3.04,-3.09%,1.242M,10.797M,104.583B,17.25,+70.55%,36.86 98.58
30,CELC,Celcuity Inc.,,50.66 -1.87 (-3.55%),-1.87,-3.55%,10822,1.563M,2.149B,--,+231.84%,7.58 63.06
31,BF-A,Brown-Forman Corporation,,28.35 +1.32 (+4.88%),1.32,+4.88%,3405,185996,13.381B,15.84,-40.85%,26.11 48.59
32,FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",,95.37 +4.36 (+4.79%),4.36,+4.79%,1127,874618,34.9B,41.29,-2.56%,81.08 108.74
33,EPAC,Enerpac Tool Group Corp.,,42.04 -0.21 (-0.49%),-0.21,-0.49%,14157,371912,2.268B,24.73,-4.07%,36.51 51.91
