,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
34,BVN,Compañía de Minas Buenaventura S.A.A.,,25.83 -0.92 (-3.46%),-0.92,-3.46%,29820,1.173M,6.553B,15.75,+95.33%,11.50 26.97
35,BTG,B2Gold Corp.,,5.84 -0.10 (-1.68%),-0.1,-1.68%,1.636M,42.751M,7.72B,--,+71.68%,2.20 5.94
36,AMX,"América Móvil, S.A.B. de C.V.",,22.32 -0.23 (-1.00%),-0.23,-1.00%,16168,1.971M,67.309B,18.45,+31.64%,13.10 22.71
37,WDC,Western Digital Corporation,,124.04 -1.88 (-1.49%),-1.88,-1.49%,299651,8.629M,42.52B,27.94,+148.53%,28.83 137.40
38,AU,AngloGold Ashanti plc,,76.44 -2.13 (-2.71%),-2.13,-2.71%,99731,3.045M,38.583B,20.22,+158.98%,22.45 79.94
39,MTD,Mettler-Toledo International Inc.,,"1,359.61 +55.61 (+4.26%)",55.61,+4.26%,4716,145787,28.007B,34.48,-1.05%,"946.69 1,438.46"
40,LITE,Lumentum Holdings Inc.,,160.50 -2.73 (-1.67%),-2.73,-1.67%,31426,3.277M,11.381B,422.37,+146.46%,45.65 178.49
41,BF-B,Brown-Forman Corporation,,28.38 +0.10 (+0.35%),0.1,+0.35%,79270,3.511M,13.429B,15.85,-42.25%,25.53 49.89
42,SNDR,"Schneider National, Inc.",,23.64 +0.03 (+0.15%),0.03,+0.15%,6720,951523,4.142B,33.76,-16.22%,20.59 33.90
43,FRPT,"Freshpet, Inc.",,53.56 -0.09 (-0.17%),-0.09,-0.17%,9239,1.539M,2.613B,81.15,-61.55%,46.76 164.07
44,COO,"The Cooper Companies, Inc.",,71.06 -0.50 (-0.70%),-0.5,-0.70%,43001,2.655M,14.127B,34.83,-33.90%,61.78 109.04
45,FRMI,Fermi Inc.,,28.48 -1.18 (-3.98%),-1.18,-3.98%,153696,10.374M,17.022B,--,-8.82%,24.30 36.99
46,AGI,Alamos Gold Inc.,,36.12 -1.36 (-3.63%),-1.36,-3.63%,169628,3.769M,15.19B,44.05,+78.51%,17.43 37.54
47,CRM,"Salesforce, Inc.",,245.61 -0.42 (-0.17%),-0.42,-0.17%,586789,8.902M,233.824B,35.65,-16.02%,226.48 369.00
48,SA,Seabridge Gold Inc.,,28.02 -0.94 (-3.25%),-0.94,-3.25%,19280,1.277M,2.862B,--,+54.24%,9.40 29.31
49,CRDO,Credo Technology Group Holding Ltd,,132.33 -4.20 (-3.08%),-4.2,-3.08%,256883,5.358M,22.893B,183.79,+265.93%,29.09 176.70
50,KT,KT Corporation,,19.22 +0.72 (+3.89%),0.72,+3.89%,11666,1.398M,9.266B,14.67,+22.03%,14.79 21.61
51,AEM,Agnico Eagle Mines Limited,,180.59 -4.91 (-2.65%),-4.91,-2.65%,119997,2.896M,90.748B,30.71,+115.30%,75.17 187.50
52,CDE,"Coeur Mining, Inc.",,22.40 -0.70 (-3.03%),-0.7,-3.03%,1.032M,14.766M,14.397B,56.00,+225.35%,4.58 23.62
53,CLS,Celestica Inc.,,273.92 -6.18 (-2.20%),-6.18,-2.20%,131426,3.409M,31.539B,59.68,+384.02%,55.30 296.85
54,DEO,Diageo plc,,97.24 +1.13 (+1.17%),1.13,+1.17%,140875,1.374M,54.051B,23.04,-29.22%,93.42 139.96
55,WSO,"Watsco, Inc.",,368.00 -1.37 (-0.37%),-1.37,-0.37%,2479,447757,15.289B,28.07,-26.54%,350.00 571.42
56,FN,Fabrinet,,412.50 +0.09 (+0.02%),0.09,+0.02%,25976,649873,14.738B,45.03,+69.72%,148.55 432.00
57,OR,OR Royalties Inc.,,39.20 -0.84 (-2.11%),-0.84,-2.11%,20961,1.051M,7.385B,93.33,+93.99%,17.55 42.25
58,HMY,Harmony Gold Mining Company Limited,,21.11 -0.80 (-3.65%),-0.8,-3.65%,196762,5.515M,13.185B,16.11,+85.91%,7.97 22.25
59,LSTR,"Landstar System, Inc.",,131.39 +0.55 (+0.42%),0.55,+0.42%,2184,412525,4.553B,27.49,-30.26%,119.32 196.86
60,SNA,Snap-on Incorporated,,344.17 +11.58 (+3.48%),11.58,+3.48%,14032,316540,17.899B,18.05,+5.54%,289.81 373.90
61,CORT,Corcept Therapeutics Incorporated,,78.63 -0.84 (-1.06%),-0.84,-1.06%,10909,872900,8.285B,70.21,+59.74%,42.01 117.33
62,METC,"Ramaco Resources, Inc.",,44.41 -5.07 (-10.25%),-5.07,-10.25%,244351,3.274M,2.622B,--,+376.26%,6.30 57.80
63,TECH,Bio-Techne Corporation,,61.59 -0.01 (-0.02%),-0.01,-0.02%,46466,2.426M,9.589B,133.89,-13.53%,46.01 80.80
64,RGEN,Repligen Corporation,,152.88 -1.67 (-1.08%),-1.67,-1.08%,5457,915048,8.601B,--,+5.17%,102.97 182.52
65,COCO,"The Vita Coco Company, Inc.",,41.20 -0.07 (-0.17%),-0.07,-0.17%,9690,942953,2.341B,38.50,+43.10%,25.79 43.65
66,FUN,Six Flags Entertainment Corporation,,21.38 +0.10 (+0.49%),0.1,+0.49%,39193,4.108M,2.165B,--,-46.22%,20.00 49.77
67,ILMN,"Illumina, Inc.",,95.32 -0.59 (-0.62%),-0.59,-0.62%,15863,1.754M,14.651B,12.07,-34.34%,68.70 156.66
68,AG,First Majestic Silver Corp.,,14.81 -0.53 (-3.45%),-0.53,-3.45%,1.834M,20.534M,7.259B,--,+110.00%,5.09 15.69
69,ZGN,Ermenegildo Zegna N.V.,,10.00 +0.30 (+3.09%),0.3,+3.09%,16287,846004,2.541B,23.26,+19.19%,6.05 10.38
70,ORCL,Oracle Corporation,,300.08 -12.95 (-4.14%),-12.95,-4.14%,2.025M,20.923M,855.466B,69.46,+79.17%,118.86 345.72
71,PKX,POSCO Holdings Inc.,,51.30 +0.34 (+0.67%),0.34,+0.67%,8166,129848,15.517B,42.75,-19.23%,39.40 63.25
72,IRTC,"iRhythm Technologies, Inc.",,180.40 -0.62 (-0.34%),-0.62,-0.34%,6312,420775,5.796B,--,+188.85%,60.69 187.57
73,STX,Seagate Technology Holdings plc,,221.76 -4.26 (-1.89%),-4.26,-1.89%,138818,4.038M,47.229B,32.71,+101.60%,63.19 264.83
74,,,,,,,,,,,,
