,Unnamed: 0,Volume,Last,Chg,% Chg
0,Solidion Technology Inc. (STI),99.2M,21.62,16.14,293.9
1,ESS Tech Inc. (GWH),159.9M,9.07,4.92,118.15
2,Aqua Metals Inc. (AQMS),18.0M,9.91,4.25,75.09
3,Graphjet Technology (GTI),1.9M,6.03,2.16,55.81
4,Critical Metals Corp. (CRML),61.1M,23.28,8.3,55.41
5,Nouveau Monde Graphite Inc. (NMG),6.5M,5.07,1.73,51.8
6,Blackboxstocks Inc. (BLBX),5.0M,12.18,4.03,49.45
7,Powell Max Ltd. (PMAX),25.4M,3.75,1.16,44.79
8,China Natural Resources Inc. (CHNR),16.6M,7.17,2.19,44.06
9,Earlyworks Co. Ltd. ADR (ELWS),315.3K,3.79,1.09,40.37
10,Volato Group Inc. (SOAR),4.2M,3.46,0.97,38.96
11,Hang Feng Technology Innovation Co. Ltd. (FOFO),341.1K,16.22,4.52,38.63
12,Tao Synergies Inc. (TAOX),677.4K,9.54,2.65,38.46
13,United States Antimony Corp. (UAMY),40.3M,16.71,4.5,36.83
14,American Battery Technology Co. (ABAT),44.3M,9.22,2.47,36.59
15,Stardust Power Inc. (SDST),1.3M,5.14,1.29,33.51
16,Professional Diversity Network Inc. (IPDN),1.4M,3.95,0.99,33.45
17,Snow Lake Resources Ltd. (LITM),19.9M,5.94,1.46,32.59
18,Namib Minerals (NAMM),23.1M,4.17,1.01,31.96
19,Nukkleus Inc. (NUKK),2.7M,10.49,2.53,31.78
20,ASP Isotopes Inc. (ASPI),24.5M,13.32,3.19,31.49
21,Advent Technologies Holdings Inc. (ADN),490.2K,3.76,0.89,31.01
22,Northern Dynasty Minerals Ltd. (NAK),51.0M,2.64,0.6,29.8
23,PS International Group Ltd. (PSIG),280.2K,4.72,1.06,28.82
24,Nanobiotix S.A. ADR (NBTX),169.4K,30.31,6.71,28.43
25,Bitfarms Ltd. (BITF),143.5M,5.39,1.19,28.33
26,New Horizon Aircraft Ltd. (HOVR),2.8M,3.67,0.8,27.87
27,CVD Equipment Corp. (CVV),157.9K,4.03,0.87,27.53
28,Nova Minerals Ltd. ADR (NVA),524.0K,34.16,7.25,26.94
29,Bloom Energy Corp. (BE),26.2M,109.93,23.06,26.55
30,Brilliant Earth Group Inc. Cl A (BRLT),382.7K,2.67,0.55,25.94
31,ENDRA Life Sciences Inc. (NDRA),13.8M,8.12,1.64,25.31
32,Rigetti Computing Inc. (RGTI),158.1M,54.91,10.99,25.02
33,Lottery.com Inc. (SEGG),274.0K,4.65,0.93,24.83
34,Power Integrations Inc. (POWI),6.7M,43.15,8.51,24.57
35,17 Education & Technology Group Inc. ADR (YQ),58.2K,4.99,0.96,23.82
36,Odyssey Marine Exploration Inc. (OMEX),5.8M,3.49,0.67,23.76
37,Eos Energy Enterprises Inc. (EOSE),40.5M,17.05,3.23,23.37
38,D-Wave Quantum Inc. (QBTS),82.4M,40.56,7.54,22.83
39,Universal Safety Products Inc. (UUU),301.0K,5.37,0.99,22.6
40,American Resources Corp. (AREC),24.2M,4.98,0.9,22.06
41,BigBear.ai Holdings Inc. (BBAI),201.2M,8.81,1.59,22.02
42,Lightbridge Corp. (LTBR),4.0M,26.91,4.83,21.88
43,W&T Offshore Inc. (WTI),10.4M,2.52,0.45,21.74
44,Velo3D Inc. (VELO),1.7M,5.41,0.96,21.57
45,Fluence Energy Inc. (FLNC),9.8M,15.89,2.8,21.39
46,I-Mab ADR (IMAB),4.5M,5.79,1.02,21.38
47,MP Materials Corp. (MP),47.4M,95.06,16.72,21.34
48,Mega Fortune Co. Ltd. (MGRT),136.9K,5.31,0.93,21.23
49,Navitas Semiconductor Corp. (NVTS),120.8M,9.97,1.74,21.14
50,Lithium Argentina AG (LAR),7.0M,5.42,0.94,21.14
51,Tron Inc. (TRON),4.3M,4.13,0.72,21.11
52,5E Advanced Materials Inc. (FEAM),613.5K,6.85,1.19,21.02
53,Microvast Holdings Inc. (MVST),16.5M,5.24,0.91,21.02
54,Quhuo Ltd. ADR (QH),1.2M,7.89,1.35,20.64
55,Forward Industries Inc. (FORD),493.4K,24.58,4.19,20.55
56,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),699.1K,20.03,3.41,20.52
57,TMC the metals company Inc. (TMC),27.6M,10.69,1.8,20.32
58,Ioneer Ltd. ADR (IONR),894.1K,7.41,1.24,20.1
59,Arqit Quantum Inc. (ARQQ),1.2M,58.27,9.75,20.09
60,Foremost Clean Energy Ltd. (FMST),1.0M,3.77,0.63,20.06
61,Cipher Mining Inc. (CIFR),56.9M,20.34,3.37,19.86
62,BTQ Technologies Corp. (BTQ),8.9M,12.08,1.96,19.37
63,Skyline Builders Group Holding Ltd. Cl A (SKBL),905.2K,3.69,0.59,19.03
64,Fossil Group Inc. (FOSL),788.6K,2.71,0.43,18.86
65,Nvni Group Ltd. (NVNI),690.5K,3.66,0.58,18.83
66,Nano Nuclear Energy Inc. (NNE),7.2M,54.44,8.61,18.79
67,Greenwave Technology Solutions Inc. (GWAV),499.4K,8.53,1.34,18.64
68,Tango Therapeutics Inc. (TNGX),3.2M,8.47,1.33,18.63
69,USA Rare Earth Inc. (USAR),47.0M,38.68,6.07,18.61
70,Pixelworks Inc. (PXLW),352.7K,15.23,2.39,18.61
71,WhiteFiber Inc. (WYFI),1.4M,39.13,6.1,18.47
72,Ramaco Resources Inc. Cl B (METCB),210.0K,21.67,3.35,18.29
73,Aureus Greenway Holdings Inc. (AGH),152.9K,4.14,0.63,17.95
74,EUDA Health Holdings Ltd. (EUDA),157.7K,3.36,0.5,17.48
75,Ondas Holdings Inc. (ONDS),50.3M,10.81,1.59,17.25
76,Red Cat Holdings Inc. (RCAT),15.2M,15.38,2.26,17.23
77,Click Holdings Ltd. (CLIK),305.7K,8.85,1.29,17.06
78,Terra Innovatum Global N.V. (NKLR),4.1M,18.26,2.65,16.98
79,Energy Fuels Inc. (UUUU),40.5M,23.78,3.44,16.89
80,Eastern International Ltd. (ELOG),254.0K,2.97,0.42,16.47
81,IonQ Inc. (IONQ),37.0M,82.11,11.46,16.22
82,Monopar Therapeutics Inc. (MNPR),84.7K,102.05,14.23,16.2
83,Oklo Inc. (OKLO),24.6M,171.0,23.84,16.2
84,Bio Green Med Solution Inc. (BGMS),471.6K,5.95,0.82,15.98
85,SuperX AI Technology Ltd. (SUPX),365.0K,67.37,9.21,15.84
86,Palladyne AI Corp. (PDYN),2.1M,9.6,1.31,15.8
87,Churchill Capital Corp. X Cl A (CCCX),7.6M,25.95,3.54,15.8
88,Standard Lithium Ltd. (SLI),7.8M,5.22,0.7,15.63
89,QuantumScape Corp. Cl A (QS),60.9M,16.99,2.29,15.58
90,Clean Energy Technologies Inc. (CETY),340.7K,2.75,0.37,15.55
91,Solaris Energy Infrastructure Inc. (SEI),4.3M,51.97,6.99,15.54
92,Sandisk Corp. (SNDK),8.0M,134.61,17.7,15.14
93,Argan Inc. (AGX),375.2K,294.88,38.73,15.12
94,Dogwood Therapeutics Inc. (DWTX),70.6K,6.18,0.81,15.08
95,Mobilicom Ltd. ADR (MOB),544.0K,9.63,1.26,15.05
96,Bitdeer Technologies Group (BTDR),9.2M,20.45,2.67,15.02
97,Mangoceuticals Inc. (MGRX),316.8K,2.53,0.33,15.0
98,NuScale Power Corp. (SMR),27.2M,45.02,5.78,14.73
99,Alpha & Omega Semiconductor Inc. (AOSL),382.2K,29.43,3.77,14.69
