,Unnamed: 0,Volume,Last,Chg,% Chg
0,Omeros Corp. (OMER),83.9M,10.16,6.07,147.93
1,Sadot Group Inc. (SDOT),17.1M,9.71,4.52,87.1
2,Sound Group Inc. ADR (SOGP),2.1M,20.94,7.76,58.9
3,Veritone Inc. (VERI),34.4M,8.35,2.89,52.93
4,iRobot Corp. (IRBT),17.8M,5.7,1.77,45.04
5,Fossil Group Inc. (FOSL),6.2M,3.76,1.11,41.89
6,Arcadia Biosciences Inc. (RKDA),19.6M,5.02,1.33,36.04
7,Innovation Beverage Group Ltd. (IBG),22.0M,4.37,1.15,35.7
8,Apollomics Inc. (APLM),425.3K,24.9,6.47,35.08
9,Evaxion A/S ADR (EVAX),1.9M,10.45,2.61,33.29
10,SciSparc Ltd. (SPRC),2.0M,4.58,1.13,32.75
11,Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),76.4K,6.04,1.29,27.26
12,Blaize Holdings Inc. (BZAI),9.7M,6.32,1.31,26.15
13,Bitdeer Technologies Group (BTDR),22.0M,25.32,5.2,25.84
14,Sana Biotechnology Inc. (SANA),25.1M,5.54,1.08,24.38
15,Soluna Holdings Inc. (SLNH),26.7M,3.42,0.64,22.76
16,Zenta Group Co. Ltd. (ZGM),1.1M,3.62,0.63,20.83
17,Local Bounti Corp. (LOCL),92.2K,3.72,0.62,20.0
18,Nukkleus Inc. (NUKK),2.4M,13.52,2.13,18.7
19,Hillenbrand Inc. (HI),20.8M,31.23,4.74,17.89
20,Absci Corp. (ABSI),8.7M,4.6,0.69,17.82
21,Tecogen Inc. (TGEN),1.5M,11.2,1.67,17.52
22,Avino Silver & Gold Mines Ltd. (ASM),7.7M,6.49,0.95,17.15
23,T1 Energy Inc. (TE),20.3M,4.7,0.69,17.08
24,SCHMID Group N.V. (SHMD),268.8K,3.64,0.51,16.29
25,Quoin Pharmaceuticals Ltd. ADR (QNRX),467.6K,16.19,2.14,15.25
26,FutureFuel Corp. (FF),527.7K,4.42,0.57,14.97
27,New Era Energy & Digital Inc. (NUAI),26.9M,3.52,0.45,14.66
28,Quantum-Si Inc. (QSI),38.4M,2.46,0.3,14.19
29,Navitas Semiconductor Corp. (NVTS),87.3M,14.34,1.76,14.04
30,Above Food Ingredients Inc. (ABVE),3.8M,4.92,0.6,14.0
31,Microvast Holdings Inc. (MVST),10.4M,5.98,0.73,14.0
32,AirJoule Technologies Corp. (AIRJ),530.2K,6.24,0.76,13.87
33,AgriFORCE Growing Systems Ltd. (AGRI),606.5K,3.95,0.48,13.82
34,Kodiak Sciences Inc. (KOD),421.7K,14.16,1.68,13.42
35,Applied Optoelectronics Inc. (AAOI),3.8M,32.27,3.79,13.31
36,Sandisk Corp. (SNDK),5.4M,143.94,16.66,13.08
37,Xencor Inc. (XNCR),464.9K,14.03,1.6,12.87
38,Better Home & Finance Holding Co. (BETR),413.7K,56.28,6.36,12.74
39,Amprius Technologies Inc. (AMPX),12.4M,14.88,1.64,12.34
40,Bunge Global S.A. (BG),2.6M,91.98,9.57,11.61
41,Qualigen Therapeutics Inc. (QLGN),99.1K,4.25,0.44,11.55
42,Ventyx Biosciences Inc. (VTYX),1.7M,4.07,0.42,11.51
43,Gyre Therapeutics Inc. (GYRE),118.0K,8.93,0.92,11.49
44,NuScale Power Corp. (SMR),39.9M,50.9,5.12,11.17
45,Central Puerto S.A. ADR (CEPU),491.2K,9.8,0.95,10.73
46,Hang Feng Technology Innovation Co. Ltd. (FOFO),200.7K,17.79,1.66,10.29
47,Yatsen Holding Ltd. ADR (YSG),312.0K,8.36,0.78,10.29
48,Everspin Technologies Inc. (MRAM),588.5K,12.02,1.11,10.17
49,Celcuity Inc. (CELC),406.0K,50.9,4.7,10.16
50,Uranium Royalty Corp. (UROY),6.3M,4.7,0.43,10.07
51,17 Education & Technology Group Inc. ADR (YQ),56.5K,5.59,0.51,10.04
52,Compass Therapeutics Inc. (CMPX),803.0K,4.78,0.43,10.02
53,MEDIROM Healthcare Technologies Inc. ADR (MRM),445.4K,2.36,0.21,9.77
54,New Oriental Education & Technology Group Inc. ADR (EDU),1.4M,58.03,5.15,9.74
55,Zevra Therapeutics Inc. (ZVRA),2.5M,11.5,1.01,9.63
56,Pyxis Oncology Inc. (PYXS),356.6K,3.54,0.31,9.6
57,NovaGold Resources Inc. (NG),4.7M,10.82,0.94,9.56
58,Aeva Technologies Inc. (AEVA),2.5M,19.79,1.72,9.52
59,Ichor Holdings Ltd. (ICHR),661.3K,22.36,1.94,9.5
60,Jaguar Health Inc. (JAGX),152.1K,2.33,0.2,9.39
61,ProQR Therapeutics N.V. (PRQR),332.7K,2.69,0.23,9.35
62,SSR Mining Inc. (SSRM),2.3M,25.8,2.2,9.32
63,Foremost Clean Energy Ltd. (FMST),1.4M,4.24,0.36,9.28
64,RAPT Therapeutics Inc. (RAPT),75.0K,27.3,2.3,9.2
65,Optical Cable Corp. (OCC),65.2K,9.37,0.78,9.08
66,Telix Pharmaceuticals Ltd. ADR (TLX),281.9K,10.95,0.91,9.06
67,Editas Medicine Inc. (EDIT),2.0M,3.92,0.33,9.05
68,Safe Pro Group Inc. (SPAI),334.5K,7.56,0.63,9.02
69,Apellis Pharmaceuticals Inc. (APLS),962.3K,25.23,2.08,8.98
70,Neuraxis Inc. (NRXS),77.6K,3.3,0.27,8.98
71,C4 Therapeutics Inc. (CCCC),742.4K,2.2,0.18,8.92
72,PowerBank Corp. (SUUN),728.1K,2.26,0.18,8.89
73,Ambow Education Holding Ltd. ADR (AMBO),57.3K,5.04,0.41,8.86
74,IZEA Worldwide Inc. (IZEA),321.9K,5.55,0.45,8.82
75,Aspen Aerogels Inc. (ASPN),1.3M,8.8,0.71,8.78
76,Stem Inc. (STEM),641.5K,29.92,2.4,8.72
77,CDT Equity Inc. (CDT),188.4K,4.12,0.33,8.71
78,Helios Technologies Inc. (HLIO),653.4K,53.99,4.32,8.7
79,REGENXBIO Inc. (RGNX),176.7K,12.2,0.95,8.44
80,Ascent Solar Technologies Inc. (ASTI),254.9K,2.46,0.19,8.37
81,ENDRA Life Sciences Inc. (NDRA),118.1K,7.58,0.58,8.37
82,Energous Corp. (WATT),59.4K,8.13,0.62,8.26
83,NewAmsterdam Pharma Co. N.V. (NAMS),757.4K,40.97,3.11,8.21
84,Senti Biosciences Inc. (SNTI),638.0K,2.25,0.17,8.17
85,HCM II Acquisition Corp. Cl A (HOND),8.0M,27.02,2.04,8.17
86,Cryoport Inc. (CYRX),343.0K,10.08,0.76,8.15
87,Corcept Therapeutics Inc. (CORT),488.0K,78.0,5.88,8.15
88,Austin Gold Corp. (AUST),324.8K,2.8,0.21,8.11
89,Array Technologies Inc. (ARRY),5.3M,9.8,0.73,8.1
90,Hecla Mining Co. (HL),11.3M,14.36,1.07,8.02
91,Advanced Micro Devices Inc. (AMD),64.0M,235.57,17.48,8.02
92,EUDA Health Holdings Ltd. (EUDA),63.7K,3.52,0.26,7.98
93,Xeris Biopharma Holdings Inc. (XERS),2.1M,8.76,0.64,7.88
94,GSI Technology Inc. (GSIT),234.8K,5.01,0.36,7.85
95,Korro Bio Inc. (KRRO),132.8K,49.37,3.59,7.84
96,Hut 8 Corp. (HUT),8.5M,53.84,3.9,7.81
97,Digital Turbine Inc. (APPS),2.3M,7.07,0.51,7.77
98,AirSculpt Technologies Inc. (AIRS),682.0K,10.59,0.76,7.73
99,Solana Co. (HSDT),407.3K,15.33,1.1,7.73
