,Unnamed: 0,Volume,Last,Chg,% Chg
0,Australian Oilseeds Holdings Ltd. (COOT),184.5M,2.64,1.68,173.58
1,Omeros Corp. (OMER),124.6M,10.42,6.32,154.15
2,Pinnacle Food Group Ltd. Cl A (PFAI),63.0M,4.57,2.66,139.27
3,TrueCar Inc. (TRUE),7.4M,2.4,0.92,62.16
4,Soluna Holdings Inc. (SLNH),46.8M,4.29,1.5,53.76
5,Veritone Inc. (VERI),46.6M,8.39,2.93,53.66
6,Sadot Group Inc. (SDOT),20.3M,7.72,2.53,48.75
7,Arcadia Biosciences Inc. (RKDA),21.1M,5.45,1.76,47.7
8,Sound Group Inc. ADR (SOGP),2.4M,19.05,5.88,44.59
9,Fossil Group Inc. (FOSL),12.9M,3.75,1.1,41.51
10,Real Messenger Corp. (RMSG),1.3M,2.64,0.77,41.18
11,Evaxion A/S ADR (EVAX),2.7M,11.01,3.17,40.43
12,iRobot Corp. (IRBT),25.6M,5.37,1.44,36.64
13,Sana Biotechnology Inc. (SANA),35.9M,5.92,1.47,33.03
14,T1 Energy Inc. (TE),29.5M,5.24,1.23,30.67
15,Bitdeer Technologies Group (BTDR),32.8M,25.9,5.78,28.73
16,ATIF Holdings Ltd. (ZBAI),1.4M,10.54,2.34,28.54
17,Absci Corp. (ABSI),17.1M,5.0,1.1,28.21
18,SCHMID Group N.V. (SHMD),348.3K,4.0,0.87,27.8
19,Tecogen Inc. (TGEN),2.8M,12.07,2.54,26.65
20,Blaize Holdings Inc. (BZAI),14.6M,6.29,1.28,25.55
21,Innovation Beverage Group Ltd. (IBG),23.5M,4.03,0.81,25.16
22,SciSparc Ltd. (SPRC),2.2M,4.29,0.84,24.35
23,TechCreate Group Ltd. (TCGL),2.7M,4.93,0.93,23.25
24,Quantum-Si Inc. (QSI),53.3M,2.63,0.48,22.33
25,Navitas Semiconductor Corp. (NVTS),147.8M,15.16,2.59,20.6
26,EDAP TMS S.A. ADR (EDAP),455.9K,2.58,0.44,20.56
27,AirJoule Technologies Corp. (AIRJ),1.0M,6.59,1.11,20.26
28,Better Home & Finance Holding Co. (BETR),989.4K,59.87,9.95,19.93
29,EUDA Health Holdings Ltd. (EUDA),104.6K,3.89,0.63,19.33
30,Kodiak Sciences Inc. (KOD),1.1M,14.88,2.4,19.23
31,Microvast Holdings Inc. (MVST),19.7M,6.25,1.0,19.05
32,Energous Corp. (WATT),236.2K,8.9,1.39,18.51
33,Hillenbrand Inc. (HI),32.1M,31.31,4.82,18.2
34,Optical Cable Corp. (OCC),105.0K,10.1,1.51,17.58
35,Avino Silver & Gold Mines Ltd. (ASM),11.5M,6.51,0.97,17.51
36,Above Food Ingredients Inc. (ABVE),5.3M,5.06,0.74,17.13
37,NuScale Power Corp. (SMR),60.8M,53.43,7.64,16.68
38,Caribou Biosciences Inc. (CRBU),2.0M,2.84,0.4,16.39
39,Fluence Energy Inc. (FLNC),18.8M,21.44,2.99,16.21
40,Hims & Hers Health Inc. (HIMS),54.8M,62.76,8.74,16.18
41,MaxsMaking Inc. (MAMK),106.9K,2.9,0.4,16.0
42,Immunome Inc. (IMNM),2.1M,16.35,2.25,15.96
43,Applied Optoelectronics Inc. (AAOI),6.7M,32.95,4.47,15.7
44,Zenta Group Co. Ltd. (ZGM),1.6M,3.47,0.47,15.67
45,Recursion Pharmaceuticals Inc. (RXRX),179.4M,6.79,0.9,15.28
46,Safe Pro Group Inc. (SPAI),594.0K,7.98,1.05,15.15
47,Nukkleus Inc. (NUKK),3.5M,13.11,1.72,15.1
48,Broadwind Inc. (BWEN),778.0K,2.63,0.34,14.85
49,SHF Holdings Inc. (SHFS),192.1K,4.28,0.54,14.44
50,GSI Technology Inc. (GSIT),607.4K,5.31,0.66,14.19
51,Xeris Biopharma Holdings Inc. (XERS),5.9M,9.27,1.15,14.16
52,Ichor Holdings Ltd. (ICHR),1.5M,23.3,2.88,14.1
53,FutureFuel Corp. (FF),799.3K,4.38,0.54,14.06
54,Select Water Solutions Inc. (WTTR),3.8M,11.51,1.41,13.96
55,Vince Holding Corp. (VNCE),195.0K,3.21,0.39,13.83
56,Array Technologies Inc. (ARRY),11.4M,10.29,1.22,13.45
57,Xencor Inc. (XNCR),1.4M,14.1,1.67,13.44
58,Sandisk Corp. (SNDK),8.6M,144.3,17.01,13.36
59,Pyxis Oncology Inc. (PYXS),878.1K,3.66,0.43,13.31
60,Lazydays Holdings Inc. (GORV),277.6K,2.22,0.26,13.27
61,Editas Medicine Inc. (EDIT),4.9M,4.06,0.47,13.09
62,rYojbaba Co. Ltd. (RYOJ),10.9M,2.17,0.25,13.02
63,Bunge Global S.A. (BG),5.0M,93.09,10.68,12.96
64,Nurix Therapeutics Inc. (NRIX),1.3M,10.35,1.17,12.75
65,Local Bounti Corp. (LOCL),111.5K,3.49,0.39,12.58
66,Ginkgo Bioworks Holdings Inc. (DNA),2.0M,15.83,1.74,12.35
67,Zevra Therapeutics Inc. (ZVRA),5.0M,11.78,1.29,12.3
68,Korro Bio Inc. (KRRO),419.4K,51.36,5.58,12.19
69,WW International Inc. (WW),473.4K,29.14,3.14,12.08
70,Solana Co. (HSDT),950.7K,15.92,1.69,11.88
71,IZEA Worldwide Inc. (IZEA),511.3K,5.7,0.6,11.76
72,SES AI Corp. (SES),55.7M,3.54,0.37,11.67
73,Vishay Precision Group Inc. (VPG),293.1K,36.99,3.82,11.52
74,Cullinan Therapeutics Inc. (CGEM),1.3M,8.63,0.89,11.5
75,Amylyx Pharmaceuticals Inc. (AMLX),3.3M,15.79,1.6,11.28
76,Uranium Royalty Corp. (UROY),20.8M,4.75,0.48,11.24
77,enCore Energy Corp. (EU),13.6M,4.07,0.41,11.2
78,Precision Biosciences Inc. (DTIL),274.0K,6.5,0.65,11.11
79,Central Puerto S.A. ADR (CEPU),1.1M,9.83,0.98,11.07
80,Senti Biosciences Inc. (SNTI),839.1K,2.31,0.23,11.06
81,Digital Turbine Inc. (APPS),3.8M,7.28,0.72,10.98
82,Fulcrum Therapeutics Inc. (FULC),554.8K,9.64,0.95,10.93
83,Foremost Clean Energy Ltd. (FMST),2.0M,4.3,0.42,10.82
84,Intrusion Inc. (INTZ),671.8K,2.06,0.2,10.75
85,Gyre Therapeutics Inc. (GYRE),177.1K,8.87,0.86,10.74
86,Perma-Fix Environmental Services Inc. (PESI),445.9K,12.28,1.18,10.63
87,Anebulo Pharmaceuticals Inc. (ANEB),63.6K,2.72,0.26,10.57
88,New Oriental Education & Technology Group Inc. ADR (EDU),2.6M,58.43,5.55,10.5
89,Borealis Foods Inc. Cl A (BRLS),66.0K,3.37,0.32,10.49
90,Black Diamond Therapeutics Inc. (BDTX),871.7K,4.15,0.39,10.37
91,Day One Biopharmaceuticals Inc. (DAWN),1.4M,7.78,0.73,10.35
92,Precigen Inc. (PGEN),5.7M,3.53,0.33,10.31
93,CDT Equity Inc. (CDT),316.0K,4.18,0.39,10.29
94,Inventiva S.A. ADR (IVA),272.2K,5.47,0.51,10.28
95,Amprius Technologies Inc. (AMPX),19.8M,14.61,1.36,10.26
96,MEDIROM Healthcare Technologies Inc. ADR (MRM),816.3K,2.37,0.22,10.23
97,Salarius Pharmaceuticals Inc. (SLRX),340.4K,4.6,0.42,10.18
98,ProQR Therapeutics N.V. (PRQR),2.1M,2.71,0.25,10.16
99,Centrus Energy Corp. (LEU),2.0M,436.0,39.84,10.06
