,Unnamed: 0,Volume,Last,Chg,% Chg
0,Quoin Pharmaceuticals Ltd. ADR (QNRX),8.0M,23.5,15.34,187.93
1,Safe & Green Holdings Corp. (SGBX),67.3M,6.07,2.83,87.19
2,Novonix Ltd. ADR (NVX),20.1M,3.3,1.14,52.42
3,Yunhong Green CTI Ltd. (YHGJ),2.7M,8.66,2.66,44.35
4,Top KingWin Ltd. (WAI),13.9M,4.13,1.07,34.97
5,Protagonist Therapeutics Inc. (PTGX),3.1M,89.61,22.57,33.67
6,Perspective Therapeutics Inc. (CATX),3.3M,5.14,1.28,33.2
7,Agroz Inc. (AGRZ),185.8K,5.63,1.37,32.16
8,One & One Green Technologies Inc. (YDDL),8.4M,6.85,1.43,26.38
9,ASP Isotopes Inc. (ASPI),13.7M,10.87,2.02,22.82
10,United States Antimony Corp. (UAMY),21.5M,13.31,2.43,22.33
11,Applied Digital Corp. (APLD),74.9M,35.42,6.13,20.93
12,Critical Metals Corp. (CRML),39.5M,17.74,3.03,20.6
13,Digi Power X Inc. (DGXX),2.4M,3.18,0.54,20.45
14,LEIFRAS Co. Ltd. ADR (LFS),6.4M,3.69,0.58,18.65
15,OneMedNet Corp. (ONMD),25.8M,3.14,0.47,17.6
16,SWK Holdings Corp. (SWKH),684.2K,16.82,2.42,16.81
17,Super League Enterprise Inc. (SLE),22.3M,4.15,0.59,16.57
18,Anfield Energy Inc. (AEC),568.1K,10.51,1.49,16.52
19,Gyre Therapeutics Inc. (GYRE),227.2K,8.28,1.13,15.8
20,USA Rare Earth Inc. (USAR),31.8M,35.8,4.74,15.24
21,Eightco Holdings Inc. (ORBS),11.4M,9.7,1.26,14.93
22,9F Inc. ADR (JFU),315.7K,4.82,0.62,14.76
23,MP Materials Corp. (MP),32.2M,82.72,10.43,14.42
24,Uranium Energy Corp. (UEC),19.9M,15.45,1.9,14.0
25,Nova Minerals Ltd. ADR (NVA),141.6K,25.16,3.05,13.79
26,Greenwave Technology Solutions Inc. (GWAV),64.5K,7.3,0.88,13.67
27,American Battery Technology Co. (ABAT),15.5M,7.07,0.83,13.3
28,American Resources Corp. (AREC),10.2M,4.58,0.54,13.24
29,Volato Group Inc. (SOAR),2.2M,2.48,0.29,13.24
30,Bitfarms Ltd. (BITF),146.0M,4.72,0.55,13.19
31,Skyline Builders Group Holding Ltd. Cl A (SKBL),566.1K,3.14,0.36,13.08
32,5E Advanced Materials Inc. (FEAM),192.1K,5.62,0.64,12.85
