,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aqua Metals Inc. (AQMS),33.3M,29.62,19.71,198.89
1,Nova Minerals Ltd. ADR (NVA),9.2M,71.84,37.68,110.3
2,Greenwave Technology Solutions Inc. (GWAV),25.5M,17.55,9.04,106.23
3,Avalon Holdings Corp. (AWX),5.5M,4.91,2.16,78.55
4,PMGC Holdings Inc. (ELAB),20.0M,9.03,3.82,73.32
5,Trilogy Metals Inc. (TMQ),146.0M,10.49,3.93,59.91
6,a.k.a. Brands Holding Corp. (AKA),256.6K,14.44,4.01,38.46
7,Stardust Power Inc. (SDST),3.7M,7.09,1.95,37.94
8,Astria Therapeutics Inc. (ATXS),33.3M,11.61,3.14,37.07
9,American Resources Corp. (AREC),46.4M,6.81,1.83,36.75
10,SS Innovations International Inc. (SSII),604.1K,9.09,2.33,34.47
11,Westwater Resources Inc. (WWR),43.0M,3.44,0.88,34.37
12,International Tower Hill Mines Ltd. (THM),5.6M,2.74,0.69,33.66
13,New Era Energy & Digital Inc. (NUAI),53.4M,3.07,0.72,30.64
14,SmartKem Inc. (SMTK),493.5K,2.83,0.65,29.82
15,Solidion Technology Inc. (STI),9.4M,28.0,6.38,29.48
16,Critical Metals Corp. (CRML),83.0M,29.97,6.69,28.74
17,Arrive AI Inc. (ARAI),1.1M,6.26,1.35,27.49
18,Velo3D Inc. (VELO),1.9M,6.85,1.44,26.62
19,Navitas Semiconductor Corp. (NVTS),156.4M,12.57,2.6,26.08
20,Evaxion A/S ADR (EVAX),622.3K,7.84,1.58,25.24
21,SCHMID Group N.V. (SHMD),164.3K,3.19,0.64,25.1
22,Royalty Management Holding Corp. (RMCO),810.4K,3.9,0.78,25.0
23,SEALSQ Corp. (LAES),116.1M,7.65,1.52,24.8
24,Soluna Holdings Inc. (SLNH),19.7M,2.79,0.53,23.45
25,Nvni Group Ltd. (NVNI),1.2M,4.51,0.85,23.22
26,Rocket Pharmaceuticals Inc. (RCKT),9.6M,4.27,0.8,23.05
27,American Battery Technology Co. (ABAT),42.8M,11.33,2.11,22.89
28,Bluejay Diagnostics Inc. (BJDX),1.8M,3.5,0.65,22.81
29,NET Power Inc. (NPWR),3.5M,4.82,0.9,22.77
30,WISeKey International Holding Ltd. ADR (WKEY),2.4M,9.48,1.74,22.48
31,Blackboxstocks Inc. (BLBX),1.5M,14.81,2.63,21.59
32,Rekor Systems Inc. (REKR),26.1M,2.52,0.44,21.15
33,Telefon AB L.M. Ericsson Series B ADR (ERIC),61.1M,9.85,1.68,20.56
34,Lithium Americas Corp. (LAC),126.5M,10.07,1.64,19.45
35,Bakkt Holdings Inc. (BKKT),2.4M,44.92,7.21,19.12
36,HCM II Acquisition Corp. Cl A (HOND),4.3M,24.98,3.98,18.95
37,Brazil Potash Corp. (GRO),626.0K,2.9,0.46,18.85
38,Coya Therapeutics Inc. (COYA),1.4M,7.2,1.14,18.81
39,indie Semiconductor Inc. (INDI),15.1M,5.56,0.87,18.55
40,Odyssey Marine Exploration Inc. (OMEX),9.2M,4.12,0.63,18.05
41,Cemtrex Inc. (CETX),587.9K,6.22,0.92,17.36
42,One & One Green Technologies Inc. (YDDL),801.1K,5.7,0.83,17.04
43,NextNRG Inc. (NXXT),3.1M,2.63,0.38,16.89
44,Lightpath Technologies Inc. Cl A (LPTH),3.5M,10.39,1.49,16.74
45,Beeline Holdings Inc. (BLNE),1.1M,3.44,0.49,16.61
46,Ouster Inc. (OUST),4.5M,36.16,5.09,16.38
47,Kopin Corp. (KOPN),21.5M,3.94,0.55,16.22
48,Stem Inc. (STEM),698.3K,27.52,3.84,16.22
49,Fluence Energy Inc. (FLNC),14.8M,18.45,2.56,16.11
50,Cabaletta Bio Inc. (CABA),5.6M,2.89,0.4,16.06
51,Volato Group Inc. (SOAR),6.3M,4.01,0.56,16.04
52,Satellogic Inc. (SATL),5.7M,3.91,0.54,15.85
53,DigitalBridge Group Inc. (DBRG),12.8M,13.48,1.82,15.67
54,Edible Garden AG Inc. (EDBL),132.6K,2.32,0.31,15.61
55,Cerence Inc. (CRNC),4.3M,13.07,1.76,15.56
56,Almonty Industries Inc. (ALM),8.6M,9.96,1.32,15.28
57,Stoke Therapeutics Inc. (STOK),1.9M,34.94,4.6,15.16
58,Jet.AI Inc. (JTAI),709.6K,3.16,0.41,14.91
59,Interlink Electronics Inc. (LINK),89.7K,11.76,1.5,14.56
60,T1 Energy Inc. (TE),10.3M,4.0,0.5,14.29
61,Orla Mining Ltd. (ORLA),10.9M,13.12,1.64,14.23
62,Kandal M Venture Ltd. Cl A (FMFC),349.2K,10.55,1.3,14.12
63,Ballard Power Systems Inc. (BLDP),14.2M,3.98,0.49,14.04
64,ChowChow Cloud International Holdings Ltd. (CHOW),404.7K,8.24,1.01,14.04
65,Streamex Corp. (STEX),2.8M,5.84,0.71,13.96
66,Polaris Inc. (PII),3.6M,69.9,8.54,13.92
67,Albertsons Cos. Inc. (ACI),20.5M,19.29,2.34,13.79
68,Spectral AI Inc. (MDAI),1.9M,2.51,0.3,13.57
69,Digital Brands Group Inc. (DBGI),233.5K,8.63,1.03,13.55
70,Tetra Technologies Inc. (TTI),11.1M,7.04,0.84,13.55
71,LivePerson Inc. (LPSN),610.6K,6.56,0.78,13.49
72,Apyx Medical Corp. (APYX),417.3K,3.4,0.4,13.33
73,Resolute Holdings Management (RHLD),78.7K,83.65,9.81,13.29
74,Strata Critical Medical Inc. Cl A (SRTA),1.7M,5.57,0.65,13.21
75,Aeluma Inc. (ALMU),628.8K,19.72,2.3,13.2
76,Jayud Global Logistics Ltd. (JYD),70.4K,6.56,0.76,13.1
77,Intuitive Machines Inc. Cl A (LUNR),17.6M,13.85,1.6,13.06
