,Unnamed: 0,Volume,Last,Chg,% Chg
0,Omeros Corp. (OMER),123.1M,10.42,6.32,154.15
1,Soluna Holdings Inc. (SLNH),45.1M,4.29,1.5,53.76
2,Veritone Inc. (VERI),46.3M,8.39,2.93,53.66
3,Sadot Group Inc. (SDOT),19.9M,7.72,2.53,48.75
4,Arcadia Biosciences Inc. (RKDA),20.9M,5.45,1.76,47.7
5,Sound Group Inc. ADR (SOGP),2.3M,19.05,5.88,44.59
6,Fossil Group Inc. (FOSL),12.6M,3.75,1.1,41.51
7,Evaxion A/S ADR (EVAX),2.7M,11.01,3.17,40.43
8,iRobot Corp. (IRBT),25.4M,5.37,1.44,36.64
9,Sana Biotechnology Inc. (SANA),35.1M,5.92,1.47,33.03
10,T1 Energy Inc. (TE),27.4M,5.22,1.22,30.3
11,Bitdeer Technologies Group (BTDR),32.4M,25.9,5.78,28.73
12,Absci Corp. (ABSI),16.6M,5.0,1.1,28.21
13,SCHMID Group N.V. (SHMD),345.8K,4.0,0.87,27.8
14,Tecogen Inc. (TGEN),2.7M,12.01,2.48,26.02
15,Blaize Holdings Inc. (BZAI),14.5M,6.29,1.28,25.55
16,Innovation Beverage Group Ltd. (IBG),23.2M,4.03,0.81,25.16
17,SciSparc Ltd. (SPRC),2.2M,4.29,0.84,24.35
18,Quantum-Si Inc. (QSI),52.7M,2.63,0.48,22.33
19,Navitas Semiconductor Corp. (NVTS),146.8M,15.21,2.64,21.03
20,EDAP TMS S.A. ADR (EDAP),418.2K,2.58,0.44,20.56
21,TechCreate Group Ltd. (TCGL),2.4M,4.82,0.82,20.5
22,AirJoule Technologies Corp. (AIRJ),1.0M,6.59,1.11,20.26
23,Better Home & Finance Holding Co. (BETR),887.5K,59.87,9.95,19.93
24,EUDA Health Holdings Ltd. (EUDA),104.3K,3.89,0.63,19.33
25,Kodiak Sciences Inc. (KOD),1.1M,14.88,2.4,19.23
26,Microvast Holdings Inc. (MVST),19.4M,6.25,1.0,19.05
27,Energous Corp. (WATT),214.4K,8.9,1.39,18.51
28,Hillenbrand Inc. (HI),30.8M,31.32,4.83,18.23
29,Optical Cable Corp. (OCC),105.3K,10.1,1.51,17.58
30,Avino Silver & Gold Mines Ltd. (ASM),11.2M,6.5,0.96,17.42
31,Above Food Ingredients Inc. (ABVE),5.2M,5.06,0.74,17.13
32,NuScale Power Corp. (SMR),57.2M,53.44,7.66,16.72
33,Caribou Biosciences Inc. (CRBU),2.0M,2.84,0.4,16.39
34,Hims & Hers Health Inc. (HIMS),49.2M,62.82,8.8,16.29
35,MaxsMaking Inc. (MAMK),103.0K,2.9,0.4,16.0
36,Immunome Inc. (IMNM),2.1M,16.35,2.25,15.96
37,Fluence Energy Inc. (FLNC),18.7M,21.39,2.94,15.94
38,Applied Optoelectronics Inc. (AAOI),6.7M,32.95,4.47,15.7
39,Zenta Group Co. Ltd. (ZGM),1.5M,3.47,0.47,15.67
40,Recursion Pharmaceuticals Inc. (RXRX),175.6M,6.79,0.9,15.28
41,Safe Pro Group Inc. (SPAI),586.3K,7.98,1.05,15.15
42,Nukkleus Inc. (NUKK),3.4M,13.11,1.72,15.1
43,Broadwind Inc. (BWEN),766.1K,2.63,0.34,14.85
44,SHF Holdings Inc. (SHFS),145.4K,4.28,0.54,14.44
45,GSI Technology Inc. (GSIT),589.2K,5.31,0.66,14.19
46,FutureFuel Corp. (FF),742.0K,4.38,0.55,14.19
47,Xeris Biopharma Holdings Inc. (XERS),5.7M,9.27,1.15,14.16
48,Ichor Holdings Ltd. (ICHR),1.5M,23.3,2.88,14.1
49,Select Water Solutions Inc. (WTTR),3.2M,11.51,1.41,13.96
50,Vince Holding Corp. (VNCE),162.3K,3.2,0.38,13.48
51,Array Technologies Inc. (ARRY),11.3M,10.29,1.22,13.45
52,Xencor Inc. (XNCR),1.5M,14.1,1.67,13.44
53,Sandisk Corp. (SNDK),8.5M,144.3,17.01,13.36
54,Pyxis Oncology Inc. (PYXS),907.3K,3.66,0.43,13.31
55,Editas Medicine Inc. (EDIT),5.1M,4.06,0.47,13.09
56,Bunge Global S.A. (BG),4.2M,93.11,10.7,12.98
57,Nurix Therapeutics Inc. (NRIX),1.4M,10.35,1.17,12.75
58,Ginkgo Bioworks Holdings Inc. (DNA),1.7M,15.82,1.74,12.31
59,Zevra Therapeutics Inc. (ZVRA),4.9M,11.78,1.29,12.3
60,Korro Bio Inc. (KRRO),409.4K,51.36,5.58,12.19
61,WW International Inc. (WW),443.9K,29.14,3.14,12.08
62,Central Puerto S.A. ADR (CEPU),1.0M,9.91,1.06,12.03
63,Solana Co. (HSDT),941.9K,15.92,1.69,11.88
64,SES AI Corp. (SES),53.9M,3.54,0.38,11.83
65,IZEA Worldwide Inc. (IZEA),503.6K,5.7,0.6,11.76
66,Cullinan Therapeutics Inc. (CGEM),1.4M,8.63,0.89,11.5
67,Ambow Education Holding Ltd. ADR (AMBO),77.2K,5.16,0.53,11.45
68,Vishay Precision Group Inc. (VPG),248.6K,36.97,3.79,11.44
69,Amylyx Pharmaceuticals Inc. (AMLX),3.3M,15.79,1.6,11.28
70,Uranium Royalty Corp. (UROY),14.8M,4.75,0.48,11.24
71,enCore Energy Corp. (EU),13.2M,4.07,0.41,11.2
72,Precision Biosciences Inc. (DTIL),265.6K,6.5,0.65,11.11
73,Senti Biosciences Inc. (SNTI),826.5K,2.31,0.23,11.06
74,Digital Turbine Inc. (APPS),3.8M,7.28,0.72,10.98
75,Fulcrum Therapeutics Inc. (FULC),524.1K,9.64,0.95,10.93
76,Foremost Clean Energy Ltd. (FMST),2.0M,4.3,0.42,10.82
77,Gyre Therapeutics Inc. (GYRE),176.7K,8.87,0.86,10.74
78,Perma-Fix Environmental Services Inc. (PESI),442.7K,12.28,1.18,10.63
79,New Oriental Education & Technology Group Inc. ADR (EDU),2.3M,58.46,5.58,10.55
80,Borealis Foods Inc. Cl A (BRLS),66.0K,3.37,0.32,10.49
81,Amprius Technologies Inc. (AMPX),17.7M,14.63,1.38,10.42
82,Black Diamond Therapeutics Inc. (BDTX),813.9K,4.15,0.39,10.37
83,Day One Biopharmaceuticals Inc. (DAWN),1.4M,7.78,0.73,10.35
84,Precigen Inc. (PGEN),5.6M,3.53,0.33,10.31
85,CDT Equity Inc. (CDT),284.9K,4.18,0.39,10.29
86,Inventiva S.A. ADR (IVA),263.1K,5.47,0.51,10.28
87,MEDIROM Healthcare Technologies Inc. ADR (MRM),706.5K,2.37,0.22,10.23
88,Neuraxis Inc. (NRXS),230.1K,3.34,0.31,10.23
89,Salarius Pharmaceuticals Inc. (SLRX),309.3K,4.6,0.42,10.18
90,ProQR Therapeutics N.V. (PRQR),718.4K,2.71,0.25,10.16
91,Nkarta Inc. (NKTX),1.6M,2.63,0.24,10.04
92,Local Bounti Corp. (LOCL),110.1K,3.41,0.31,10.0
93,Centrus Energy Corp. (LEU),1.9M,435.7,39.53,9.98
94,Tyra Biosciences Inc. (TYRA),317.8K,15.3,1.38,9.91
95,Janux Therapeutics Inc. (JANX),1.9M,28.28,2.55,9.91
96,Compass Therapeutics Inc. (CMPX),2.1M,4.77,0.43,9.91
97,C4 Therapeutics Inc. (CCCC),1.4M,2.22,0.2,9.9
98,Bitfarms Ltd. (BITF),163.6M,6.47,0.58,9.85
99,Adaptive Biotechnologies Corp. (ADPT),2.1M,17.11,1.53,9.82
