,Unnamed: 0,Volume,Last,Chg,% Chg
0,Artiva Biotherapeutics Inc. (ARTV),98.8M,6.01,3.24,116.97
1,Kezar Life Sciences Inc. (KZR),5.8M,6.36,2.19,52.52
2,New Era Energy & Digital Inc. (NUAI),28.7M,4.55,1.4,44.44
3,Carbon Revolution PLC (CREV),25.9M,5.34,1.61,43.36
4,VirnetX Holding Corp. (VHC),2.2M,23.87,6.87,40.41
5,NextCure Inc. (NXTC),358.7K,11.93,3.23,37.13
6,Achieve Life Sciences Inc. (ACHV),15.8M,4.2,1.12,36.36
7,Sight Sciences Inc. (SGHT),1.6M,4.69,1.24,35.94
8,Liberty Energy Inc. (LBRT),24.9M,15.32,3.38,28.35
9,Rekor Systems Inc. (REKR),24.5M,3.2,0.6,23.08
10,Society Pass Inc. (SOPA),562.1K,3.08,0.56,22.22
11,Disc Medicine Inc. (IRON),2.2M,89.94,15.58,20.95
12,LEIFRAS Co. Ltd. ADR (LFS),381.7K,4.11,0.71,20.88
13,Eledon Pharmaceuticals Inc. (ELDN),5.5M,3.44,0.59,20.7
14,Mega Fortune Co. Ltd. (MGRT),401.1K,5.2,0.86,19.82
15,Megan Holdings Ltd. (MGN),225.5K,2.61,0.43,19.72
16,U-BX Technology Ltd. (UBXG),270.0K,2.42,0.39,19.21
17,Safe Pro Group Inc. (SPAI),1.6M,8.95,1.42,18.86
18,Aureus Greenway Holdings Inc. (AGH),627.0K,5.91,0.9,17.96
19,ATAI Life Sciences N.V. (ATAI),30.4M,6.45,0.97,17.7
20,Solidion Technology Inc. (STI),2.3M,21.17,3.15,17.48
21,Praxis Precision Medicines Inc. (PRAX),4.4M,189.99,27.28,16.77
22,a.k.a. Brands Holding Corp. (AKA),134.5K,14.99,2.13,16.56
23,SAB Biotherapeutics Inc. (SABS),418.0K,2.51,0.34,15.67
24,Odyssey Marine Exploration Inc. (OMEX),5.7M,3.72,0.47,14.62
25,Precigen Inc. (PGEN),11.5M,4.0,0.51,14.61
26,Mind Medicine (MindMed) Inc. (MNMD),3.7M,13.65,1.74,14.61
27,Apollomics Inc. (APLM),139.5K,36.65,4.67,14.6
28,Insight Molecular Diagnostics Inc. (IMDX),112.2K,5.3,0.68,14.59
29,ESS Tech Inc. (GWH),30.0M,5.2,0.66,14.4
30,Innventure Inc. (INV),658.1K,3.47,0.43,14.14
31,SCHMID Group N.V. (SHMD),113.9K,4.13,0.5,13.77
32,Synergy CHC Corp. (SNYR),172.4K,2.69,0.32,13.5
33,SS Innovations International Inc. (SSII),210.5K,9.74,1.06,12.21
34,Sify Technologies Ltd. ADR (SIFY),460.2K,13.19,1.43,12.16
35,Graphjet Technology (GTI),149.9K,5.21,0.54,11.56
36,HCM II Acquisition Corp. Cl A (HOND),4.8M,25.92,2.66,11.44
37,Allbirds Inc. (BIRD),64.9K,6.9,0.64,10.22
38,Ideal Power Inc. (IPWR),58.0K,5.69,0.52,10.06
39,Identiv Inc. (INVE),80.7K,3.86,0.35,9.97
40,Quoin Pharmaceuticals Ltd. ADR (QNRX),204.0K,14.89,1.35,9.97
41,Better Home & Finance Holding Co. (BETR),597.1K,63.35,5.74,9.96
42,NexGel Inc. (NXGL),113.6K,2.59,0.23,9.75
43,Pro-Dex Inc. (PDEX),197.7K,26.22,2.31,9.68
44,Avalo Therapeutics Inc. (AVTX),355.4K,15.35,1.35,9.64
