,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRML,Critical Metals Corp.,,21.46 +6.48 (+43.26%),6.48,+43.26%,41.457M,9.954M,2.294B,--,+123.25%,1.23 22.08
1,UAMY,United States Antimony Corporation,,15.84 +3.63 (+29.73%),3.63,+29.73%,26.409M,8.55M,2.132B,--,"+1,619.72%",0.49 16.26
2,BE,Bloom Energy Corporation,,110.81 +23.93 (+27.55%),23.93,+27.55%,18.275M,12.526M,25.928B,1007.32,+730.50%,9.02 113.65
3,EOSE,"Eos Energy Enterprises, Inc.",,17.18 +3.36 (+24.28%),3.36,+24.28%,29.136M,16.661M,4.796B,--,+337.34%,2.06 17.36
4,MP,MP Materials Corp.,,96.62 +18.28 (+23.32%),18.28,+23.32%,35.71M,15.506M,17.111B,--,+341.10%,15.56 98.97
5,BITF,Bitfarms Ltd.,,5.16 +0.96 (+22.86%),0.96,+22.86%,99.547M,58.179M,2.851B,--,+119.90%,0.67 5.25
6,USAR,"USA Rare Earth, Inc.",,40.11 +7.50 (+23.00%),7.5,+23.00%,34.253M,8.914M,4.566B,--,+203.07%,5.56 43.98
7,NVTS,Navitas Semiconductor Corporation,,10.08 +1.85 (+22.51%),1.85,+22.51%,45.676M,27.845M,2.149B,--,+226.59%,1.52 10.09
8,FLNC,"Fluence Energy, Inc.",,15.78 +2.69 (+20.55%),2.69,+20.55%,6.807M,5.619M,2.88B,--,-40.15%,3.46 24.00
9,ONDS,Ondas Holdings Inc.,,11.07 +1.85 (+20.06%),1.85,+20.06%,34.764M,43.968M,3.864B,--,+843.71%,0.57 11.70
10,UUUU,Energy Fuels Inc.,,24.20 +3.86 (+18.98%),3.86,+18.98%,30.559M,17.328M,5.582B,--,+254.36%,3.20 25.69
11,RGTI,"Rigetti Computing, Inc.",,51.70 +7.78 (+17.72%),7.78,+17.72%,88.927M,65.751M,16.76B,--,"+5,116.15%",0.79 52.18
12,FORD,"Forward Industries, Inc.",,24.00 +3.61 (+17.70%),3.61,+17.70%,302862,294598,2.064B,--,+474.37%,3.30 46.00
13,QBTS,D-Wave Quantum Inc.,,38.72 +5.70 (+17.27%),5.7,+17.27%,43.057M,49.877M,13.243B,--,"+3,169.31%",0.98 39.55
14,TMC,TMC the metals company Inc.,,10.38 +1.49 (+16.77%),1.49,+16.77%,20.261M,10.42M,5.475B,--,+771.08%,0.72 11.35
15,BTQ,BTQ Technologies Corp.,,11.80 +1.68 (+16.60%),1.68,+16.60%,6.55M,11.805M,2.035B,--,+92.40%,4.94 16.00
16,NNE,NANO Nuclear Energy Inc.,,53.40 +7.57 (+16.52%),7.57,+16.52%,4.815M,3.842M,2.223B,--,+160.55%,15.16 60.51
17,CIFR,Cipher Mining Inc.,,19.63 +2.66 (+15.67%),2.66,+15.67%,36.275M,39.554M,7.72B,--,+292.82%,1.86 20.20
18,QS,QuantumScape Corporation,,17.00 +2.30 (+15.68%),2.3,+15.68%,46.078M,47.264M,9.625B,--,+163.44%,3.40 17.79
19,SNDK,Sandisk Corporation,,133.60 +16.69 (+14.28%),16.69,+14.28%,5.236M,4.831M,19.56B,--,+224.75%,27.89 137.05
