,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
20,POWI,"Power Integrations, Inc.",,39.71 +5.07 (+14.65%),5.07,+14.65%,3.241M,634589,2.228B,67.31,-46.67%,34.55 69.53
21,OKLO,Oklo Inc.,,168.04 +20.88 (+14.19%),20.88,+14.19%,17.314M,20.097M,24.804B,--,"+1,365.74%",9.01 173.67
22,BBAI,"BigBear.ai Holdings, Inc.",,8.23 +1.01 (+13.92%),1.01,+13.92%,102.053M,93.08M,3.049B,--,+278.01%,1.51 10.36
23,AGX,"Argan, Inc.",,291.62 +35.48 (+13.85%),35.48,+13.85%,214815,393950,4.028B,34.93,+124.99%,101.02 294.00
24,SKE,Skeena Resources Limited,,20.74 +2.44 (+13.33%),2.44,+13.33%,487686,642185,2.511B,--,+103.56%,7.32 20.75
25,IONQ,"IonQ, Inc.",,79.96 +9.31 (+13.18%),9.31,+13.18%,20.12M,24.559M,26.461B,--,+551.75%,10.33 82.97
26,SMR,NuScale Power Corporation,,44.35 +5.11 (+13.04%),5.11,+13.04%,18.457M,16.067M,5.939B,--,+181.49%,11.08 53.50
27,SEI,"Solaris Energy Infrastructure, Inc.",,50.69 +5.71 (+12.69%),5.71,+12.69%,2.187M,2.637M,3.426B,85.92,+224.53%,12.78 51.94
28,METCB,"Ramaco Resources, Inc.",,20.65 +2.33 (+12.72%),2.33,+12.72%,110593,177296,3.164B,--,+74.95%,5.94 20.69
29,AMRC,"Ameresco, Inc.",,42.81 +4.63 (+12.13%),4.63,+12.13%,466662,780417,2.256B,36.59,+9.27%,8.49 44.93
30,TAC,TransAlta Corporation,,17.38 +1.79 (+11.45%),1.79,+11.45%,4.193M,1.294M,5.151B,--,+51.95%,7.82 17.69
31,VNET,"VNET Group, Inc.",,9.48 +0.97 (+11.47%),0.97,+11.47%,3.55M,6.937M,2.55B,--,+112.75%,3.17 16.13
32,EXK,Endeavour Silver Corp.,,8.53 +0.87 (+11.36%),0.87,+11.36%,8.73M,12.892M,2.475B,--,+77.73%,2.95 8.62
33,IREN,IREN Limited,,66.15 +6.38 (+10.68%),6.38,+10.68%,28.417M,33.786M,17.993B,169.63,+600.70%,5.13 70.05
34,AMBA,"Ambarella, Inc.",,80.75 +7.87 (+10.80%),7.87,+10.80%,522075,775885,3.447B,--,+21.28%,38.86 93.44
35,PSIX,"Power Solutions International, Inc.",,94.75 +9.03 (+10.53%),9.03,+10.53%,302000,746551,2.182B,19.70,+264.92%,15.30 121.78
36,IE,Ivanhoe Electric Inc.,,15.92 +1.51 (+10.48%),1.51,+10.48%,1.44M,1.634M,2.114B,--,+58.18%,4.50 16.22
37,AVGO,Broadcom Inc.,,357.66 +33.03 (+10.17%),33.03,+10.17%,27.49M,21.941M,1.689T,91.71,+78.06%,138.10 374.23
38,METC,"Ramaco Resources, Inc.",,52.09 +4.89 (+10.36%),4.89,+10.36%,1.812M,3.471M,3.091B,--,+335.88%,6.30 53.24
39,CLS,Celestica Inc.,,267.92 +24.20 (+9.93%),24.2,+9.93%,2.11M,3.341M,30.82B,58.50,+285.88%,55.30 270.15
40,RUN,Sunrun Inc.,,20.68 +1.88 (+9.99%),1.88,+9.99%,4.023M,13.899M,4.771B,--,+20.13%,5.38 21.08
41,ENTG,"Entegris, Inc.",,91.90 +8.26 (+9.88%),8.26,+9.88%,957891,2.721M,13.914B,47.13,-24.95%,60.75 112.36
42,GRND,Grindr Inc.,,13.14 +1.18 (+9.82%),1.18,+9.82%,4.413M,2.056M,2.522B,--,-8.56%,11.73 25.13
43,LAC,Lithium Americas Corp.,,8.22 +0.73 (+9.68%),0.73,+9.68%,56.758M,32.03M,2.034B,--,+166.55%,2.31 9.48
44,ALB,Albemarle Corporation,,98.44 +8.58 (+9.55%),8.58,+9.55%,2.278M,4.381M,11.585B,--,-9.78%,49.43 113.91
45,QUBT,Quantum Computing Inc.,,20.81 +1.79 (+9.41%),1.79,+9.41%,21.196M,28.08M,4.659B,--,"+2,522.76%",0.70 27.15
46,HMY,Harmony Gold Mining Company Limited,,19.98 +1.71 (+9.36%),1.71,+9.36%,2.837M,5.306M,12.792B,15.02,+86.81%,7.97 20.00
47,BBAR,Banco BBVA Argentina S.A.,,10.05 +0.86 (+9.37%),0.86,+9.37%,1.022M,1.083M,2.193B,10.26,-23.54%,7.76 25.01
48,SOUN,"SoundHound AI, Inc.",,18.98 +1.62 (+9.32%),1.62,+9.32%,35.764M,60.663M,7.736B,--,+234.49%,4.86 24.98
49,AMSC,American Superconductor Corporation,,61.50 +5.26 (+9.35%),5.26,+9.35%,462722,1.172M,2.777B,153.75,+136.20%,13.98 65.70
50,MKSI,MKS Inc.,,132.22 +10.96 (+9.04%),10.96,+9.04%,364792,1.193M,8.88B,33.47,+7.66%,54.84 142.20
51,ENVX,Enovix Corporation,,13.18 +1.11 (+9.20%),1.11,+9.20%,6.672M,8.271M,2.869B,--,-5.78%,5.27 16.49
52,APLD,Applied Digital Corporation,,37.18 +3.19 (+9.39%),3.19,+9.39%,33.133M,32.179M,10.399B,--,+350.20%,3.31 39.33
53,HL,Hecla Mining Company,,13.67 +1.13 (+9.01%),1.13,+9.01%,10.596M,24.985M,9.159B,85.44,+91.45%,4.46 13.84
54,YELP,Yelp Inc.,,33.01 +2.74 (+9.04%),2.74,+9.04%,724313,860559,2.081B,15.14,-12.13%,29.96 41.72
55,HUT,Hut 8 Corp.,,47.41 +3.84 (+8.81%),3.84,+8.81%,4.111M,5.686M,5.003B,33.15,+257.72%,10.04 51.30
56,CENX,Century Aluminum Company,,33.01 +2.72 (+8.98%),2.72,+8.98%,834575,1.745M,3.081B,27.51,+73.98%,13.05 33.04
57,ARM,Arm Holdings plc,,168.80 +13.93 (+9.00%),13.93,+9.00%,3.828M,4.899M,178.804B,251.94,-4.33%,80.00 182.88
58,MARA,"MARA Holdings, Inc.",,20.29 +1.66 (+8.88%),1.66,+8.88%,24.785M,56.688M,7.517B,10.91,+9.84%,9.81 30.28
59,MPWR,"Monolithic Power Systems, Inc.",,984.55 +80.11 (+8.86%),80.11,+8.86%,280383,552071,47.152B,25.73,-4.11%,438.86 990.25
60,BBY,"Best Buy Co., Inc.",,76.63 +6.20 (+8.80%),6.2,+8.80%,1.828M,3.401M,16.1B,21.11,-27.32%,54.99 99.80
61,ON,ON Semiconductor Corporation,,49.63 +3.89 (+8.52%),3.89,+8.52%,4.059M,8.697M,20.299B,47.27,-37.16%,31.04 76.06
62,CDE,"Coeur Mining, Inc.",,21.24 +1.68 (+8.59%),1.68,+8.59%,6.9M,14.511M,13.651B,53.10,+204.20%,4.58 21.80
63,SBSW,Sibanye Stillwater Limited,,11.89 +0.94 (+8.54%),0.94,+8.54%,5.047M,8.682M,8.789B,--,+171.71%,3.05 12.37
64,SYM,Symbotic Inc.,,69.30 +5.51 (+8.63%),5.51,+8.63%,1.12M,2.228M,40.921B,--,+122.47%,16.32 72.11
65,BTDR,Bitdeer Technologies Group,,19.24 +1.45 (+8.18%),1.45,+8.18%,3.299M,4.94M,4.114B,--,+118.70%,6.84 26.99
66,ONTO,Onto Innovation Inc.,,131.63 +10.29 (+8.48%),10.29,+8.48%,652328,1.432M,6.45B,32.58,-46.06%,85.88 228.42
67,PII,Polaris Inc.,,60.97 +4.67 (+8.29%),4.67,+8.29%,462879,1.411M,3.428B,--,-30.78%,30.92 84.08
68,OLN,Olin Corporation,,24.11 +1.83 (+8.21%),1.83,+8.21%,905147,2.665M,2.764B,--,-53.13%,17.66 48.00
69,GDS,GDS Holdings Limited,,36.09 +2.78 (+8.35%),2.78,+8.35%,1.192M,2.838M,7.697B,164.05,+49.98%,16.93 52.50
70,CAMT,Camtek Ltd.,,119.06 +9.01 (+8.19%),9.01,+8.19%,267052,468395,5.441B,43.77,+25.61%,47.41 120.26
71,FRMI,Fermi Inc.,,31.25 +2.17 (+7.45%),2.17,+7.45%,3.525M,13.408M,18.674B,--,-10.61%,24.30 36.99
72,CC,The Chemours Company,,13.55 +1.00 (+7.97%),1.0,+7.97%,1.409M,3.517M,2.028B,--,-37.12%,9.13 22.38
73,CRDO,Credo Technology Group Holding Ltd,,150.22 +11.39 (+8.20%),11.39,+8.20%,3.105M,5.18M,25.987B,208.64,+263.91%,29.09 176.70
74,TSM,Taiwan Semiconductor Manufacturing Company Limited,,302.88 +22.22 (+7.92%),22.22,+7.92%,12.771M,11.893M,1.571T,33.21,+46.02%,134.25 307.30
75,PONY,Pony AI Inc.,,21.89 +1.60 (+7.89%),1.6,+7.89%,3.617M,8.068M,7.777B,--,+69.08%,4.11 24.92
76,RMBS,Rambus Inc.,,96.67 +7.10 (+7.92%),7.1,+7.92%,861428,1.883M,10.401B,45.81,+98.78%,40.12 109.15
77,SA,Seabridge Gold Inc.,,26.42 +1.87 (+7.60%),1.87,+7.60%,692320,1.23M,2.698B,--,+43.57%,9.40 26.47
78,PAAS,Pan American Silver Corp.,,41.46 +2.96 (+7.68%),2.96,+7.68%,3.769M,5.899M,17.494B,28.59,+74.76%,19.80 41.47
79,FIVE,"Five Below, Inc.",,148.93 +10.43 (+7.53%),10.43,+7.53%,904849,1.299M,8.213B,30.15,+53.06%,52.38 157.54
80,ASTS,"AST SpaceMobile, Inc.",,88.24 +6.21 (+7.57%),6.21,+7.57%,6.191M,12.039M,31.896B,--,+226.55%,17.50 91.41
81,AMKR,"Amkor Technology, Inc.",,30.36 +2.10 (+7.43%),2.1,+7.43%,1.163M,2.41M,7.503B,24.89,-10.60%,14.03 33.54
82,DKS,"DICK'S Sporting Goods, Inc.",,227.34 +15.76 (+7.45%),15.76,+7.45%,785415,1.598M,20.387B,15.88,+3.26%,166.37 254.60
83,GEV,GE Vernova Inc.,,649.02 +44.46 (+7.35%),44.46,+7.35%,1.513M,2.711M,176.679B,157.91,+124.33%,252.25 677.29
84,VICR,Vicor Corporation,,51.94 +3.38 (+6.96%),3.38,+6.96%,97675,369082,2.333B,35.58,+16.73%,38.92 65.70
85,BOOT,"Boot Barn Holdings, Inc.",,175.75 +11.93 (+7.28%),11.93,+7.28%,139793,569573,5.37B,27.63,+1.34%,86.17 191.31
86,ACMR,"ACM Research, Inc.",,39.21 +2.62 (+7.15%),2.62,+7.15%,443295,1.721M,2.516B,23.62,+71.54%,13.87 45.12
87,CGNX,Cognex Corporation,,43.72 +2.94 (+7.21%),2.94,+7.21%,746851,2.014M,7.341B,60.72,+1.57%,22.67 47.52
88,IESC,"IES Holdings, Inc.",,387.49 +25.93 (+7.17%),25.93,+7.17%,66228,147750,7.693B,29.60,+58.55%,146.51 405.00
89,MTSI,"MACOM Technology Solutions Holdings, Inc.",,130.89 +8.71 (+7.13%),8.71,+7.13%,263866,891806,9.748B,--,+4.75%,84.00 152.50
90,PAM,Pampa Energía S.A.,,68.01 +4.55 (+7.16%),4.55,+7.16%,94190,343648,3.934B,8.24,-2.19%,54.95 97.55
91,CCJ,Cameco Corporation,,92.83 +6.18 (+7.13%),6.18,+7.13%,3.866M,4.522M,40.417B,105.49,+67.02%,35.00 94.36
92,BURL,"Burlington Stores, Inc.",,272.87 +18.35 (+7.21%),18.35,+7.21%,627567,970812,17.2B,32.18,+1.32%,212.92 309.00
93,ERO,Ero Copper Corp.,,22.84 +1.50 (+7.03%),1.5,+7.03%,432043,811056,2.366B,16.55,+3.34%,9.30 24.02
94,BROS,Dutch Bros Inc.,,52.32 +3.44 (+7.04%),3.44,+7.04%,3.261M,3.748M,8.608B,113.74,+42.76%,32.46 86.88
95,NIO,NIO Inc.,,7.16 +0.45 (+6.78%),0.45,+6.78%,46.662M,85.714M,19.542B,--,+15.89%,3.02 8.02
96,ASO,"Academy Sports and Outdoors, Inc.",,52.69 +3.31 (+6.71%),3.31,+6.71%,811893,1.63M,3.511B,9.91,-7.92%,33.34 61.25
97,FORM,"FormFactor, Inc.",,40.77 +2.63 (+6.90%),2.63,+6.90%,346833,881250,3.144B,71.53,-21.72%,22.58 50.79
98,LEU,Centrus Energy Corp.,,398.69 +34.98 (+9.62%),34.98,+9.62%,1.399M,1.424M,7.259B,64.51,+515.21%,49.40 430.00
99,AEIS,"Advanced Energy Industries, Inc.",,180.87 +11.25 (+6.63%),11.25,+6.63%,145477,408962,6.822B,80.03,+52.67%,75.01 183.93
100,AG,First Majestic Silver Corp.,,14.13 +0.89 (+6.72%),0.89,+6.72%,12.783M,20.166M,6.924B,--,+102.76%,5.09 14.73
101,DIOD,Diodes Incorporated,,51.56 +3.19 (+6.60%),3.19,+6.60%,172952,439982,2.395B,37.64,-25.98%,32.93 67.40
102,LITE,Lumentum Holdings Inc.,,159.49 +9.88 (+6.60%),9.88,+6.60%,1.27M,3.274M,11.31B,431.05,+116.11%,45.65 178.49
103,SCCO,Southern Copper Corporation,,133.15 +8.05 (+6.43%),8.05,+6.43%,864005,1.574M,108.143B,29.92,+9.09%,73.44 136.50
104,PKX,POSCO Holdings Inc.,,48.10 +2.97 (+6.58%),2.97,+6.58%,63344,130600,14.891B,40.08,-32.26%,39.40 67.54
105,SMMT,Summit Therapeutics Inc.,,22.78 +1.43 (+6.70%),1.43,+6.70%,3.811M,3.741M,16.922B,--,+5.43%,15.55 36.91
106,VSH,"Vishay Intertechnology, Inc.",,15.62 +0.96 (+6.55%),0.96,+6.55%,394045,1.544M,2.118B,--,-20.28%,10.35 20.15
107,VST,Vistra Corp.,,209.53 +12.67 (+6.43%),12.67,+6.43%,2.276M,4.666M,70.992B,33.69,+48.84%,90.51 219.82
108,TLN,Talen Energy Corporation,,439.45 +26.62 (+6.45%),26.62,+6.45%,370593,1.101M,20.076B,113.26,+147.78%,158.08 451.28
109,NTSK,"Netskope, Inc.",,23.16 +1.41 (+6.49%),1.41,+6.49%,1.368M,5.705M,8.848B,--,-3.29%,21.00 27.99
110,NAMS,NewAmsterdam Pharma Company N.V.,,39.46 +2.41 (+6.49%),2.41,+6.49%,1.368M,922851,4.444B,--,+93.37%,14.06 39.59
111,ARMN,Aris Mining Corporation,,10.74 +0.67 (+6.65%),0.67,+6.65%,279017,1.743M,2.174B,358.00,+123.78%,3.29 10.94
112,GFI,Gold Fields Limited,,43.60 +2.60 (+6.34%),2.6,+6.34%,2.046M,3.311M,39.486B,20.86,+162.82%,12.98 43.68
113,MCHP,Microchip Technology Incorporated,,64.15 +3.74 (+6.20%),3.74,+6.20%,2.048M,8.179M,34.623B,--,-23.52%,34.13 79.44
114,AAP,"Advance Auto Parts, Inc.",,52.64 +3.16 (+6.39%),3.16,+6.39%,919186,1.989M,3.158B,--,+25.36%,28.89 70.00
115,IAG,IAMGOLD Corporation,,13.48 +0.78 (+6.18%),0.78,+6.18%,5.465M,13.985M,7.755B,9.43,+166.25%,4.64 13.99
116,FLR,Fluor Corporation,,46.72 +2.74 (+6.23%),2.74,+6.23%,1.847M,4.03M,7.553B,1.93,-14.78%,29.20 60.10
117,VRT,Vertiv Holdings Co,,179.47 +10.46 (+6.19%),10.46,+6.19%,6.639M,7.272M,68.534B,85.46,+50.35%,53.60 184.44
118,SEDG,"SolarEdge Technologies, Inc.",,37.32 +2.26 (+6.45%),2.26,+6.45%,1.691M,4.432M,2.216B,--,+86.19%,10.24 41.92
119,MTRN,Materion Corporation,,125.57 +7.47 (+6.33%),7.47,+6.33%,51609,189375,2.603B,163.08,+11.67%,69.10 130.00
120,MBLY,Mobileye Global Inc.,,15.11 +0.88 (+6.14%),0.88,+6.14%,3.327M,5.95M,12.3B,--,+9.88%,11.12 22.51
121,MUR,Murphy Oil Corporation,,28.39 +1.62 (+6.05%),1.62,+6.05%,919600,2.32M,4.052B,14.56,-24.57%,18.95 35.69
122,RGC,Regencell Bioscience Holdings Limited,,17.83 +1.02 (+6.07%),1.02,+6.07%,165181,377731,8.817B,--,"+11,368.22%",0.09 83.60
123,KC,Kingsoft Cloud Holdings Limited,,13.38 +0.75 (+5.93%),0.75,+5.93%,1.208M,2.235M,4.334B,--,+329.59%,2.57 22.26
124,HPQ,HP Inc.,,27.09 +1.54 (+6.03%),1.54,+6.03%,4.213M,9.062M,25.321B,9.85,-31.76%,21.21 39.80
125,SITM,SiTime Corporation,,293.75 +16.10 (+5.80%),16.1,+5.80%,113686,361415,7.639B,--,+49.97%,105.40 323.66
126,MANU,Manchester United plc,,16.91 +0.95 (+5.95%),0.95,+5.95%,280631,292601,2.916B,--,-2.09%,12.05 19.65
127,STRL,"Sterling Infrastructure, Inc.",,356.54 +19.90 (+5.91%),19.9,+5.91%,141924,513206,10.947B,38.80,+110.83%,96.34 376.75
128,ECG,"Everus Construction Group, Inc.",,87.74 +4.89 (+5.90%),4.89,+5.90%,147825,526857,4.475B,27.00,+69.08%,31.38 90.00
129,SARO,"StandardAero, Inc.",,27.86 +1.44 (+5.45%),1.44,+5.45%,1.757M,1.691M,9.318B,69.65,-16.66%,21.31 33.00
130,MIR,"Mirion Technologies, Inc.",,24.49 +1.37 (+5.92%),1.37,+5.92%,1.206M,4.648M,6.133B,489.78,+70.25%,12.00 25.16
131,SQM,Sociedad Química y Minera de Chile S.A.,,43.17 +2.40 (+5.89%),2.4,+5.89%,659119,1.514M,13.023B,25.85,+1.29%,29.36 47.51
132,ALGM,"Allegro MicroSystems, Inc.",,27.39 +1.47 (+5.67%),1.47,+5.67%,432392,1.711M,5.068B,--,+20.06%,16.38 38.45
133,PL,Planet Labs PBC,,15.58 +0.88 (+5.99%),0.88,+5.99%,6.454M,11.403M,4.797B,--,+547.58%,2.19 16.78
134,PPTA,Perpetua Resources Corp.,,27.25 +1.46 (+5.66%),1.46,+5.66%,2.73M,2.649M,2.931B,--,+177.31%,7.81 28.32
135,EL,The Estée Lauder Companies Inc.,,92.65 +5.00 (+5.71%),5.0,+5.71%,1.914M,3.536M,33.389B,--,-7.19%,48.37 96.50
136,NGD,New Gold Inc.,,7.23 +0.39 (+5.70%),0.39,+5.70%,7.169M,15.821M,5.724B,36.15,+140.00%,2.43 7.59
137,TEO,Telecom Argentina S.A.,,7.95 +0.47 (+6.21%),0.47,+6.21%,113234,256145,3.661B,--,-4.10%,6.43 15.54
138,YPF,YPF Sociedad Anónima,,27.94 +1.52 (+5.77%),1.52,+5.77%,1.22M,2.283M,11.357B,9.01,+4.63%,22.82 47.43
139,EGO,Eldorado Gold Corporation,,29.18 +1.58 (+5.74%),1.58,+5.74%,776174,1.974M,5.93B,14.38,+55.76%,13.29 30.00
140,SIG,Signet Jewelers Limited,,97.59 +5.28 (+5.72%),5.28,+5.72%,273072,899250,3.996B,33.19,-5.40%,45.55 106.28
141,HSAI,Hesai Group,,23.31 +1.26 (+5.69%),1.26,+5.69%,1.528M,3.204M,3.987B,211.86,+362.26%,4.02 30.85
142,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,131.56 +6.96 (+5.59%),6.96,+5.59%,295840,1.059M,8.066B,38.13,+31.64%,86.88 141.74
143,FCX,Freeport-McMoRan Inc.,,43.21 +2.33 (+5.70%),2.33,+5.70%,7.738M,18.764M,62.04B,32.73,-16.33%,27.66 50.12
144,SYNA,Synaptics Incorporated,,65.50 +3.48 (+5.62%),3.48,+5.62%,107927,412196,2.558B,--,-16.68%,41.80 89.81
145,AGI,Alamos Gold Inc.,,34.94 +1.90 (+5.73%),1.9,+5.73%,1.375M,3.755M,14.692B,42.62,+68.28%,17.43 35.61
146,NVMI,Nova Ltd.,,320.00 +17.72 (+5.86%),17.72,+5.86%,160236,395667,9.489B,43.42,+36.43%,154.00 336.96
147,HBM,Hudbay Minerals Inc.,,17.50 +0.93 (+5.64%),0.93,+5.64%,3.556M,7.334M,6.926B,23.98,+81.49%,5.95 17.65
148,STM,STMicroelectronics N.V.,,28.60 +1.49 (+5.51%),1.49,+5.51%,2.047M,6.918M,27.036B,60.86,-4.31%,17.25 33.47
149,BTU,Peabody Energy Corporation,,32.60 +1.72 (+5.55%),1.72,+5.55%,4.064M,5.409M,3.965B,29.91,+15.48%,9.61 33.29
150,DJTWW,Trump Media & Technology Group Corp.,,7.65 +0.40 (+5.52%),0.4,+5.52%,18045,0,2.443B,--,-2.97%,7.26 44.83
151,BMA,Banco Macro S.A.,,54.37 +3.37 (+6.61%),3.37,+6.61%,198385,609034,3.49B,13.10,-31.25%,38.30 118.42
152,ORCL,Oracle Corporation,,308.80 +15.84 (+5.41%),15.84,+5.41%,13.914M,20.408M,880.335B,71.65,+66.34%,118.86 345.72
153,AAUC,Allied Gold Corporation,,18.70 +0.97 (+5.50%),0.97,+5.50%,56989,174493,2.159B,--,+142.25%,6.37 19.18
154,BABA,Alibaba Group Holding Limited,,167.65 +8.65 (+5.44%),8.65,+5.44%,17.04M,19.033M,415.724B,19.34,+47.49%,80.06 192.67
155,VSAT,"Viasat, Inc.",,34.42 +1.80 (+5.52%),1.8,+5.52%,828635,3.868M,4.621B,--,+198.44%,6.69 36.22
156,NBIS,Nebius Group N.V.,,136.96 +7.38 (+5.70%),7.38,+5.70%,9.027M,16.827M,34.174B,180.21,+547.90%,14.09 141.10
157,SLAB,Silicon Laboratories Inc.,,128.77 +6.59 (+5.40%),6.59,+5.40%,56879,315912,4.226B,--,+4.93%,82.82 160.00
158,CLF,Cleveland-Cliffs Inc.,,13.89 +0.71 (+5.39%),0.71,+5.39%,23.606M,23.504M,6.871B,--,+1.00%,5.63 14.51
159,UMC,United Microelectronics Corporation,,7.57 +0.39 (+5.36%),0.39,+5.36%,3.152M,6.861M,19.765B,13.75,-12.22%,5.61 8.33
160,BZ,Kanzhun Limited,,22.84 +1.16 (+5.35%),1.16,+5.35%,1.038M,3.83M,11.299B,34.09,+34.66%,12.17 25.26
161,ORLA,Orla Mining Ltd.,,11.59 +0.58 (+5.26%),0.58,+5.26%,516583,2.203M,3.776B,165.56,+141.98%,3.81 12.91
162,FUTU,Futu Holdings Limited,,162.82 +8.22 (+5.32%),8.22,+5.32%,1.615M,2.513M,22.669B,22.52,+45.37%,70.60 199.86
163,ASX,"ASE Technology Holding Co., Ltd.",,11.66 +0.59 (+5.28%),0.59,+5.28%,2.277M,6.816M,26.824B,23.81,+9.06%,6.94 11.90
164,KTB,"Kontoor Brands, Inc.",,78.21 +3.88 (+5.23%),3.88,+5.23%,135594,714487,4.347B,17.50,-9.33%,50.00 96.80
165,JD,"JD.com, Inc.",,33.49 +1.64 (+5.16%),1.64,+5.16%,13.123M,15.321M,51.654B,9.33,-27.84%,29.90 46.45
166,WRD,WeRide Inc.,,10.70 +0.53 (+5.19%),0.53,+5.19%,3.921M,7.414M,3.044B,--,-38.55%,6.03 44.00
167,FN,Fabrinet,,380.52 +18.58 (+5.13%),18.58,+5.13%,133603,647217,13.596B,41.54,+36.62%,148.55 397.26
168,ST,Sensata Technologies Holding plc,,30.50 +1.47 (+5.05%),1.47,+5.05%,437118,1.521M,4.441B,40.66,-20.44%,17.32 36.64
169,MNSO,MINISO Group Holding Limited,,22.34 +1.09 (+5.13%),1.09,+5.13%,735054,985370,7.231B,21.08,+16.12%,13.95 27.71
170,SMTC,Semtech Corporation,,68.50 +3.24 (+4.96%),3.24,+4.96%,552398,1.862M,5.944B,108.73,+43.81%,24.05 79.52
171,SSRM,SSR Mining Inc.,,23.58 +1.14 (+5.10%),1.14,+5.10%,880579,3.445M,4.783B,30.24,+290.94%,5.06 25.09
172,SGHC,Super Group (SGHC) Limited,,13.66 +0.67 (+5.12%),0.67,+5.12%,874634,2.62M,6.905B,52.52,+222.33%,3.96 14.38
173,CROX,"Crocs, Inc.",,80.70 +4.00 (+5.22%),4.0,+5.22%,540382,2.176M,4.408B,21.93,-44.99%,73.76 144.23
174,CIEN,Ciena Corporation,,164.08 +8.14 (+5.22%),8.14,+5.22%,1.202M,2.418M,23.191B,167.43,+130.24%,49.21 165.24
175,NVT,nVent Electric plc,,100.86 +4.88 (+5.08%),4.88,+5.08%,659983,1.92M,16.233B,65.49,+27.77%,41.71 101.77
176,JOBY,"Joby Aviation, Inc.",,17.10 +0.82 (+5.04%),0.82,+5.04%,19.144M,39.639M,15.237B,--,+193.86%,4.80 20.95
177,AEO,"American Eagle Outfitters, Inc.",,15.03 +0.72 (+5.07%),0.72,+5.07%,3.144M,14.704M,2.546B,14.74,-30.90%,9.27 21.74
178,CRK,"Comstock Resources, Inc.",,19.35 +0.93 (+5.05%),0.93,+5.05%,1.041M,2.663M,5.671B,--,+55.57%,11.05 31.17
179,EQX,Equinox Gold Corp.,,12.23 +0.59 (+5.02%),0.59,+5.02%,6.431M,15.662M,9.565B,--,+97.79%,4.95 12.35
