,Unnamed: 0,Volume,Last,Chg,% Chg
0,Galecto Inc. (GLTO),77.4M,17.92,14.21,383.02
1,Trilogy Metals Inc. (TMQ),212.4M,6.5,4.41,211.0
2,C3is Inc. (CISS),93.5M,4.07,1.86,84.16
3,BTQ Technologies Corp. (BTQ),27.8M,13.79,4.69,51.54
4,Agroz Inc. (AGRZ),1.0M,4.31,1.27,42.01
5,Phoenix Asia Holdings Ltd. (PHOE),60.5K,16.8,4.95,41.77
6,Spruce Biosciences Inc. (SPRB),2.1M,182.6,52.2,40.03
7,NuCana PLC ADR (NCNA),2.7M,7.02,1.94,38.19
8,NextNRG Inc. (NXXT),6.6M,2.82,0.75,36.23
9,Xenetic Biosciences Inc. (XBIO),290.5K,4.29,1.05,32.44
10,Velo3D Inc. (VELO),2.0M,5.09,1.15,29.19
11,Lexeo Therapeutics Inc. (LXEO),9.6M,8.34,1.87,28.9
12,Anixa Biosciences Inc. (ANIX),1.1M,4.11,0.86,26.46
13,Biodexa Pharmaceuticals PLC ADR (BDRX),136.9K,8.28,1.65,24.89
14,POET Technologies Inc. (POET),40.9M,7.88,1.5,23.51
15,eGain Corp. (EGAN),1.9M,12.92,2.44,23.28
16,Diginex Ltd. (DGNX),1.4M,24.2,4.4,22.22
17,Datavault AI Inc. (DVLT),173.3M,2.53,0.45,21.63
18,Chemomab Therapeutics Ltd. ADR (CMMB),1.5M,3.48,0.61,21.43
19,TMC the metals company Inc. (TMC),34.0M,9.28,1.56,20.21
20,BioHarvest Sciences Inc. (BHST),308.3K,11.67,1.82,18.48
21,Vyome Holdings Inc. (HIND),429.3K,6.21,0.96,18.29
22,Alaunos Therapeutics Inc. (TCRT),274.1K,3.0,0.46,18.11
23,Bolt Biotherapeutics Inc. (BOLT),111.8K,6.2,0.94,17.87
24,PMGC Holdings Inc. (ELAB),1.3M,6.34,0.93,17.19
25,TryHard Holdings Ltd. (THH),1.9M,7.42,1.07,16.85
26,Regencell Bioscience Holdings Ltd. (RGC),837.6K,20.05,2.8,16.23
27,Q32 Bio Inc. (QTTB),1.9M,2.52,0.35,16.13
28,Indaptus Therapeutics Inc. (INDP),6.0M,3.69,0.5,15.67
29,Cumberland Pharmaceuticals Inc. (CPIX),79.3K,3.56,0.47,15.21
30,Salarius Pharmaceuticals Inc. (SLRX),1.3M,4.52,0.59,15.01
31,Lithium Argentina AG (LAR),12.0M,5.07,0.65,14.71
32,Adagio Medical Holdings Inc. (ADGM),136.4K,2.36,0.3,14.56
33,TruGolf Holdings Inc. (TRUG),564.1K,2.68,0.33,14.04
34,Churchill Capital Corp. X Cl A (CCCX),12.9M,18.23,2.24,14.01
35,Draganfly Inc. (DPRO),7.0M,10.64,1.28,13.68
36,Hyliion Holdings Corp. (HYLN),3.9M,2.34,0.27,13.04
37,Greenwave Technology Solutions Inc. (GWAV),841.1K,7.77,0.88,12.77
38,Nyxoah S.A. (NYXH),315.9K,6.52,0.72,12.41
39,Quantum Corp. (QMCO),9.1M,13.35,1.44,12.09
40,Immix Biopharma Inc. (IMMX),1.8M,2.51,0.27,11.8
41,Atara Biotherapeutics Inc. (ATRA),115.6K,15.63,1.65,11.8
42,Nvni Group Ltd. (NVNI),1.2M,3.51,0.37,11.78
43,Profound Medical Corp. (PROF),191.4K,6.46,0.68,11.76
44,Wallbox N.V. (WBX),110.2K,6.33,0.66,11.64
45,Korro Bio Inc. (KRRO),229.4K,48.77,5.07,11.6
46,SES AI Corp. (SES),45.2M,2.71,0.28,11.52
47,Traws Pharma Inc. (TRAW),342.9K,2.5,0.26,11.36
48,HIVE Digital Technologies Ltd. (HIVE),81.9M,6.2,0.63,11.31
49,DevvStream Corp. (DEVS),199.2K,2.37,0.24,11.27
50,Nuwellis Inc. (NUWE),263.2K,3.92,0.39,11.05
51,CCH Holdings Ltd. (CCHH),568.6K,4.13,0.41,11.02
52,N2OFF Inc. (NITO),5.7M,4.66,0.46,10.95
53,Urgent.ly Inc. (ULY),18.1M,3.46,0.34,10.9
54,Dyne Therapeutics Inc. (DYN),3.2M,13.95,1.3,10.28
55,QuickLogic Corp. (QUIK),564.5K,6.68,0.62,10.23
56,Odyssey Marine Exploration Inc. (OMEX),7.6M,2.92,0.26,9.77
57,Onconetix Inc. (ONCO),247.3K,3.37,0.3,9.77
58,Metagenomi Inc. (MGX),1.7M,2.95,0.26,9.67
59,NeoVolta Inc. (NEOV),719.5K,5.72,0.5,9.58
60,NRX Pharmaceuticals Inc. (NRXP),651.0K,3.67,0.32,9.55
61,uniQure N.V. (QURE),4.6M,57.92,5.01,9.47
62,Alumis Inc. (ALMS),1.7M,4.51,0.39,9.47
63,Pineapple Financial Inc. (PAPL),301.4K,5.7,0.49,9.4
64,Anfield Energy Inc. (AEC),323.1K,9.39,0.8,9.31
65,Solid Power Inc. (SLDP),26.7M,6.3,0.53,9.19
66,Claritev Corp. (CTEV),177.3K,55.63,4.63,9.08
67,Universe Pharmaceuticals Inc. (UPC),1.1M,5.17,0.43,9.07
68,VirTra Inc. (VTSI),109.7K,6.1,0.5,8.93
69,Future FinTech Group Inc. (FTFT),252.6K,2.32,0.19,8.92
70,Solowin Holdings Cl A (SWIN),1.8M,3.19,0.26,8.87
71,Austin Gold Corp. (AUST),271.3K,2.22,0.18,8.82
72,GrafTech International Ltd. (EAF),354.3K,16.58,1.33,8.72
73,Tile Shop Holdings Inc. (TTSH),775.9K,6.29,0.5,8.64
74,ZK International Group Co. Ltd. (ZKIN),58.6K,2.77,0.22,8.63
75,Emergent Biosolutions Inc. (EBS),1.6M,9.92,0.78,8.53
76,CEA Industries Inc. (BNC),3.1M,10.2,0.8,8.51
77,Veru Inc. (VERU),214.1K,4.35,0.34,8.48
78,Blue Gold Ltd. (BGL),190.9K,10.75,0.84,8.48
79,Brilliant Earth Group Inc. Cl A (BRLT),192.4K,2.19,0.17,8.42
80,TSS Inc. (TSSI),5.0M,19.47,1.51,8.41
81,Scilex Holding Co. (SCLX),489.3K,18.23,1.41,8.38
82,Cellectis S.A. ADR (CLLS),193.4K,3.82,0.29,8.22
83,Coda Octopus Group Inc. (CODA),148.9K,9.24,0.7,8.2
84,James Hardie Industries PLC (JHX),14.1M,21.72,1.63,8.11
85,Tian Ruixiang Holdings Ltd. (TIRX),1.1M,2.4,0.17,7.88
86,MIND Technology Inc. (MIND),270.7K,9.32,0.68,7.87
87,Cadiz Inc. (CDZI),1.2M,5.22,0.38,7.85
88,Energy Services of America Corp. (ESOA),238.0K,11.05,0.8,7.8
89,Aytu BioPharma Inc. (AYTU),822.2K,2.36,0.17,7.76
90,AppLovin Corp. (APP),11.8M,631.85,44.85,7.64
91,U.S. GoldMining Inc. (USGO),182.4K,14.38,1.02,7.63
92,United States Antimony Corp. (UAMY),20.4M,8.7,0.61,7.54
93,Galectin Therapeutics Inc. (GALT),441.1K,4.77,0.33,7.43
94,USA Rare Earth Inc. (USAR),21.5M,28.27,1.95,7.41
95,Richtech Robotics Inc. Cl B (RR),86.8M,7.06,0.48,7.29
96,MoonLake Immunotherapeutics (MLTX),14.8M,9.28,0.62,7.16
97,DBV Technologies S.A. ADR (DBVT),207.5K,14.24,0.95,7.15
98,Digital Turbine Inc. (APPS),4.4M,7.0,0.46,7.03
99,DEFSEC Technologies Inc. (DFSC),92.2K,4.42,0.29,7.02
