,Unnamed: 0,Volume,Last,Chg,% Chg
0,Artiva Biotherapeutics Inc. (ARTV),63.7M,5.96,3.19,115.34
1,VirnetX Holding Corp. (VHC),2.0M,25.79,8.79,51.71
2,Kezar Life Sciences Inc. (KZR),4.5M,6.13,1.96,47.01
3,Carbon Revolution PLC (CREV),24.0M,4.92,1.2,32.08
4,Achieve Life Sciences Inc. (ACHV),13.3M,4.04,0.96,31.16
5,Sight Sciences Inc. (SGHT),951.9K,4.37,0.92,26.67
6,Rekor Systems Inc. (REKR),17.4M,3.19,0.59,22.69
7,Disc Medicine Inc. (IRON),1.6M,90.9,16.54,22.24
8,Apollomics Inc. (APLM),99.8K,38.99,7.01,21.92
9,Liberty Energy Inc. (LBRT),13.1M,14.54,2.6,21.78
10,a.k.a. Brands Holding Corp. (AKA),60.4K,15.55,2.69,20.92
11,LEIFRAS Co. Ltd. ADR (LFS),203.3K,4.06,0.66,19.41
12,Digi Power X Inc. (DGXX),4.8M,4.16,0.58,16.39
13,ESS Tech Inc. (GWH),26.2M,5.29,0.74,16.26
14,Eledon Pharmaceuticals Inc. (ELDN),1.2M,3.31,0.46,16.14
15,Quoin Pharmaceuticals Ltd. ADR (QNRX),101.2K,15.68,2.14,15.81
16,Aureus Greenway Holdings Inc. (AGH),250.3K,5.78,0.78,15.47
17,New Era Energy & Digital Inc. (NUAI),14.2M,3.64,0.48,15.4
18,Praxis Precision Medicines Inc. (PRAX),2.9M,187.73,25.02,15.38
19,Solidion Technology Inc. (STI),1.7M,20.72,2.7,14.98
20,Akanda Corp. (AKAN),14.4M,2.56,0.33,14.8
21,Odyssey Marine Exploration Inc. (OMEX),3.0M,3.72,0.47,14.46
22,SCHMID Group N.V. (SHMD),51.8K,4.11,0.48,13.22
23,Sify Technologies Ltd. ADR (SIFY),252.1K,13.22,1.46,12.41
24,Skillsoft Corp. (SKIL),100.3K,16.69,1.82,12.27
25,Indaptus Therapeutics Inc. (INDP),141.4K,3.81,0.38,11.01
26,Revolution Medicines Inc. (RVMD),2.2M,54.68,5.0,10.06
27,Safe Pro Group Inc. (SPAI),894.8K,8.28,0.76,10.03
28,Society Pass Inc. (SOPA),282.6K,2.76,0.24,9.72
29,Mega Fortune Co. Ltd. (MGRT),287.6K,4.75,0.41,9.45
30,Pro-Dex Inc. (PDEX),151.0K,26.1,2.19,9.18
31,C3is Inc. (CISS),1.8M,2.26,0.19,9.06
32,Kenvue Inc. (KVUE),28.9M,15.28,1.18,8.33
33,FTAI Infrastructure Inc. (FIP),1.8M,5.86,0.45,8.32
34,SEALSQ Corp. (LAES),49.8M,6.89,0.53,8.3
35,NexGel Inc. (NXGL),101.7K,2.55,0.19,8.05
36,Terra Innovatum Global N.V. (NKLR),2.2M,13.76,0.98,7.71
37,Entero Therapeutics Inc. (ENTO),159.3K,5.26,0.38,7.67
38,Black Titan Corp. (BTTC),265.6K,5.25,0.36,7.36
39,Better Home & Finance Holding Co. (BETR),316.3K,61.69,4.08,7.08
40,Linkhome Holdings Inc. (LHAI),156.3K,10.77,0.7,6.96
41,Nektar Therapeutics (NKTR),368.6K,58.76,3.79,6.91
42,ProPetro Holding Corp. (PUMP),962.1K,5.47,0.35,6.84
43,Insight Molecular Diagnostics Inc. (IMDX),69.8K,4.94,0.32,6.81
44,BTQ Technologies Corp. (BTQ),6.0M,11.9,0.74,6.63
45,MDJM Ltd. (UOKA),62.3K,3.38,0.21,6.62
46,enGene Holdings Inc. (ENGN),193.8K,9.38,0.57,6.53
47,Precigen Inc. (PGEN),3.7M,3.72,0.23,6.48
48,Safe & Green Holdings Corp. (SGBX),20.0M,3.28,0.2,6.33
49,AGM Group Holdings Inc. (AGMH),115.2K,4.9,0.29,6.29
50,American Express Co. (AXP),3.1M,343.06,19.94,6.17
51,TryHard Holdings Ltd. (THH),1.8M,8.18,0.47,6.1
52,TechCreate Group Ltd. (TCGL),51.1K,4.36,0.25,6.08
53,Korea Electric Power Corp. ADR (KEP),319.2K,15.22,0.85,5.92
54,Owens & Minor Inc. (OMI),826.3K,4.86,0.27,5.77
55,Nouveau Monde Graphite Inc. (NMG),1.2M,3.46,0.18,5.56
56,Immix Biopharma Inc. (IMMX),314.2K,2.85,0.15,5.56
57,AppFolio Inc. (APPF),136.9K,235.66,12.36,5.53
58,National CineMedia Inc. (NCMI),231.3K,4.32,0.23,5.5
59,Synergy CHC Corp. (SNYR),94.2K,2.5,0.13,5.49
60,Lazydays Holdings Inc. (GORV),58.4K,2.22,0.12,5.48
61,Banzai International Inc. (BNZI),127.3K,2.9,0.15,5.45
62,CVRx Inc. (CVRX),164.4K,10.02,0.52,5.42
63,Harrow Inc. (HROW),453.8K,39.96,2.04,5.38
