,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRML,Critical Metals Corp.,,29.97 +6.69 (+28.74%),6.69,+28.74%,83.341M,10.922M,3.204B,--,+239.36%,1.23 32.15
1,NVTS,Navitas Semiconductor Corporation,,12.57 +2.60 (+26.08%),2.6,+26.08%,156.012M,29.847M,2.679B,--,+297.21%,1.52 13.33
2,ERIC,Telefonaktiebolaget LM Ericsson (publ),,9.85 +1.68 (+20.56%),1.68,+20.56%,62.425M,13.158M,32.915B,18.24,-4.22%,6.64 9.87
3,LAC,Lithium Americas Corp.,,10.07 +1.64 (+19.45%),1.64,+19.45%,131.234M,33.273M,2.489B,--,+215.73%,2.31 10.11
4,OUST,"Ouster, Inc.",,36.16 +5.09 (+16.38%),5.09,+16.38%,4.585M,2.85M,2.091B,--,+336.38%,6.34 36.77
5,FLNC,"Fluence Energy, Inc.",,18.45 +2.56 (+16.11%),2.56,+16.11%,14.883M,5.7M,3.367B,--,-25.40%,3.46 24.00
6,DBRG,"DigitalBridge Group, Inc.",,13.48 +1.83 (+15.67%),1.83,+15.67%,13.684M,2.102M,2.622B,1347.50,-24.60%,6.41 17.33
7,ALM,Almonty Industries Inc.,,9.96 +1.32 (+15.28%),1.32,+15.28%,8.812M,1.284M,2.164B,--,+453.31%,1.17 10.27
8,ORLA,Orla Mining Ltd.,,13.12 +1.63 (+14.19%),1.63,+14.19%,11.395M,2.208M,4.275B,187.43,+143.43%,3.81 13.62
9,PII,Polaris Inc.,,69.88 +8.52 (+13.89%),8.52,+13.89%,3.95M,1.42M,3.929B,--,-24.62%,30.92 84.08
10,ACI,"Albertsons Companies, Inc.",,19.29 +2.34 (+13.79%),2.34,+13.79%,22.196M,6.373M,10.798B,11.76,-8.13%,16.70 23.20
11,PCT,"PureCycle Technologies, Inc.",,14.78 +1.61 (+12.22%),1.61,+12.22%,6.604M,2.749M,2.662B,--,+35.35%,5.40 17.37
12,WULF,TeraWulf Inc.,,15.46 +1.46 (+10.43%),1.46,+10.43%,75.771M,47.826M,6.341B,--,+203.69%,2.06 16.19
13,DLO,DLocal Limited,,15.68 +1.48 (+10.42%),1.48,+10.42%,5.317M,2.593M,4.605B,32.67,+59.73%,7.61 16.44
14,DYN,"Dyne Therapeutics, Inc.",,15.45 +1.42 (+10.12%),1.42,+10.12%,2.17M,2.648M,2.198B,--,-58.23%,6.36 35.90
15,CLSK,"CleanSpark, Inc.",,21.98 +1.94 (+9.68%),1.94,+9.68%,50.15M,26.345M,6.178B,25.56,+78.45%,6.45 22.68
16,MARA,"MARA Holdings, Inc.",,22.24 +2.00 (+9.88%),2.0,+9.88%,70.768M,55.999M,8.239B,11.96,+19.62%,9.81 30.28
17,UI,Ubiquiti Inc.,,753.34 +66.49 (+9.68%),66.49,+9.68%,326370,168292,45.576B,64.11,+185.18%,239.33 773.95
18,UUUU,Energy Fuels Inc.,,26.23 +2.46 (+10.35%),2.46,+10.35%,59.214M,17.76M,6.051B,--,+315.56%,3.20 26.88
19,BITF,Bitfarms Ltd.,,5.89 +0.50 (+9.28%),0.5,+9.28%,206.902M,60.297M,3.255B,--,+191.35%,0.67 6.20
20,POWI,"Power Integrations, Inc.",,47.03 +3.88 (+8.99%),3.88,+8.99%,7.501M,743035,2.638B,79.71,-31.55%,34.55 69.53
21,SOUN,"SoundHound AI, Inc.",,20.86 +1.72 (+8.99%),1.72,+8.99%,70.955M,60.866M,8.504B,--,+260.45%,4.86 24.98
22,ZGN,Ermenegildo Zegna N.V.,,9.53 +0.77 (+8.85%),0.77,+8.85%,1.829M,818456,2.423B,22.17,+7.75%,6.05 10.38
23,VOYG,"Voyager Technologies, Inc.",,35.30 +2.56 (+7.82%),2.56,+7.82%,1.56M,942217,2.082B,--,-42.03%,26.10 73.95
24,IREN,IREN Limited,,69.56 +5.42 (+8.45%),5.42,+8.45%,51.091M,33.889M,18.919B,178.36,+634.71%,5.13 72.30
25,JOBY,"Joby Aviation, Inc.",,18.12 +1.35 (+8.05%),1.35,+8.05%,104.875M,40.852M,16.146B,--,+209.41%,4.80 20.95
26,DRVN,Driven Brands Holdings Inc.,,16.29 +1.16 (+7.67%),1.16,+7.67%,1.844M,968943,2.676B,--,+4.42%,13.93 19.74
27,ULS,UL Solutions Inc.,,77.60 +5.24 (+7.24%),5.24,+7.24%,663338,788114,15.589B,47.90,+34.95%,48.54 77.71
28,WFC,Wells Fargo & Company,,84.57 +5.65 (+7.17%),5.65,+7.17%,31.775M,15.052M,270.931B,14.53,+25.21%,58.42 86.66
29,KEP,Korea Electric Power Corporation,,13.56 +0.86 (+6.73%),0.86,+6.73%,511303,488964,17.404B,3.94,+69.33%,6.68 15.19
30,PGY,Pagaya Technologies Ltd.,,29.86 +1.89 (+6.76%),1.89,+6.76%,6.409M,4.367M,2.288B,--,+157.79%,8.20 44.99
31,IBP,"Installed Building Products, Inc.",,256.46 +16.14 (+6.72%),16.14,+6.72%,416476,496631,6.957B,28.53,-4.42%,150.83 280.00
32,ALVO,Alvotech,,8.50 +0.53 (+6.65%),0.53,+6.65%,618887,406150,2.649B,36.96,-36.24%,7.35 13.70
33,DAVE,Dave Inc.,,216.25 +13.82 (+6.83%),13.82,+6.83%,507750,520187,2.919B,57.06,+341.70%,37.44 286.45
34,AMSC,American Superconductor Corporation,,65.54 +3.97 (+6.45%),3.97,+6.45%,1.883M,1.173M,2.96B,163.85,+164.59%,13.98 66.55
35,FRPT,"Freshpet, Inc.",,51.58 +3.18 (+6.57%),3.18,+6.57%,1.845M,1.51M,2.516B,78.15,-66.40%,46.76 164.07
36,VSAT,"Viasat, Inc.",,36.92 +2.22 (+6.40%),2.22,+6.40%,2.267M,3.871M,4.957B,--,+222.49%,6.69 37.14
37,RXRX,"Recursion Pharmaceuticals, Inc.",,5.89 +0.36 (+6.51%),0.36,+6.51%,102.914M,28.828M,2.571B,--,-17.09%,3.79 12.36
38,NBTB,NBT Bancorp Inc.,,42.18 +2.53 (+6.38%),2.53,+6.38%,282516,185771,2.21B,15.17,-13.09%,37.31 52.44
39,HRI,Herc Holdings Inc.,,128.02 +7.33 (+6.07%),7.33,+6.07%,382522,504879,4.255B,154.24,-28.17%,96.19 246.88
40,GRBK,"Green Brick Partners, Inc.",,66.65 +3.81 (+6.06%),3.81,+6.06%,229834,261796,2.904B,8.51,-22.97%,50.57 84.66
41,BLDR,"Builders FirstSource, Inc.",,128.15 +7.44 (+6.17%),7.44,+6.17%,1.894M,1.998M,14.167B,19.39,-38.33%,102.60 201.53
42,QBTS,D-Wave Quantum Inc.,,43.03 +2.41 (+5.93%),2.41,+5.93%,70.344M,50.832M,14.717B,--,"+3,970.14%",0.98 45.30
43,SGRY,"Surgery Partners, Inc.",,20.93 +1.14 (+5.76%),1.14,+5.76%,1.064M,1.483M,2.683B,--,-37.92%,18.87 33.37
44,EEFT,"Euronet Worldwide, Inc.",,87.71 +4.68 (+5.64%),4.68,+5.64%,1.056M,739120,3.481B,12.10,-16.19%,82.18 114.25
45,DAR,Darling Ingredients Inc.,,31.55 +1.64 (+5.47%),1.64,+5.47%,4.808M,2.288M,4.99B,48.53,-14.83%,26.00 43.49
46,KBH,KB Home,,61.28 +3.25 (+5.60%),3.25,+5.60%,1.788M,1.447M,3.969B,8.62,-29.61%,48.90 85.92
47,GNRC,Generac Holdings Inc.,,183.90 +9.78 (+5.61%),9.78,+5.61%,1.243M,1.04M,10.79B,30.60,+2.29%,99.50 203.25
48,TOST,"Toast, Inc.",,37.79 +1.95 (+5.45%),1.95,+5.45%,9.448M,8.657M,22.034B,96.91,+24.75%,28.05 49.66
49,QXO,"QXO, Inc.",,19.52 +1.02 (+5.54%),1.02,+5.54%,8.067M,7.705M,13.151B,2.07,+20.60%,11.85 24.69
50,SAH,"Sonic Automotive, Inc.",,75.86 +4.00 (+5.56%),4.0,+5.56%,150949,211951,2.59B,16.82,+30.94%,52.00 89.62
51,ALLY,Ally Financial Inc.,,39.92 +2.06 (+5.43%),2.06,+5.43%,4.626M,3.252M,12.289B,38.39,+8.29%,29.52 44.83
52,MHK,"Mohawk Industries, Inc.",,125.69 +6.44 (+5.40%),6.44,+5.40%,718893,787104,7.809B,16.71,-25.40%,96.24 164.29
53,YETI,"YETI Holdings, Inc.",,33.98 +1.78 (+5.53%),1.78,+5.53%,1.734M,2.03M,2.76B,16.26,-22.20%,26.61 45.25
54,TBBK,"The Bancorp, Inc.",,80.34 +3.98 (+5.21%),3.98,+5.21%,613213,706101,3.701B,17.28,+33.38%,40.51 81.25
55,HCI,"HCI Group, Inc.",,197.62 +9.53 (+5.07%),9.53,+5.07%,169123,152278,2.561B,17.30,+61.74%,105.00 199.00
56,OPEN,Opendoor Technologies Inc.,,7.64 +0.37 (+5.09%),0.37,+5.09%,114.183M,348.857M,5.67B,--,+284.66%,0.51 10.87
57,BFH,"Bread Financial Holdings, Inc.",,59.24 +2.82 (+5.00%),2.82,+5.00%,915221,633587,2.763B,9.96,+9.83%,38.21 68.01
58,WMT,Walmart Inc.,,107.21 +5.09 (+4.98%),5.09,+4.98%,27.286M,15.987M,854.769B,40.61,+25.07%,79.81 107.92
59,KAI,Kadant Inc.,,292.96 +14.28 (+5.12%),14.28,+5.12%,175704,113107,3.45B,32.66,-15.43%,270.73 429.95
60,TLX,Telix Pharmaceuticals Limited,,10.04 +0.50 (+5.24%),0.5,+5.24%,123964,169860,3.361B,502.00,-37.03%,8.93 30.36
61,SRAD,Sportradar Group AG,,26.43 +1.24 (+4.92%),1.24,+4.92%,3.252M,2.078M,7.822B,66.07,+101.52%,12.20 32.22
62,RSI,"Rush Street Interactive, Inc.",,19.83 +0.93 (+4.89%),0.93,+4.89%,1.885M,1.66M,4.529B,94.40,+71.51%,9.54 22.65
63,CHYM,"Chime Financial, Inc.",,20.36 +0.95 (+4.89%),0.95,+4.89%,2.919M,2.66M,7.568B,--,-47.70%,18.77 44.94
64,TEAM,Atlassian Corporation,,156.37 +6.98 (+4.67%),6.98,+4.67%,3.809M,2.55M,41.021B,--,-21.74%,144.32 326.00
65,OMF,"OneMain Holdings, Inc.",,55.79 +2.53 (+4.75%),2.53,+4.75%,1.032M,995085,6.632B,10.05,+14.10%,38.00 63.25
66,CNM,"Core & Main, Inc.",,51.78 +2.28 (+4.61%),2.28,+4.61%,2.207M,2.584M,10.223B,23.12,+9.49%,41.64 67.18
67,KMPR,Kemper Corporation,,50.36 +2.25 (+4.68%),2.25,+4.68%,980018,923073,3.16B,9.48,-21.52%,45.02 73.01
68,LUV,Southwest Airlines Co.,,33.41 +1.51 (+4.73%),1.51,+4.73%,8.143M,9.684M,17.547B,52.20,+4.62%,23.82 37.96
69,ENPH,"Enphase Energy, Inc.",,36.44 +1.62 (+4.65%),1.62,+4.65%,6.664M,8.462M,4.765B,28.25,-62.17%,29.89 99.50
70,MHO,"M/I Homes, Inc.",,135.51 +5.79 (+4.46%),5.79,+4.46%,154816,286653,3.576B,7.44,-23.53%,100.22 176.18
71,CAT,Caterpillar Inc.,,527.56 +22.80 (+4.51%),22.8,+4.51%,4.85M,2.926M,247.152B,26.86,+30.10%,267.30 531.56
72,IE,Ivanhoe Electric Inc.,,16.66 +0.69 (+4.32%),0.69,+4.32%,2.7M,1.649M,2.213B,--,+72.84%,4.50 16.86
73,WMS,"Advanced Drainage Systems, Inc.",,141.53 +6.17 (+4.56%),6.17,+4.56%,462391,792217,11.004B,25.55,-12.58%,93.92 166.03
74,JHX,James Hardie Industries plc,,22.42 +0.98 (+4.55%),0.98,+4.55%,4.418M,7.824M,12.982B,29.11,-42.12%,17.85 37.77
75,PTON,"Peloton Interactive, Inc.",,7.71 +0.34 (+4.61%),0.34,+4.61%,10.763M,13.817M,3.144B,--,+41.46%,4.63 10.90
76,AX,"Axos Financial, Inc.",,84.52 +3.65 (+4.51%),3.65,+4.51%,221716,346337,4.783B,11.38,+21.99%,54.46 93.84
77,SVV,"Savers Value Village, Inc.",,13.33 +0.56 (+4.39%),0.56,+4.39%,1.046M,1.364M,2.074B,66.65,+25.81%,6.48 13.89
78,ERJ,Embraer S.A.,,60.51 +2.72 (+4.71%),2.72,+4.71%,1.688M,1.715M,11.097B,29.09,+77.98%,32.26 62.09
79,SYM,Symbotic Inc.,,73.64 +3.13 (+4.44%),3.13,+4.44%,2.868M,2.219M,43.484B,--,+144.57%,16.32 76.04
80,KKR,KKR & Co. Inc.,,126.00 +5.56 (+4.62%),5.56,+4.62%,5.395M,3.688M,116.619B,59.44,-11.30%,86.15 170.40
81,EIX,Edison International,,56.10 +2.45 (+4.57%),2.45,+4.57%,2.842M,3.433M,21.589B,8.24,-36.93%,47.73 88.65
82,ASTS,"AST SpaceMobile, Inc.",,94.50 +4.00 (+4.42%),4.0,+4.42%,17.198M,12.057M,34.159B,--,+273.20%,17.50 99.13
83,HPQ,HP Inc.,,28.53 +1.18 (+4.33%),1.18,+4.33%,18.92M,9.135M,26.672B,10.38,-26.02%,21.21 39.80
84,HOMB,"Home Bancshares, Inc. (Conway, AR)",,28.33 +1.18 (+4.35%),1.18,+4.35%,1.076M,1.016M,5.583B,12.94,-0.11%,24.22 32.91
85,CPA,"Copa Holdings, S.A.",,128.18 +5.40 (+4.40%),5.4,+4.40%,494142,286750,5.273B,8.34,+25.86%,82.54 130.00
86,TOL,"Toll Brothers, Inc.",,133.31 +5.64 (+4.42%),5.64,+4.42%,1.164M,1.559M,12.849B,9.83,-17.73%,86.67 169.52
87,LTM,LATAM Airlines Group S.A.,,43.99 +1.91 (+4.54%),1.91,+4.54%,886639,1.63M,13.369B,11.19,+62.66%,25.39 52.54
88,NXE,NexGen Energy Ltd.,,9.40 +0.42 (+4.68%),0.42,+4.68%,17.9M,8.259M,5.837B,--,+23.52%,3.91 9.80
89,RYTM,"Rhythm Pharmaceuticals, Inc.",,105.20 +4.43 (+4.40%),4.43,+4.40%,708972,594978,6.987B,--,+99.90%,45.91 106.84
90,AUB,Atlantic Union Bankshares Corporation,,35.99 +1.44 (+4.17%),1.44,+4.17%,508980,1.07M,5.129B,18.46,-11.23%,22.85 44.54
91,CNK,"Cinemark Holdings, Inc.",,26.19 +1.10 (+4.38%),1.1,+4.38%,3.326M,3.957M,3.012B,13.57,-12.61%,23.12 36.28
92,HTFL,"Heartflow, Inc.",,34.62 +1.40 (+4.21%),1.4,+4.21%,321645,480673,2.887B,--,+10.77%,28.27 39.24
93,APO,"Apollo Global Management, Inc.",,127.68 +5.24 (+4.28%),5.24,+4.28%,4.61M,3.395M,73.036B,23.82,-13.50%,102.58 189.49
94,KTB,"Kontoor Brands, Inc.",,81.85 +3.30 (+4.20%),3.3,+4.20%,447681,709534,4.549B,18.31,-4.00%,50.00 96.80
95,ARX,Accelerant Holdings,,14.57 +0.52 (+3.70%),0.52,+3.70%,729792,1.777M,3.205B,72.85,-46.98%,12.88 31.18
96,SFM,"Sprouts Farmers Market, Inc.",,111.13 +4.54 (+4.26%),4.54,+4.26%,3.16M,1.939M,10.86B,22.91,-8.80%,98.75 182.00
97,CBU,"Community Financial System, Inc.",,58.53 +2.34 (+4.16%),2.34,+4.16%,131547,281948,3.094B,15.95,-8.44%,49.44 73.39
98,UAMY,United States Antimony Corporation,,17.42 +0.71 (+4.25%),0.71,+4.25%,52.081M,9.109M,2.378B,--,"+2,220.83%",0.49 19.70
99,LMND,"Lemonade, Inc.",,52.54 +2.18 (+4.34%),2.18,+4.34%,1.556M,2.615M,3.882B,--,+169.16%,17.59 62.00
100,FG,"F&G Annuities & Life, Inc.",,30.13 +1.22 (+4.22%),1.22,+4.22%,235538,175012,4.057B,12.00,-33.63%,28.82 50.75
101,THO,"THOR Industries, Inc.",,105.31 +4.26 (+4.22%),4.26,+4.22%,460014,730082,5.543B,21.76,-9.32%,63.16 118.85
102,BUSE,First Busey Corporation,,23.75 +0.96 (+4.21%),0.96,+4.21%,416583,514248,2.115B,18.85,-9.42%,18.40 28.30
103,BTU,Peabody Energy Corporation,,34.86 +1.44 (+4.31%),1.44,+4.31%,8.071M,5.455M,4.239B,31.98,+31.47%,9.61 35.99
104,DAL,"Delta Air Lines, Inc.",,61.25 +2.53 (+4.31%),2.53,+4.31%,9.721M,8.288M,39.993B,8.64,+11.36%,34.74 69.98
105,NOK,Nokia Oyj,,5.47 +0.22 (+4.29%),0.22,+4.29%,49.267M,27.342M,29.451B,28.82,+19.05%,3.91 5.50
106,JXN,Jackson Financial Inc.,,99.50 +4.02 (+4.21%),4.02,+4.21%,356341,616015,6.93B,765.35,-3.52%,64.70 115.22
107,BC,Brunswick Corporation,,62.88 +2.62 (+4.35%),2.62,+4.35%,680541,820728,4.108B,71.45,-27.71%,41.00 87.65
108,ARES,Ares Management Corporation,,149.60 +5.97 (+4.16%),5.97,+4.16%,3.375M,1.606M,48.875B,84.52,-11.68%,110.63 200.49
109,DIOD,Diodes Incorporated,,53.77 +2.19 (+4.25%),2.19,+4.25%,357194,441915,2.497B,39.25,-18.26%,32.93 67.40
110,WSBC,"WesBanco, Inc.",,33.75 +1.35 (+4.17%),1.35,+4.17%,693548,595540,3.24B,19.18,+5.64%,26.42 37.36
111,ATEC,"Alphatec Holdings, Inc.",,13.81 +0.57 (+4.31%),0.57,+4.31%,2.041M,2.219M,2.044B,--,+149.81%,5.08 16.70
112,METC,"Ramaco Resources, Inc.",,54.55 +2.13 (+4.06%),2.13,+4.06%,3.532M,3.406M,3.252B,--,+393.89%,6.30 55.05
113,OWL,Blue Owl Capital Inc.,,16.76 +0.64 (+3.97%),0.64,+3.97%,10.77M,8.858M,25.97B,152.36,-25.95%,14.55 26.73
114,SARO,"StandardAero, Inc.",,28.64 +1.13 (+4.11%),1.13,+4.11%,1.873M,1.724M,9.579B,71.60,-14.94%,21.31 33.00
115,EXP,Eagle Materials Inc.,,238.97 +9.35 (+4.07%),9.35,+4.07%,308336,356703,7.754B,17.58,-22.35%,191.91 321.93
116,WAL,Western Alliance Bancorporation,,82.09 +3.24 (+4.11%),3.24,+4.11%,1.16M,1.189M,9.06B,10.79,-13.24%,57.05 98.10
117,COMP,"Compass, Inc.",,7.19 +0.27 (+3.90%),0.27,+3.90%,9.139M,9.803M,4.009B,--,+15.53%,5.10 10.25
118,SEZL,Sezzle Inc.,,80.01 +3.00 (+3.90%),3.0,+3.90%,1.306M,996400,2.722B,27.21,+130.21%,24.86 186.74
119,MTH,Meritage Homes Corporation,,69.43 +2.64 (+3.95%),2.64,+3.95%,609338,1.015M,4.94B,7.92,-32.47%,59.27 102.91
120,BHF,"Brighthouse Financial, Inc.",,49.92 +1.88 (+3.91%),1.88,+3.91%,931773,1.111M,2.853B,5.71,+1.46%,42.07 64.12
121,CAR,"Avis Budget Group, Inc.",,155.49 +6.01 (+4.02%),6.01,+4.02%,790736,944515,5.472B,--,+92.95%,54.03 212.81
122,ENVA,"Enova International, Inc.",,110.38 +4.40 (+4.15%),4.4,+4.15%,172719,305471,2.761B,11.77,+22.69%,79.41 130.34
