,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
123,APO-PA,"Apollo Global Management, Inc.",,67.94 +2.61 (+4.00%),2.61,+4.00%,120444,65162,--,--,-13.30%,56.89 98.95
124,BE,Bloom Energy Corporation,,114.07 +4.16 (+3.78%),4.16,+3.78%,13.37M,12.864M,26.692B,1037.00,+950.76%,9.02 116.88
125,WBS,Webster Financial Corporation,,59.46 +2.28 (+3.98%),2.28,+3.98%,851678,1.349M,9.881B,12.08,+16.86%,39.43 63.99
126,FBK,FB Financial Corporation,,58.60 +2.29 (+4.07%),2.29,+4.07%,750218,448604,3.156B,30.21,+17.53%,38.83 60.52
127,SWK,"Stanley Black & Decker, Inc.",,67.03 +2.54 (+3.94%),2.54,+3.94%,2.261M,2.103M,10.376B,21.21,-39.77%,53.91 109.91
128,TMHC,Taylor Morrison Home Corporation,,62.91 +2.31 (+3.82%),2.31,+3.82%,917181,1.168M,6.219B,7.27,-12.17%,51.90 75.49
129,DPZ,"Domino's Pizza, Inc.",,424.23 +15.97 (+3.91%),15.97,+3.91%,1.604M,700157,14.402B,24.62,-4.45%,397.12 500.55
130,ESAB,ESAB Corporation,,120.35 +4.61 (+3.98%),4.61,+3.98%,355973,455587,7.305B,26.33,+6.01%,100.17 135.97
131,W,Wayfair Inc.,,79.17 +2.96 (+3.88%),2.96,+3.88%,2.904M,4.248M,10.265B,--,+43.41%,20.41 91.77
132,TBBB,BBB Foods Inc.,,26.44 +1.02 (+4.01%),1.02,+4.01%,646705,590226,3.034B,--,-23.48%,23.00 35.22
133,COLB,"Columbia Banking System, Inc.",,26.74 +1.03 (+4.01%),1.03,+4.01%,4.988M,4.463M,8B,10.61,-6.34%,19.61 32.85
134,CATY,Cathay General Bancorp,,49.33 +1.86 (+3.92%),1.86,+3.92%,392909,397526,3.408B,11.92,+5.23%,36.06 55.29
135,HGTY,"Hagerty, Inc.",,12.22 +0.46 (+3.94%),0.46,+3.94%,163453,192792,4.18B,61.11,+9.50%,8.03 13.32
136,UAL,"United Airlines Holdings, Inc.",,103.15 +3.90 (+3.93%),3.9,+3.93%,6.179M,5.832M,33.393B,10.35,+54.96%,52.00 116.00
137,FLG,"Flagstar Financial, Inc.",,12.05 +0.45 (+3.93%),0.45,+3.93%,3.086M,5.731M,5.005B,--,-2.11%,8.56 13.35
138,RKLB,Rocket Lab Corporation,,68.03 +2.61 (+3.99%),2.61,+3.99%,23.627M,23.439M,32.924B,--,+558.15%,9.48 73.50
139,CVBF,CVB Financial Corp.,,19.28 +0.72 (+3.88%),0.72,+3.88%,655627,722968,2.657B,13.21,-4.38%,16.01 24.58
140,SFBS,"ServisFirst Bancshares, Inc.",,81.01 +2.97 (+3.81%),2.97,+3.81%,132072,225278,4.425B,17.73,-8.22%,66.48 101.37
141,ASB,Associated Banc-Corp,,26.36 +0.99 (+3.90%),0.99,+3.90%,1.221M,1.504M,4.372B,37.66,+13.26%,18.32 28.18
142,SYBT,"Stock Yards Bancorp, Inc.",,70.68 +2.62 (+3.85%),2.62,+3.85%,116332,111048,2.083B,16.25,+4.61%,60.75 83.83
143,C,Citigroup Inc.,,99.81 +3.71 (+3.86%),3.71,+3.86%,27.039M,14.563M,183.74B,14.74,+53.42%,55.51 105.59
144,AEO,"American Eagle Outfitters, Inc.",,15.85 +0.56 (+3.63%),0.56,+3.63%,7.488M,14.706M,2.683B,15.53,-27.40%,9.27 21.74
145,SYF,Synchrony Financial,,72.81 +2.67 (+3.80%),2.67,+3.80%,4.869M,3.297M,27.088B,8.85,+31.62%,40.55 77.41
146,RBLX,Roblox Corporation,,133.29 +5.05 (+3.94%),5.05,+3.94%,8.044M,8.528M,92.403B,--,+214.62%,39.30 150.59
147,BANF,BancFirst Corporation,,125.38 +4.54 (+3.75%),4.54,+3.75%,114088,123712,4.176B,18.07,+10.49%,97.02 138.77
148,GPI,"Group 1 Automotive, Inc.",,439.61 +15.72 (+3.71%),15.72,+3.71%,307396,189490,5.688B,12.14,+18.78%,344.38 490.09
149,ZG,"Zillow Group, Inc.",,69.51 +2.54 (+3.79%),2.54,+3.79%,643334,612750,17.379B,--,+8.97%,55.08 90.22
150,AAL,American Airlines Group Inc.,,12.19 +0.45 (+3.83%),0.45,+3.83%,64.063M,75.812M,8.043B,14.51,-2.41%,8.50 19.10
151,DOOO,BRP Inc.,,67.72 +2.51 (+3.85%),2.51,+3.85%,357681,276717,4.846B,35.09,+15.48%,31.78 68.42
152,MP,MP Materials Corp.,,98.69 +3.63 (+3.82%),3.63,+3.82%,39.145M,15.93M,17.478B,--,+437.06%,15.56 100.25
153,TPH,"Tri Pointe Homes, Inc.",,32.03 +1.13 (+3.66%),1.13,+3.66%,512394,1.07M,2.803B,8.15,-31.92%,27.90 46.91
154,BX,Blackstone Inc.,,163.87 +5.71 (+3.61%),5.71,+3.61%,3.87M,3.714M,201.262B,44.29,+1.18%,115.66 200.96
155,PVH,PVH Corp.,,83.11 +3.03 (+3.79%),3.03,+3.79%,639985,1.084M,3.999B,9.49,-17.81%,59.28 113.47
156,PNFP,"Pinnacle Financial Partners, Inc.",,91.88 +3.29 (+3.71%),3.29,+3.71%,1.441M,1.452M,7.126B,12.22,-11.88%,81.57 131.91
157,BANR,Banner Corporation,,64.03 +2.37 (+3.84%),2.37,+3.84%,234987,206190,2.214B,12.20,-5.24%,54.01 78.05
158,NIC,"Nicolet Bankshares, Inc.",,135.40 +4.80 (+3.68%),4.8,+3.68%,75352,73535,2.012B,15.53,+32.04%,97.27 141.92
159,Z,"Zillow Group, Inc.",,72.31 +2.55 (+3.66%),2.55,+3.66%,2.205M,2.88M,17.356B,--,+10.07%,57.00 93.88
160,BLD,TopBuild Corp.,,439.32 +14.77 (+3.48%),14.77,+3.48%,259812,378164,12.362B,21.69,+6.36%,266.26 445.74
161,DFH,"Dream Finders Homes, Inc.",,24.16 +0.83 (+3.56%),0.83,+3.56%,333128,359854,2.244B,7.82,-29.75%,19.65 35.71
162,VIK,Viking Holdings Ltd,,61.47 +2.17 (+3.66%),2.17,+3.66%,2.275M,2.416M,27.257B,32.52,+54.03%,31.79 65.37
163,SNV,Synovus Financial Corp.,,47.84 +1.66 (+3.59%),1.66,+3.59%,1.194M,2.188M,6.641B,9.24,-2.41%,35.94 61.06
164,CVCO,"Cavco Industries, Inc.",,510.97 +17.62 (+3.57%),17.62,+3.57%,136354,161165,4.046B,22.18,+12.30%,393.53 600.00
165,ERO,Ero Copper Corp.,,23.57 +0.86 (+3.79%),0.86,+3.79%,1.875M,813359,2.442B,17.08,+14.70%,9.30 24.02
166,SEDG,"SolarEdge Technologies, Inc.",,37.73 +1.27 (+3.48%),1.27,+3.48%,2.742M,4.421M,2.24B,--,+100.44%,10.24 41.92
167,STVN,Stevanato Group S.p.A.,,24.13 +0.82 (+3.52%),0.82,+3.52%,201549,392764,6.587B,42.33,+26.27%,17.12 28.00
168,LEN,Lennar Corporation,,122.23 +4.21 (+3.57%),4.21,+3.57%,3.722M,3.469M,30.945B,12.09,-34.11%,98.42 183.59
169,PHM,"PulteGroup, Inc.",,124.90 +4.41 (+3.66%),4.41,+3.66%,2.163M,2.129M,24.642B,9.35,-16.69%,88.07 149.47
170,FBIN,"Fortune Brands Innovations, Inc.",,49.83 +1.71 (+3.54%),1.71,+3.54%,1.303M,1.601M,5.981B,15.72,-45.91%,47.21 90.50
171,RYAN,"Ryan Specialty Holdings, Inc.",,56.42 +1.98 (+3.64%),1.98,+3.64%,1.386M,1.577M,14.895B,141.05,-23.59%,50.08 77.16
172,GBCI,"Glacier Bancorp, Inc.",,49.06 +1.67 (+3.54%),1.67,+3.54%,692321,815578,6.372B,25.42,-1.09%,36.76 60.67
173,FIBK,"First Interstate BancSystem, Inc.",,32.30 +1.09 (+3.49%),1.09,+3.49%,847475,862312,3.387B,14.55,-1.36%,22.95 36.77
174,CWK,Cushman & Wakefield plc,,15.55 +0.51 (+3.36%),0.51,+3.36%,1.255M,2.206M,3.599B,17.66,+17.50%,7.64 17.04
175,RXO,"RXO, Inc.",,16.94 +0.60 (+3.67%),0.6,+3.67%,1.486M,1.928M,2.778B,--,-43.98%,12.19 31.98
176,CACC,Credit Acceptance Corporation,,504.25 +16.11 (+3.30%),16.11,+3.30%,83949,115304,5.667B,14.57,+4.69%,414.16 560.00
177,LCII,LCI Industries,,87.77 +3.00 (+3.54%),3.0,+3.54%,174711,283659,2.128B,14.68,-29.41%,72.31 129.38
178,LPX,Louisiana-Pacific Corporation,,92.79 +3.06 (+3.40%),3.06,+3.40%,697721,827417,6.462B,21.83,-13.25%,78.82 122.87
