,Unnamed: 0,Volume,Last,Chg,% Chg
32,Corbus Pharmaceuticals Holdings Inc. (CRBP),541.7K,19.05,1.55,8.86
33,Creative Medical Technology Holdings Inc. (CELZ),189.4K,4.02,0.31,8.36
34,Synergy CHC Corp. (SNYR),172.4K,2.37,0.18,8.22
35,Aureus Greenway Holdings Inc. (AGH),162.6K,5.01,0.37,7.97
36,Hecla Mining Co. (HL),27.1M,15.24,1.08,7.63
37,AXT Inc. (AXTI),1.9M,4.93,0.34,7.41
38,RxSight Inc. (RXST),911.4K,8.48,0.58,7.34
39,Kandal M Venture Ltd. Cl A (FMFC),329.3K,9.97,0.67,7.2
40,Triumph Financial Inc. (TFIN),890.3K,51.29,3.4,7.1
41,TFI International Inc. (TFII),514.0K,95.31,6.31,7.09
42,RAPT Therapeutics Inc. (RAPT),162.1K,28.93,1.9,7.03
43,I-Mab ADR (IMAB),2.6M,6.56,0.43,7.01
44,Cryoport Inc. (CYRX),2.9M,10.71,0.7,6.99
45,Skillsoft Corp. (SKIL),91.3K,14.87,0.97,6.98
46,Endeavour Silver Corp. (EXK),20.1M,10.15,0.66,6.95
47,Prenetics Global Ltd. (PRE),179.2K,15.86,1.02,6.87
48,FTC Solar Inc. (FTCI),118.6K,9.42,0.6,6.8
49,DBV Technologies S.A. ADR (DBVT),276.3K,17.0,1.08,6.78
50,Sera Prognostics Inc. (SERA),93.5K,3.34,0.21,6.71
51,Banco Bilbao Vizcaya Argentaria S.A. ADR (BBVA),6.4M,19.48,1.22,6.68
52,Gold Fields Ltd. ADR (GFI),4.9M,46.62,2.83,6.46
53,VEON Ltd. ADR (VEON),193.5K,54.95,3.32,6.43
54,Knight-Swift Transportation Holdings Inc. Cl A (KNX),6.0M,47.04,2.84,6.43
55,Metagenomi Inc. (MGX),5.8M,3.33,0.2,6.39
56,A-Mark Precious Metals Inc. (AMRK),799.2K,29.7,1.75,6.26
57,Linkhome Holdings Inc. (LHAI),871.7K,10.07,0.58,6.11
58,Sibanye-Stillwater Ltd. ADR (SBSW),14.8M,12.82,0.73,6.04
59,Xencor Inc. (XNCR),3.2M,14.95,0.85,6.03
60,Yatsen Holding Ltd. ADR (YSG),345.2K,8.8,0.49,5.9
61,Sionna Therapeutics Inc. (SION),507.9K,32.72,1.81,5.86
62,Werner Enterprises Inc. (WERN),1.8M,27.81,1.53,5.82
63,Hub Group Inc. Cl A (HUBG),1.2M,36.66,2.01,5.8
64,Certara Inc. (CERT),2.0M,12.66,0.69,5.76
65,DEFSEC Technologies Inc. (DFSC),61.6K,4.42,0.24,5.74
66,Eldorado Gold Corp. (EGO),4.5M,30.85,1.67,5.72
67,McEwen Inc. (MUX),4.1M,22.72,1.21,5.63
68,Universal Display Corp. (OLED),768.2K,150.15,7.93,5.58
69,Bruker Corp. (BRKR),4.2M,38.2,2.0,5.52
70,Micron Technology Inc. (MU),42.0M,202.53,10.59,5.52
71,Vicor Corp. (VICR),599.0K,60.47,3.16,5.51
72,MEDIROM Healthcare Technologies Inc. ADR (MRM),824.3K,2.5,0.13,5.49
73,ASE Technology Holding Co. Ltd. ADR (ASX),16.0M,12.58,0.65,5.45
74,Imunon Inc. (IMNN),99.9K,5.06,0.26,5.42
75,Vera Bradley Inc. (VRA),157.1K,2.17,0.11,5.34
76,Standard Lithium Ltd. (SLI),15.9M,5.39,0.27,5.27
77,United Homes Group Inc. (UHG),110.2K,4.4,0.22,5.26
78,Biomerica Inc. (BMRA),4.1M,3.01,0.15,5.24
79,Medicus Pharma Ltd. (MDCX),176.9K,2.41,0.12,5.24
80,ON Semiconductor Corp. (ON),11.2M,52.97,2.61,5.18
81,Esperion Therapeutics Inc. (ESPR),5.2M,2.65,0.13,5.16
82,Coca-Cola Femsa S.A.B. de C.V. ADR (KOF),234.1K,85.51,4.18,5.14
83,Sarepta Therapeutics Inc. (SRPT),6.1M,23.34,1.14,5.14
84,New Pacific Metals Corp. (NEWP),1.4M,2.87,0.14,5.13
85,BriaCell Therapeutics Corp. (BCTX),54.9K,12.32,0.6,5.12
86,ECARX Holdings Inc. (ECX),3.9M,2.26,0.11,5.12
87,Guardant Health Inc. (GH),3.0M,67.47,3.28,5.11
88,DRDGOLD Ltd. ADR (DRD),708.3K,31.68,1.54,5.11
89,SANUWAVE Health Inc. (SNWV),356.1K,35.0,1.7,5.11
90,Avantor Inc. (AVTR),18.5M,14.57,0.7,5.05
91,Coherent Corp. (COHR),3.4M,115.96,5.55,5.03
92,Newmont Corp. (NEM),13.0M,98.27,4.69,5.01
93,Celcuity Inc. (CELC),1.6M,52.53,2.5,5.0
94,Progyny Inc. (PGNY),7.5M,21.33,1.01,4.97
95,Acacia Research Corp. - Acacia Technologies (ACTG),384.7K,3.62,0.17,4.93
96,Brown-Forman Corp. Cl A (BF.A),373.4K,28.35,1.32,4.88
97,Mesa Laboratories Inc. (MLAB),90.4K,74.15,3.41,4.82
98,Fomento Economico Mexicano S.A.B. de C.V. ADR (FMX),513.2K,95.37,4.36,4.79
99,Enerpac Tool Group Corp. Cl A (EPAC),749.8K,42.24,1.93,4.79
