,Unnamed: 0,Volume,Last,Chg,% Chg
0,Praxis Precision Medicines Inc. (PRAX),13.7M,162.71,105.36,183.71
1,rYojbaba Co. Ltd. (RYOJ),28.8M,4.76,2.59,119.35
2,Apollomics Inc. (APLM),273.4K,31.98,12.48,64.0
3,Earlyworks Co. Ltd. ADR (ELWS),31.6M,5.1,1.42,38.59
4,Sensei Biotherapeutics Inc. (SNSE),125.6K,17.58,3.9,28.52
5,NextCure Inc. (NXTC),354.0K,8.7,1.89,27.75
6,bioAffinity Technologies Inc. (BIAF),20.5M,3.41,0.7,25.83
7,Whitehawk Therapeutics Inc. (WHWK),94.3M,2.61,0.51,24.29
8,J.B. Hunt Transport Services Inc. (JBHT),6.5M,169.57,30.74,22.14
9,Mingteng International Corp. Inc. (MTEN),581.5K,4.55,0.8,21.33
10,Real Messenger Corp. (RMSG),641.1K,3.2,0.56,21.21
11,Personalis Inc. (PSNL),3.2M,10.28,1.75,20.52
12,Q/C Technologies Inc. (QCLS),3.7M,5.5,0.76,16.03
13,Nova Minerals Ltd. ADR (NVA),2.7M,62.98,8.4,15.4
14,Energous Corp. (WATT),2.6M,10.2,1.3,14.61
15,GRAIL Inc. (GRAL),2.1M,86.41,10.89,14.42
16,Aqua Metals Inc. (AQMS),9.0M,15.7,1.76,12.63
17,Global Interactive Technologies Inc. (GITS),2.5M,2.34,0.26,12.5
18,C4 Therapeutics Inc. (CCCC),10.8M,2.48,0.26,11.71
19,17 Education & Technology Group Inc. ADR (YQ),87.5K,6.09,0.63,11.54
20,TScan Therapeutics Inc. (TCRX),1.0M,2.48,0.25,11.21
21,VisionWave Holdings Inc. (VWAV),343.8K,11.91,1.17,10.89
22,GitLab Inc. Cl A (GTLB),19.2M,48.27,4.63,10.6
23,Turn Therapeutics Inc. (TTRX),425.9K,5.64,0.54,10.59
24,Agroz Inc. (AGRZ),339.9K,4.92,0.45,10.07
25,Cellectis S.A. ADR (CLLS),1.3M,4.52,0.41,9.98
26,Belite Bio Inc. ADR (BLTE),143.6K,89.07,7.81,9.61
27,Professional Diversity Network Inc. (IPDN),169.9K,4.22,0.37,9.61
28,Crescent Biopharma Inc. (CBIO),608.3K,12.35,1.06,9.39
29,Kyivstar Group Ltd. (KYIV),1.9M,13.93,1.19,9.34
30,Delcath Systems Inc. (DCTH),1.1M,12.36,1.04,9.19
31,Planet Green Holdings Corp. (PLAG),960.8K,2.28,0.19,9.09
