,Unnamed: 0,Volume,Last,Chg,% Chg
0,Omeros Corp. (OMER),673.7K,11.14,7.04,171.83
1,Sadot Group Inc. (SDOT),78.1K,11.36,6.17,118.93
2,Veritone Inc. (VERI),809.8K,8.13,2.67,48.93
3,Innovation Beverage Group Ltd. (IBG),62.1K,4.58,1.36,42.11
4,Soluna Holdings Inc. (SLNH),586.7K,3.52,0.73,26.16
5,T1 Energy Inc. (TE),106.3K,5.01,1.0,24.87
6,Bitdeer Technologies Group (BTDR),390.0K,24.33,4.21,20.92
7,New Era Energy & Digital Inc. (NUAI),385.9K,3.71,0.64,20.85
8,Hillenbrand Inc. (HI),1.0M,31.42,4.93,18.61
9,HCM II Acquisition Corp. Cl A (HOND),133.1K,29.58,4.6,18.41
10,Fossil Group Inc. (FOSL),130.6K,3.13,0.48,18.11
11,Quantum-Si Inc. (QSI),836.7K,2.52,0.36,16.98
12,Papa John's International Inc. (PZZA),68.2K,54.7,6.02,12.37
13,Digi Power X Inc. (DGXX),139.6K,3.75,0.41,12.28
14,Fluence Energy Inc. (FLNC),450.8K,20.7,2.25,12.17
15,Lightbridge Corp. (LTBR),162.0K,28.5,2.81,10.94
16,Blaize Holdings Inc. (BZAI),203.9K,5.54,0.54,10.68
17,Lightwave Logic Inc. (LWLG),74.9K,6.22,0.57,10.2
18,Microvast Holdings Inc. (MVST),304.2K,5.76,0.51,9.79
19,Perpetua Resources Corp. (PPTA),174.1K,29.63,2.44,8.97
20,Aeva Technologies Inc. (AEVA),77.3K,19.5,1.43,7.91
21,Ouster Inc. (OUST),148.6K,39.01,2.85,7.88
22,Ur-Energy Inc. (URG),269.9K,2.26,0.17,7.86
23,enCore Energy Corp. (EU),271.1K,3.94,0.28,7.65
24,Arrive AI Inc. (ARAI),65.4K,6.73,0.47,7.5
25,Amprius Technologies Inc. (AMPX),64.4K,14.24,0.99,7.47
26,Oklo Inc. (OKLO),92.8K,186.95,12.81,7.36
27,BTQ Technologies Corp. (BTQ),89.1K,12.5,0.82,7.07
28,Rekor Systems Inc. (REKR),262.7K,2.7,0.17,6.94
29,Uranium Royalty Corp. (UROY),92.0K,4.57,0.29,6.91
30,Gevo Inc. (GEVO),415.3K,2.74,0.17,6.84
31,Eos Energy Enterprises Inc. (EOSE),412.1K,18.13,1.15,6.77
32,Quantum Computing Inc. (QUBT),845.7K,23.25,1.47,6.75
33,PowerBank Corp. (SUUN),50.7K,2.22,0.14,6.73
34,Vor Biopharma Inc. (VOR),65.4K,32.88,2.07,6.72
35,SEALSQ Corp. (LAES),1.2M,8.16,0.51,6.71
36,Atlas Lithium Corp. (ATLX),91.3K,7.95,0.5,6.71
37,Uranium Energy Corp. (UEC),114.9K,16.69,1.03,6.58
38,D-Wave Quantum Inc. (QBTS),55.9K,45.87,2.81,6.53
39,Bitfarms Ltd. (BITF),1.6M,6.26,0.38,6.37
40,Nano Nuclear Energy Inc. (NNE),72.1K,57.71,3.33,6.12
41,Churchill Capital Corp. X Cl A (CCCX),109.5K,25.8,1.47,6.04
42,Almonty Industries Inc. (ALM),252.3K,10.54,0.58,5.82
43,Absci Corp. (ABSI),89.2K,4.11,0.21,5.38
44,Ramaco Resources Inc. Cl A (METC),69.7K,57.4,2.85,5.23
45,Sunrun Inc. (RUN),238.1K,21.76,1.07,5.2
46,AEye Inc. (LIDR),67.1K,3.52,0.17,5.04
47,Gilat Satellite Networks Ltd. (GILT),74.9K,14.65,0.7,5.02
48,Hut 8 Corp. (HUT),145.8K,52.4,2.45,4.91
49,Array Technologies Inc. (ARRY),96.5K,9.51,0.44,4.85
50,BrightSpring Health Services Inc. (BTSG),119.9K,31.36,1.44,4.81
51,Applied Optoelectronics Inc. (AAOI),66.7K,29.85,1.37,4.81
52,Astera Labs Inc. (ALAB),171.7K,169.3,7.75,4.79
53,Futu Holdings Ltd. ADR (FUTU),95.4K,166.0,7.5,4.73
54,Power Integrations Inc. (POWI),65.7K,49.24,2.21,4.7
55,Enovix Corp. (ENVX),195.3K,13.47,0.6,4.66
56,Pony AI Inc. ADR (PONY),195.2K,22.0,0.97,4.61
57,CoreWeave Inc. Cl A (CRWV),183.3K,139.99,5.93,4.42
58,Applied Digital Corp. (APLD),486.3K,36.59,1.55,4.42
59,WeRide Inc. ADR (WRD),58.3K,11.08,0.47,4.38
60,FuelCell Energy Inc. (FCEL),85.9K,11.93,0.5,4.34
61,Archer Aviation Inc. (ACHR),230.3K,13.58,0.56,4.3
62,Taysha Gene Therapies Inc. (TSHA),126.9K,5.38,0.22,4.27
63,Canadian Solar Inc. (CSIQ),53.9K,16.39,0.67,4.26
64,Solid Power Inc. (SLDP),415.1K,7.23,0.29,4.21
65,Serve Robotics Inc. (SERV),181.4K,17.14,0.69,4.21
66,Shoals Technologies Group Inc. (SHLS),242.9K,10.55,0.42,4.15
67,Sandisk Corp. (SNDK),52.3K,132.51,5.22,4.1
68,Plug Power Inc. (PLUG),1.5M,4.22,0.17,4.07
69,Bank of America Corp. (BAC),439.6K,52.12,2.03,4.05
70,ZenaTech Inc. (ZENA),95.1K,6.99,0.3,4.48
71,Credo Technology Group Holding Ltd. (CRDO),226.0K,134.97,5.22,4.02
72,Draganfly Inc. (DPRO),50.1K,13.73,0.52,3.94
73,QuantumScape Corp. Cl A (QS),295.4K,17.54,0.66,3.9
74,dLocal Ltd. (DLO),122.1K,16.29,0.61,3.89
75,Red Cat Holdings Inc. (RCAT),252.5K,15.85,0.59,3.87
76,Enphase Energy Inc. (ENPH),110.2K,37.82,1.38,3.79
77,Lam Research Corp. (LRCX),247.6K,143.32,5.0,3.62
78,VNET Group Inc. ADR (VNET),92.0K,9.51,0.33,3.59
79,AST SpaceMobile Inc. (ASTS),153.9K,97.84,3.34,3.53
80,Digital Turbine Inc. (APPS),54.2K,6.79,0.23,3.5
81,Zeta Network Group (ZNB),52.2K,2.08,0.07,3.48
82,POET Technologies Inc. (POET),181.7K,9.36,0.31,3.43
83,Recursion Pharmaceuticals Inc. (RXRX),588.4K,6.09,0.2,3.4
84,Tempus AI Inc. (TEM),63.9K,92.92,3.05,3.39
85,Innoviz Technologies Ltd. (INVZ),131.5K,2.46,0.08,3.36
86,Dollar Tree Inc. (DLTR),133.9K,98.74,3.17,3.31
87,Coeur Mining Inc. (CDE),74.5K,21.67,0.68,3.24
88,Grab Holdings Ltd. (GRAB),605.5K,6.1,0.19,3.21
89,IREN Ltd. (IREN),693.5K,71.77,2.21,3.17
90,SoundHound AI Inc. (SOUN),1.2M,21.52,0.66,3.16
91,Adaptive Biotechnologies Corp. (ADPT),59.4K,16.07,0.49,3.16
92,DraftKings Inc. Cl A (DKNG),223.6K,35.41,1.05,3.06
93,NexGen Energy Ltd. (NXE),58.0K,9.68,0.28,3.03
94,Upstart Holdings Inc. (UPST),114.2K,51.87,1.48,2.94
95,Nano-X Imaging Ltd. (NNOX),66.6K,4.24,0.12,2.91
96,Taiwan Semiconductor Manufacturing Co. Ltd. ADR (TSM),83.8K,304.48,8.54,2.89
97,IonQ Inc. (IONQ),68.0K,79.76,2.21,2.86
98,Baidu Inc. ADR (BIDU),86.5K,123.35,3.41,2.84
99,Denison Mines Corp. (DNN),152.1K,3.28,0.09,2.82
