,Unnamed: 0,Volume,Last,Chg,% Chg
0,Solidion Technology Inc. (STI),347.6K,12.5,7.01,127.69
1,ENDRA Life Sciences Inc. (NDRA),53.2K,9.3,2.82,43.52
2,Bloom Energy Corp. (BE),138.3K,106.4,19.53,22.48
3,Namib Minerals (NAMM),80.1K,3.78,0.62,19.62
4,American Battery Technology Co. (ABAT),653.7K,8.04,1.28,19.04
5,Energy Fuels Inc. (UUUU),302.5K,23.96,3.62,17.8
6,Novonix Ltd. ADR (NVX),452.1K,3.45,0.51,17.19
7,USA Rare Earth Inc. (USAR),748.0K,38.0,5.39,16.53
8,United States Antimony Corp. (UAMY),228.1K,14.21,2.0,16.38
9,Critical Metals Corp. (CRML),520.1K,17.29,2.31,15.42
10,Veru Inc. (VERU),76.7K,4.44,0.51,12.98
11,HCM II Acquisition Corp. Cl A (HOND),55.5K,21.3,2.44,12.92
12,Trilogy Metals Inc. (TMQ),106.7K,6.68,0.75,12.65
13,SEALSQ Corp. (LAES),424.4K,6.01,0.6,11.05
14,AXT Inc. (AXTI),127.5K,4.47,0.44,10.94
15,Solid Power Inc. (SLDP),322.4K,6.49,0.63,10.75
16,Sandisk Corp. (SNDK),119.8K,128.91,12.0,10.26
17,Eos Energy Enterprises Inc. (EOSE),659.4K,15.16,1.34,9.73
18,VNET Group Inc. ADR (VNET),138.0K,9.33,0.82,9.64
19,Ondas Holdings Inc. (ONDS),703.7K,10.1,0.88,9.57
20,ASP Isotopes Inc. (ASPI),199.5K,11.1,0.96,9.53
21,Bitfarms Ltd. (BITF),2.1M,4.59,0.39,9.31
22,BTQ Technologies Corp. (BTQ),123.8K,11.06,0.94,9.26
23,Fluence Energy Inc. (FLNC),140.0K,14.3,1.21,9.21
24,Plug Power Inc. (PLUG),1.7M,3.72,0.3,8.77
25,Blink Charging Co. (BLNK),155.8K,2.19,0.17,8.66
26,Uranium Energy Corp. (UEC),110.3K,15.89,1.24,8.46
27,Almonty Industries Inc. (ALM),66.0K,8.4,0.65,8.39
28,Americas Gold & Silver Corp. (USAS),53.8K,4.47,0.34,8.23
29,Northern Dynasty Minerals Ltd. (NAK),81.9K,2.19,0.16,7.88
30,Innodata Inc. (INOD),62.4K,89.82,6.54,7.85
31,Broadcom Inc. (AVGO),734.8K,349.98,25.35,7.81
32,Sibanye-Stillwater Ltd. ADR (SBSW),70.1K,11.8,0.85,7.77
33,Hecla Mining Co. (HL),65.6K,13.51,0.97,7.74
34,Applied Digital Corp. (APLD),792.1K,36.6,2.61,7.68
35,Rocket Lab Corp. (RKLB),349.3K,69.14,4.88,7.59
36,FuelCell Energy Inc. (FCEL),180.3K,9.95,0.69,7.45
37,Churchill Capital Corp. X Cl A (CCCX),109.1K,24.05,1.64,7.32
38,Futu Holdings Ltd. ADR (FUTU),148.6K,165.84,11.23,7.27
39,Amprius Technologies Inc. (AMPX),259.3K,12.73,0.8,6.71
40,Oklo Inc. (OKLO),63.0K,157.02,9.87,6.7
41,Denison Mines Corp. (DNN),230.4K,3.07,0.19,6.6
42,Endeavour Silver Corp. (EXK),60.1K,8.16,0.51,6.59
43,Rigetti Computing Inc. (RGTI),862.4K,46.76,2.84,6.46
44,WeRide Inc. ADR (WRD),90.4K,10.82,0.65,6.39
45,First Majestic Silver Corp. (AG),70.1K,14.08,0.84,6.38
46,SES AI Corp. (SES),52.4K,3.21,0.19,6.29
47,Amkor Technology Inc. (AMKR),61.0K,30.02,1.76,6.23
48,Ichor Holdings Ltd. (ICHR),85.6K,19.41,1.12,6.12
49,AST SpaceMobile Inc. (ASTS),203.3K,87.02,5.0,6.09
50,Nano Nuclear Energy Inc. (NNE),86.5K,48.62,2.79,6.09
51,Volato Group Inc. (SOAR),55.1K,2.64,0.15,6.02
52,Kopin Corp. (KOPN),186.3K,3.17,0.18,6.02
53,Ramaco Resources Inc. Cl A (METC),67.0K,50.03,2.83,6.0
54,Ballard Power Systems Inc. (BLDP),98.9K,3.46,0.2,5.96
55,Pony AI Inc. ADR (PONY),76.9K,21.49,1.2,5.91
56,AEye Inc. (LIDR),134.2K,3.25,0.18,5.87
57,Draganfly Inc. (DPRO),95.1K,12.7,0.69,5.75
58,TMC the metals company Inc. (TMC),339.1K,9.4,0.51,5.74
59,Equinox Gold Corp. (EQX),73.4K,12.31,0.66,5.67
60,QuantumScape Corp. Cl A (QS),201.7K,15.59,0.89,6.05
61,Kingsoft Cloud Holdings Ltd. ADR (KC),62.7K,13.34,0.71,5.62
62,Cabaletta Bio Inc. (CABA),102.7K,2.45,0.13,5.6
63,Applied Optoelectronics Inc. (AAOI),152.0K,28.66,1.51,5.56
64,indie Semiconductor Inc. (INDI),76.6K,4.38,0.23,5.55
65,Viomi Technology Co. Ltd. ADR (VIOT),51.1K,3.09,0.16,5.46
66,Taiwan Semiconductor Manufacturing Co. Ltd. ADR (TSM),121.2K,295.88,15.22,5.42
67,NexGen Energy Ltd. (NXE),63.9K,9.23,0.47,5.37
68,Warner Bros. Discovery Inc. Series A (WBD),412.8K,18.0,0.9,5.26
69,UP Fintech Holding Ltd. ADR (TIGR),102.7K,9.49,0.47,5.27
70,Western Digital Corp. (WDC),157.3K,121.44,6.02,5.22
71,Micron Technology Inc. (MU),579.4K,191.01,9.41,5.18
72,Enovix Corp. (ENVX),108.2K,12.7,0.63,5.18
73,Hesai Group ADR (HSAI),90.5K,23.19,1.14,5.17
74,Richtech Robotics Inc. Cl B (RR),613.8K,6.22,0.3,5.15
75,Bilibili Inc. ADR (BILI),65.7K,27.96,1.36,5.11
76,ViaSat Inc. (VSAT),97.8K,34.28,1.67,5.1
77,IREN Ltd. (IREN),663.9K,62.81,3.04,5.09
78,NIO Inc. ADR (NIO),163.7K,7.05,0.34,5.07
79,BigBear.ai Holdings Inc. (BBAI),306.7K,7.58,0.36,5.03
80,Lam Research Corp. (LRCX),170.7K,137.97,6.6,5.03
81,Rezolve AI PLC (RZLV),252.8K,5.39,0.26,5.01
82,Red Cat Holdings Inc. (RCAT),199.9K,13.77,0.65,4.97
83,Baidu Inc. ADR (BIDU),106.9K,127.69,6.0,4.93
84,American Resources Corp. (AREC),581.0K,4.27,0.19,4.66
85,Cipher Mining Inc. (CIFR),545.8K,17.8,0.83,4.89
86,Credo Technology Group Holding Ltd. (CRDO),97.0K,145.51,6.68,4.81
87,Sunrun Inc. (RUN),121.0K,19.7,0.9,4.8
88,Hut 8 Corp. (HUT),70.7K,45.66,2.09,4.8
89,ON Semiconductor Corp. (ON),120.7K,47.92,2.18,4.77
90,Microvast Holdings Inc. (MVST),208.1K,4.54,0.2,4.73
91,Innoviz Technologies Ltd. (INVZ),136.8K,2.19,0.1,4.67
92,DeFi Technologies Inc. (DEFT),279.2K,2.14,0.1,4.63
93,Nebius Group N.V. Cl A (NBIS),241.9K,136.18,6.6,5.09
94,Serve Robotics Inc. (SERV),223.7K,15.58,0.68,4.56
95,OneMedNet Corp. (ONMD),109.5K,3.28,0.14,4.46
