,Unnamed: 0,Volume,Last,Chg,% Chg
0,Quoin Pharmaceuticals Ltd. ADR (QNRX),13.4M,19.92,11.76,144.12
1,Safe & Green Holdings Corp. (SGBX),74.1M,6.2,2.96,91.37
2,Yunhong Green CTI Ltd. (YHGJ),5.2M,9.31,3.31,55.17
3,Novonix Ltd. ADR (NVX),28.0M,2.96,0.79,36.49
4,LEIFRAS Co. Ltd. ADR (LFS),9.0M,4.22,1.11,35.69
5,Top KingWin Ltd. (WAI),15.2M,4.15,1.09,35.64
6,Agroz Inc. (AGRZ),434.4K,5.67,1.41,33.13
7,Protagonist Therapeutics Inc. (PTGX),6.4M,86.99,19.95,29.76
8,One & One Green Technologies Inc. (YDDL),9.2M,6.94,1.52,28.04
9,CCH Holdings Ltd. (CCHH),548.6K,5.33,1.14,27.11
10,IZEA Worldwide Inc. (IZEA),1.5M,4.92,1.01,26.03
11,Perspective Therapeutics Inc. (CATX),5.4M,4.86,0.99,25.78
12,YSX Tech. Co. Ltd. (YSXT),1.1M,2.52,0.46,22.33
13,Nova Minerals Ltd. ADR (NVA),278.2K,26.9,4.79,21.66
14,Monte Rosa Therapeutics Inc. (GLUE),6.0M,10.08,1.62,19.13
15,Super League Enterprise Inc. (SLE),23.7M,4.21,0.65,18.26
16,OneMedNet Corp. (ONMD),28.9M,3.15,0.48,17.98
17,Eightco Holdings Inc. (ORBS),15.0M,9.91,1.47,17.44
18,Kandal M Venture Ltd. Cl A (FMFC),582.0K,9.87,1.41,16.67
19,SWK Holdings Corp. (SWKH),760.9K,16.8,2.4,16.63
20,Applied Digital Corp. (APLD),101.7M,33.97,4.67,15.96
21,Brag House Holdings Inc. (TBH),393.0K,2.42,0.33,15.79
22,Volato Group Inc. (SOAR),3.6M,2.53,0.34,15.53
23,Digi Power X Inc. (DGXX),4.2M,3.04,0.41,15.34
24,ASP Isotopes Inc. (ASPI),18.6M,10.12,1.26,14.29
25,Anfield Energy Inc. (AEC),749.3K,10.29,1.27,14.08
26,5E Advanced Materials Inc. (FEAM),1.6M,5.67,0.69,13.86
27,Compass Diversified Holdings (CODI),10.0M,8.3,0.95,12.99
28,Entero Therapeutics Inc. (ENTO),364.6K,5.24,0.58,12.45
29,CPS Technologies Corp. (CPSH),849.8K,4.47,0.49,12.31
30,Cantor Equity Partners II Inc. (CEPT),4.1M,12.16,1.33,12.28
31,NewAmsterdam Pharma Co. N.V. (NAMS),1.7M,37.01,4.0,12.13
32,Greenwave Technology Solutions Inc. (GWAV),285.1K,7.2,0.78,12.11
33,United States Antimony Corp. (UAMY),34.0M,12.2,1.31,12.09
34,9F Inc. ADR (JFU),370.2K,4.7,0.5,11.9
35,Skyline Builders Group Holding Ltd. Cl A (SKBL),1.0M,3.1,0.33,11.69
36,Gyre Therapeutics Inc. (GYRE),296.2K,7.96,0.81,11.4
37,MoonLake Immunotherapeutics (MLTX),8.7M,10.28,0.9,9.59
38,Orchestra BioMed Holdings Inc. (OBIO),1.1M,3.14,0.27,9.41
39,Fermi Inc. (FRMI),7.8M,29.1,2.33,8.7
40,MP Materials Corp. (MP),48.4M,78.52,6.23,8.61
41,Q32 Bio Inc. (QTTB),1.3M,3.52,0.28,8.64
42,American Battery Technology Co. (ABAT),22.1M,6.76,0.53,8.41
43,Oil-Dri Corp. of America (ODC),91.8K,64.85,4.96,8.28
44,Uranium Energy Corp. (UEC),29.9M,14.64,1.09,8.08
45,Ategrity Specialty Insurance Co. Holdings (ASIC),235.9K,17.66,1.28,7.81
46,Perpetua Resources Corp. (PPTA),5.7M,25.77,1.83,7.64
47,Entera Bio Ltd. (ENTX),471.7K,2.7,0.19,7.57
